"Entry","Name","DTF","DTS","DTM"
1,"CDC Asterix AGL",136.666666666667,159,174.666666666667
2,"CDC Rosie AGL",128,152,174.666666666667
3,"3156-11 AGL",134,152.333333333333,180.666666666667
4,"CDC Greenstar AGL",129.333333333333,150.333333333333,180.666666666667
5,"CDC Cherie AGL",126.333333333333,145,178
6,"CDC Glamis AGL",131,153.666666666667,183.666666666667
7,"CDC Gold AGL",139.666666666667,162,184
8,"CDC Imax AGL",129.333333333333,150.333333333333,174.333333333333
9,"CDC Impower AGL",134.666666666667,156.333333333333,182
10,"CDC KR-1 AGL",130.666666666667,150.666666666667,178
11,"CDC LeMay AGL",129.666666666667,151.666666666667,175
12,"CDC Maxim AGL",129.666666666667,149.333333333333,172.666666666667
13,"CDC QG-1 AGL",147.333333333333,165,184
14,"CDC Red Rider AGL",127.666666666667,146,180.666666666667
15,"CDC Redcoat AGL",128,142,172.666666666667
16,"CDC Redwing AGL",129.666666666667,150.666666666667,175
17,"CDC Robin AGL",129.333333333333,150,173.333333333333
18,"CDC Rosebud AGL",125.333333333333,142.666666666667,173
19,"CDC Rosetown AGL",129.333333333333,151.333333333333,174.666666666667
20,"CDC Rouleau AGL",133.666666666667,157.333333333333,181.666666666667
21,"CDC Royale AGL",125.333333333333,147,173.333333333333
22,"CDC Ruby AGL",123,141.666666666667,173
23,"CDC SB-1 AGL",129.333333333333,148.333333333333,179
24,"CDC Sedley AGL",128,151.333333333333,181
25,"CDC Vantage AGL",124.666666666667,143.333333333333,175.666666666667
26,"CN 105604 AGL",120.666666666667,132.333333333333,163.666666666667
27,"CN 105605 AGL",131,152.333333333333,177.666666666667
28,"CN 105715 AGL",131,148,174.666666666667
29,"CN 105732 AGL",134,152,180.666666666667
30,"CN 105767 AGL",125.333333333333,141,171.666666666667
31,"CN 105777 AGL",116.333333333333,141.333333333333,173
32,"CN 105789 AGL",113.666666666667,131.333333333333,158.333333333333
33,"CN 105791 AGL",116,136,169
34,"CN 105862 AGL",145,166.333333333333,184
35,"CN 105863 AGL",135,156,184
36,"CN 105864 AGL",133.333333333333,155.666666666667,182
37,"CN 105865 AGL",144.666666666667,166,183.666666666667
38,"CN 105895 AGL",116.333333333333,132,161.333333333333
39,"CN 106265 AGL",136.666666666667,155.666666666667,176.666666666667
40,"CN 108369 AGL",131,158.333333333333,179
41,"CN 108370 AGL",140,159.333333333333,181
42,"Crimson AGL",123,141.666666666667,173.333333333333
43,"DPL 62 AGL",116.333333333333,133.666666666667,167.666666666667
44,"Eston AGL",129.666666666667,153.333333333333,174.666666666667
45,"Gudo AGL",121,133.666666666667,169.666666666667
46,"IG 1046 AGL",144.666666666667,161,182
47,"IG 1706 AGL",147.333333333333,164,182.333333333333
48,"IG 1959 AGL",143,156,179
49,"IG 4258 AGL",120.666666666667,132.333333333333,163.666666666667
50,"IG 4781 AGL",147.666666666667,163.666666666667,183.666666666667
51,"IG 858 AGL",141.333333333333,156.666666666667,174.666666666667
52,"ILL 10657 AGL",114,134.333333333333,168
53,"ILL 10748 AGL",108,129.333333333333,165
54,"ILL 11547 AGL",116,131.333333333333,163.666666666667
55,"ILL 11548 AGL",114,132.666666666667,166.333333333333
56,"ILL 11553 AGL",114,129.333333333333,164
57,"ILL 11555 AGL",116.333333333333,132,161.333333333333
58,"ILL 11557 AGL",113.666666666667,130.666666666667,166
59,"ILL 11558 AGL",112,131,167.666666666667
60,"ILL 1220 AGL",144.666666666667,161,183.666666666667
61,"ILL 1553 AGL",134.333333333333,155,178.666666666667
62,"ILL 1762 AGL",141.333333333333,161.333333333333,179.333333333333
