"Entry","Name","Location","Rep","DTF"
161,"PI 289066 AGL","Italy",1,143
133,"PI 177430 LSP AGL","Italy",1,145
17,"CDC Robin AGL","Italy",1,133
42,"Crimson AGL","Italy",1,128
126,"Indianhead AGL","Italy",1,143
128,"Laird AGL","Italy",1,133
69,"ILL 28 AGL","Italy",1,128
195,"PI 299366 LSP AGL","Italy",1,121
69,"ILL 28 AGL","Italy",2,128
42,"Crimson AGL","Italy",2,121
128,"Laird AGL","Italy",2,135
17,"CDC Robin AGL","Italy",2,128
126,"Indianhead AGL","Italy",2,146
133,"PI 177430 LSP AGL","Italy",2,150
161,"PI 289066 AGL","Italy",2,146
195,"PI 299366 LSP AGL","Italy",2,124
161,"PI 289066 AGL","Italy",3,150
128,"Laird AGL","Italy",3,130
126,"Indianhead AGL","Italy",3,146
133,"PI 177430 LSP AGL","Italy",3,149
195,"PI 299366 LSP AGL","Italy",3,127
17,"CDC Robin AGL","Italy",3,127
69,"ILL 28 AGL","Italy",3,127
42,"Crimson AGL","Italy",3,120
126,"Indianhead AGL","Nepal",1,127
17,"CDC Robin AGL","Nepal",1,125
195,"PI 299366 LSP AGL","Nepal",1,140
42,"Crimson AGL","Nepal",1,119
69,"ILL 28 AGL","Nepal",1,133
128,"Laird AGL","Nepal",1,127
161,"PI 289066 AGL","Nepal",1,147
133,"PI 177430 LSP AGL","Nepal",1,131
195,"PI 299366 LSP AGL","Nepal",2,130
133,"PI 177430 LSP AGL","Nepal",2,130
128,"Laird AGL","Nepal",2,121
42,"Crimson AGL","Nepal",2,113
161,"PI 289066 AGL","Nepal",2,139
69,"ILL 28 AGL","Nepal",2,126
17,"CDC Robin AGL","Nepal",2,125
195,"PI 299366 LSP AGL","Nepal",3,124
126,"Indianhead AGL","Nepal",3,124
42,"Crimson AGL","Nepal",3,110
133,"PI 177430 LSP AGL","Nepal",3,121
161,"PI 289066 AGL","Nepal",3,140
17,"CDC Robin AGL","Nepal",3,124
128,"Laird AGL","Nepal",3,119
69,"ILL 28 AGL","Nepal",3,125
17,"CDC Robin AGL","Morocco",1,125
195,"PI 299366 LSP AGL","Morocco",1,117
133,"PI 177430 LSP AGL","Morocco",1,120
42,"Crimson AGL","Morocco",1,111
128,"Laird AGL","Morocco",1,120
126,"Indianhead AGL","Morocco",1,127
161,"PI 289066 AGL","Morocco",1,123
69,"ILL 28 AGL","Morocco",1,114
161,"PI 289066 AGL","Morocco",2,120
126,"Indianhead AGL","Morocco",2,130
17,"CDC Robin AGL","Morocco",2,123
69,"ILL 28 AGL","Morocco",2,111
195,"PI 299366 LSP AGL","Morocco",2,120
42,"Crimson AGL","Morocco",2,115
133,"PI 177430 LSP AGL","Morocco",2,122
128,"Laird AGL","Morocco",2,120
69,"ILL 28 AGL","Morocco",3,111
126,"Indianhead AGL","Morocco",3,127
161,"PI 289066 AGL","Morocco",3,120
195,"PI 299366 LSP AGL","Morocco",3,120
128,"Laird AGL","Morocco",3,120
17,"CDC Robin AGL","Morocco",3,123
133,"PI 177430 LSP AGL","Morocco",3,123
42,"Crimson AGL","Morocco",3,111
126,"Indianhead AGL","Nepal",2,132
