Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
In17,"Bhopal, India",2017,2017-11-09,6:36:00,Weather Station,Day Length,Hours,11,0
In17,"Bhopal, India",2017,2017-11-10,6:36:36,Weather Station,Day Length,Hours,10.98,1
In17,"Bhopal, India",2017,2017-11-11,6:37:12,Weather Station,Day Length,Hours,10.97,2
In17,"Bhopal, India",2017,2017-11-12,6:38:24,Weather Station,Day Length,Hours,10.95,3
In17,"Bhopal, India",2017,2017-11-13,6:39:00,Weather Station,Day Length,Hours,10.93,4
In17,"Bhopal, India",2017,2017-11-14,6:39:36,Weather Station,Day Length,Hours,10.92,5
In17,"Bhopal, India",2017,2017-11-15,6:40:12,Weather Station,Day Length,Hours,10.9,6
In17,"Bhopal, India",2017,2017-11-16,6:40:48,Weather Station,Day Length,Hours,10.88,7
In17,"Bhopal, India",2017,2017-11-17,6:41:24,Weather Station,Day Length,Hours,10.87,8
In17,"Bhopal, India",2017,2017-11-18,6:42:00,Weather Station,Day Length,Hours,10.85,9
In17,"Bhopal, India",2017,2017-11-19,6:42:36,Weather Station,Day Length,Hours,10.84,10
In17,"Bhopal, India",2017,2017-11-20,6:43:12,Weather Station,Day Length,Hours,10.82,11
In17,"Bhopal, India",2017,2017-11-21,6:44:24,Weather Station,Day Length,Hours,10.81,12
In17,"Bhopal, India",2017,2017-11-22,6:45:00,Weather Station,Day Length,Hours,10.79,13
In17,"Bhopal, India",2017,2017-11-23,6:45:36,Weather Station,Day Length,Hours,10.78,14
In17,"Bhopal, India",2017,2017-11-24,6:46:12,Weather Station,Day Length,Hours,10.77,15
In17,"Bhopal, India",2017,2017-11-25,6:46:48,Weather Station,Day Length,Hours,10.75,16
In17,"Bhopal, India",2017,2017-11-26,6:47:24,Weather Station,Day Length,Hours,10.74,17
In17,"Bhopal, India",2017,2017-11-27,6:48:00,Weather Station,Day Length,Hours,10.73,18
In17,"Bhopal, India",2017,2017-11-28,6:49:12,Weather Station,Day Length,Hours,10.72,19
In17,"Bhopal, India",2017,2017-11-29,6:49:48,Weather Station,Day Length,Hours,10.71,20
In17,"Bhopal, India",2017,2017-11-30,6:50:24,Weather Station,Day Length,Hours,10.7,21
In17,"Bhopal, India",2017,2017-12-01,6:51:00,Weather Station,Day Length,Hours,10.68,22
In17,"Bhopal, India",2017,2017-12-02,6:51:36,Weather Station,Day Length,Hours,10.67,23
In17,"Bhopal, India",2017,2017-12-03,6:52:12,Weather Station,Day Length,Hours,10.67,24
In17,"Bhopal, India",2017,2017-12-04,6:52:48,Weather Station,Day Length,Hours,10.66,25
In17,"Bhopal, India",2017,2017-12-05,6:54:00,Weather Station,Day Length,Hours,10.65,26
In17,"Bhopal, India",2017,2017-12-06,6:54:36,Weather Station,Day Length,Hours,10.64,27
In17,"Bhopal, India",2017,2017-12-07,6:55:12,Weather Station,Day Length,Hours,10.63,28
In17,"Bhopal, India",2017,2017-12-08,6:55:48,Weather Station,Day Length,Hours,10.62,29
In17,"Bhopal, India",2017,2017-12-09,6:56:24,Weather Station,Day Length,Hours,10.62,30
In17,"Bhopal, India",2017,2017-12-10,6:57:00,Weather Station,Day Length,Hours,10.61,31
In17,"Bhopal, India",2017,2017-12-11,6:57:36,Weather Station,Day Length,Hours,10.61,32
In17,"Bhopal, India",2017,2017-12-12,6:58:12,Weather Station,Day Length,Hours,10.6,33
In17,"Bhopal, India",2017,2017-12-13,6:58:48,Weather Station,Day Length,Hours,10.6,34
In17,"Bhopal, India",2017,2017-12-14,6:59:24,Weather Station,Day Length,Hours,10.59,35
