Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Ne17,"Bardiya, Nepal",2017,2017-11-03,6:34:48,Weather Station,Day Length,Hours,10.87,0
Ne17,"Bardiya, Nepal",2017,2017-11-04,6:35:24,Weather Station,Day Length,Hours,10.85,1
Ne17,"Bardiya, Nepal",2017,2017-11-05,6:36:36,Weather Station,Day Length,Hours,10.82,2
Ne17,"Bardiya, Nepal",2017,2017-11-06,6:37:12,Weather Station,Day Length,Hours,10.8,3
Ne17,"Bardiya, Nepal",2017,2017-11-07,6:37:48,Weather Station,Day Length,Hours,10.78,4
Ne17,"Bardiya, Nepal",2017,2017-11-08,6:38:24,Weather Station,Day Length,Hours,10.75,5
Ne17,"Bardiya, Nepal",2017,2017-11-09,6:39:36,Weather Station,Day Length,Hours,10.73,6
Ne17,"Bardiya, Nepal",2017,2017-11-10,6:40:12,Weather Station,Day Length,Hours,10.71,7
Ne17,"Bardiya, Nepal",2017,2017-11-11,6:40:48,Weather Station,Day Length,Hours,10.69,8
Ne17,"Bardiya, Nepal",2017,2017-11-12,6:42:00,Weather Station,Day Length,Hours,10.66,9
Ne17,"Bardiya, Nepal",2017,2017-11-13,6:42:36,Weather Station,Day Length,Hours,10.64,10
Ne17,"Bardiya, Nepal",2017,2017-11-14,6:43:12,Weather Station,Day Length,Hours,10.62,11
Ne17,"Bardiya, Nepal",2017,2017-11-15,6:44:24,Weather Station,Day Length,Hours,10.6,12
Ne17,"Bardiya, Nepal",2017,2017-11-16,6:45:00,Weather Station,Day Length,Hours,10.58,13
Ne17,"Bardiya, Nepal",2017,2017-11-17,6:45:36,Weather Station,Day Length,Hours,10.56,14
Ne17,"Bardiya, Nepal",2017,2017-11-18,6:46:48,Weather Station,Day Length,Hours,10.54,15
Ne17,"Bardiya, Nepal",2017,2017-11-19,6:47:24,Weather Station,Day Length,Hours,10.52,16
Ne17,"Bardiya, Nepal",2017,2017-11-20,6:48:00,Weather Station,Day Length,Hours,10.5,17
