Expt,Location,Year,Date,Time,LoggerID,Measurement,Unit,Value,DaysAfterPlanting
Sp16,"Cordoba, Spain",2016,2016-12-13,8:31:48,Weather Station,Day Length,Hours,9.4,0
Sp16,"Cordoba, Spain",2016,2016-12-14,8:32:24,Weather Station,Day Length,Hours,9.4,1
Sp16,"Cordoba, Spain",2016,2016-12-15,8:33:00,Weather Station,Day Length,Hours,9.39,2
Sp16,"Cordoba, Spain",2016,2016-12-16,8:33:36,Weather Station,Day Length,Hours,9.38,3
Sp16,"Cordoba, Spain",2016,2016-12-17,8:34:12,Weather Station,Day Length,Hours,9.38,4
Sp16,"Cordoba, Spain",2016,2016-12-18,8:34:48,Weather Station,Day Length,Hours,9.38,5
Sp16,"Cordoba, Spain",2016,2016-12-19,8:35:24,Weather Station,Day Length,Hours,9.37,6
Sp16,"Cordoba, Spain",2016,2016-12-20,8:36:00,Weather Station,Day Length,Hours,9.37,7
Sp16,"Cordoba, Spain",2016,2016-12-21,8:36:36,Weather Station,Day Length,Hours,9.37,8
Sp16,"Cordoba, Spain",2016,2016-12-22,8:36:36,Weather Station,Day Length,Hours,9.37,9
Sp16,"Cordoba, Spain",2016,2016-12-23,8:37:12,Weather Station,Day Length,Hours,9.37,10
Sp16,"Cordoba, Spain",2016,2016-12-24,8:37:48,Weather Station,Day Length,Hours,9.38,11
Sp16,"Cordoba, Spain",2016,2016-12-25,8:38:24,Weather Station,Day Length,Hours,9.38,12
Sp16,"Cordoba, Spain",2016,2016-12-26,8:38:24,Weather Station,Day Length,Hours,9.38,13
Sp16,"Cordoba, Spain",2016,2016-12-27,8:39:00,Weather Station,Day Length,Hours,9.39,14
Sp16,"Cordoba, Spain",2016,2016-12-28,8:39:00,Weather Station,Day Length,Hours,9.4,15
Sp16,"Cordoba, Spain",2016,2016-12-29,8:39:36,Weather Station,Day Length,Hours,9.4,16
Sp16,"Cordoba, Spain",2016,2016-12-30,8:39:36,Weather Station,Day Length,Hours,9.41,17
Sp16,"Cordoba, Spain",2016,2016-12-31,8:39:36,Weather Station,Day Length,Hours,9.42,18
Sp16,"Cordoba, Spain",2016,2017-01-01,8:39:36,Weather Station,Day Length,Hours,9.43,19
Sp16,"Cordoba, Spain",2016,2017-01-02,8:40:12,Weather Station,Day Length,Hours,9.44,20
Sp16,"Cordoba, Spain",2016,2017-01-03,8:40:12,Weather Station,Day Length,Hours,9.46,21
Sp16,"Cordoba, Spain",2016,2017-01-04,8:40:12,Weather Station,Day Length,Hours,9.47,22
Sp16,"Cordoba, Spain",2016,2017-01-05,8:40:12,Weather Station,Day Length,Hours,9.49,23
Sp16,"Cordoba, Spain",2016,2017-01-06,8:40:12,Weather Station,Day Length,Hours,9.5,24
Sp16,"Cordoba, Spain",2016,2017-01-07,8:40:12,Weather Station,Day Length,Hours,9.52,25
Sp16,"Cordoba, Spain",2016,2017-01-08,8:40:12,Weather Station,Day Length,Hours,9.53,26
Sp16,"Cordoba, Spain",2016,2017-01-09,8:39:36,Weather Station,Day Length,Hours,9.55,27
Sp16,"Cordoba, Spain",2016,2017-01-10,8:39:36,Weather Station,Day Length,Hours,9.57,28
Sp16,"Cordoba, Spain",2016,2017-01-11,8:39:36,Weather Station,Day Length,Hours,9.59,29
Sp16,"Cordoba, Spain",2016,2017-01-12,8:39:00,Weather Station,Day Length,Hours,9.61,30
Sp16,"Cordoba, Spain",2016,2017-01-13,8:39:00,Weather Station,Day Length,Hours,9.63,31
Sp16,"Cordoba, Spain",2016,2017-01-14,8:38:24,Weather Station,Day Length,Hours,9.65,32
Sp16,"Cordoba, Spain",2016,2017-01-15,8:38:24,Weather Station,Day Length,Hours,9.68,33
Sp16,"Cordoba, Spain",2016,2017-01-16,8:37:48,Weather Station,Day Length,Hours,9.7,34
