Expt,Location,Year,Lat,Lon,Start,End
Ro16,"Rosthern, Canada",2016,52.6892,-106.2945,2016-05-06,2016-08-19
Ro17,"Rosthern, Canada",2017,52.6915,-106.2897,2017-05-19,2017-08-23
Su16,"Sutherland, Canada",2016,52.1677,-106.5054,2016-04-27,2016-08-19
Su17,"Sutherland, Canada",2017,52.16832,-106.5108,2017-05-04,2017-08-17
Su18,"Sutherland, Canada",2018,52.1689,-106.5149,2018-05-09,2018-08-29
Us18,"Central Ferry, USA",2018,46.65,-117.76,2018-03-29,2018-07-25
In16,"Bhopal, India",2016,23.11,76.88,2016-12-04,2017-03-31
In17,"Bhopal, India",2017,23.115,76.885,2017-11-09,2018-04-01
Ba16,"Jessore, Bangladesh",2016,23.19,89.19,2016-11-15,2017-04-02
Ba17,"Jessore, Bangladesh",2017,23.195,89.195,2017-12-03,2018-05-02
Ne16,"Bardiya, Nepal",2016,28.25,81.5,2016-11-14,2017-04-18
Ne17,"Bardiya, Nepal",2017,28.42,81.86,2017-11-03,2018-05-20
Mo16,"Marchouch, Morocco",2016,33.62,-6.72,2016-11-21,2017-05-30
Mo17,"Marchouch, Morocco",2017,33.62,-6.72,2017-12-21,2018-06-19
Sp16,"Cordoba, Spain",2016,37.9,-4.8,2016-12-13,2017-06-02
Sp17,"Cordoba, Spain",2017,37.9,-4.8,2017-12-14,2018-06-15
It16,"Metaponto, Italy",2016,40.39,16.78,2016-11-29,2017-06-30
It17,"Metaponto, Italy",2017,40.39,16.78,2017-11-28,2018-06-05
