"env","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M","T2M_MAX","T2M_MIN","PRECTOT","WS2M","RH2M","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","daysFromStart","DayLength"
"Sutherland 2016",-106.5054,52.1677,2016,4,27,118,2016-04-27,8.56,15.72,0.4,0,2.12,57.25,-0.34,278.15,23.66,1,14.6753341417895
"Sutherland 2016",-106.5054,52.1677,2016,4,28,119,2016-04-28,9.33,16.97,1.13,0,2.91,54.25,-0.66,270.86,25.15,2,14.7370531580885
"Sutherland 2016",-106.5054,52.1677,2016,4,29,120,2016-04-29,9.44,16.57,1.41,0,3.66,51.31,-1.51,264.38,26.03,3,14.7983696784764
"Sutherland 2016",-106.5054,52.1677,2016,4,30,121,2016-04-30,10.65,18.74,1.75,0,2.92,49.06,-0.81,272.53,26.04,4,14.8592640542535
"Sutherland 2016",-106.5054,52.1677,2016,5,1,122,2016-05-01,13.39,21.45,4.9,0,3,51.75,2.54,294.03,24.98,5,14.919715932466
"Sutherland 2016",-106.5054,52.1677,2016,5,2,123,2016-05-02,16.66,25.18,6,0.06,1.23,49.44,5,309.36,26.05,6,14.9797042480909
"Sutherland 2016",-106.5054,52.1677,2016,5,3,124,2016-05-03,19.09,28.08,8.72,0,2.02,54.19,8.33,315.49,25.93,7,15.0392072178772
"Sutherland 2016",-106.5054,52.1677,2016,5,4,125,2016-05-04,20.89,30.28,12.01,0,3.82,44.44,6.62,318.47,27.11,8,15.0982023359955
"Sutherland 2016",-106.5054,52.1677,2016,5,5,126,2016-05-05,19.25,27.23,12.65,0.02,3.83,52.56,8.73,333.76,22.48,9,15.1566663716556
"Sutherland 2016",-106.5054,52.1677,2016,5,6,127,2016-05-06,13.73,19.87,7.96,0,3.75,50,1.58,288.88,26.79,10,15.2145753688569
"Sutherland 2016",-106.5054,52.1677,2016,5,7,128,2016-05-07,16.56,25.9,5.48,0,3.29,39.94,1.75,307.85,22.32,11,15.2719046484425
"Sutherland 2016",-106.5054,52.1677,2016,5,8,129,2016-05-08,19.81,29.4,12.33,0,6.12,35.88,3.62,306.82,26.07,12,15.3286288126322
"Sutherland 2016",-106.5054,52.1677,2016,5,9,130,2016-05-09,10.54,12.65,6.74,4.64,5.32,62.69,3.49,328.38,7.27,13,15.3847217522147
"Sutherland 2016",-106.5054,52.1677,2016,5,10,131,2016-05-10,5.33,7.33,4.06,16.87,7.2,86.12,3.16,322.56,8.46,14,15.440156656579
"Sutherland 2016",-106.5054,52.1677,2016,5,11,132,2016-05-11,2.73,4.54,-2.11,9.59,5.78,84.56,0.3,301.11,19.07,15,15.4949060267703
"Sutherland 2016",-106.5054,52.1677,2016,5,12,133,2016-05-12,2.21,8.19,-3.1,0.28,4.03,69.06,-3.42,311.12,14.04,16,15.5489416917513
"Sutherland 2016",-106.5054,52.1677,2016,5,13,134,2016-05-13,5.31,11.83,-1.92,0.01,3.3,62,-2.19,272.81,26.13,17,15.6022348280515
"Sutherland 2016",-106.5054,52.1677,2016,5,14,135,2016-05-14,8.83,15.19,1.61,0.14,2.68,60.94,1.2,283.91,23.94,18,15.6547559829816
"Sutherland 2016",-106.5054,52.1677,2016,5,15,136,2016-05-15,12.98,20.06,2.69,0,2.08,51.06,2.08,282.91,27.7,19,15.7064751015821
"Sutherland 2016",-106.5054,52.1677,2016,5,16,137,2016-05-16,16.23,23.01,10.25,0.03,1.84,44.38,3.28,292.73,28.05,20,15.7573615574718
"Sutherland 2016",-106.5054,52.1677,2016,5,17,138,2016-05-17,16.17,23.3,8.53,1.02,4.31,54.56,6.03,334.51,15.95,21,15.8073841877458
"Sutherland 2016",-106.5054,52.1677,2016,5,18,139,2016-05-18,17.87,25.04,9.23,0.03,1.93,53.88,7.16,334.74,25.11,22,15.8565113320607
"Sutherland 2016",-106.5054,52.1677,2016,5,19,140,2016-05-19,19.85,27.3,10.39,0.01,2.95,46.25,7.2,337.9,25.34,23,15.9047108760292
"Sutherland 2016",-106.5054,52.1677,2016,5,20,141,2016-05-20,20.87,28.32,12.97,0,4.53,47.69,8.4,344.78,23.16,24,15.9519502990239
"Sutherland 2016",-106.5054,52.1677,2016,5,21,142,2016-05-21,19.4,25.7,11.41,1.83,4.73,57.62,10.45,355.16,21.4,25,15.9981967264678
"Sutherland 2016",-106.5054,52.1677,2016,5,22,143,2016-05-22,17.07,22.51,11.01,0.14,4.67,54.06,6.62,349.95,18.86,26,16.0434169866624
"Sutherland 2016",-106.5054,52.1677,2016,5,23,144,2016-05-23,12.22,15.98,8.52,1.54,1.61,66.81,5.94,340.43,16.15,27,16.087577672173
"Sutherland 2016",-106.5054,52.1677,2016,5,24,145,2016-05-24,12.9,17.69,7.94,1.36,2.6,69.56,6.94,349.81,10.64,28,16.1306452057586
"Sutherland 2016",-106.5054,52.1677,2016,5,25,146,2016-05-25,15.15,21.18,8.07,0.41,1.06,57.19,6.05,354.3,21.11,29,16.1725859107933
"Sutherland 2016",-106.5054,52.1677,2016,5,26,147,2016-05-26,15.86,19.48,10.65,0.69,1.26,61.5,8.16,344.53,24.16,30,16.21336608609
"Sutherland 2016",-106.5054,52.1677,2016,5,27,148,2016-05-27,16.37,20.47,11.97,1.94,2.29,62.88,8.98,353.2,20.27,31,16.2529520849881
"Sutherland 2016",-106.5054,52.1677,2016,5,28,149,2016-05-28,13.76,19.23,9.14,6.36,3.67,75.06,9.02,361.53,13.39,32,16.2913103985242
"Sutherland 2016",-106.5054,52.1677,2016,5,29,150,2016-05-29,14.98,21.86,7.52,0.12,2.16,61.31,6.46,320.65,26.55,33,16.3284077424547
"Sutherland 2016",-106.5054,52.1677,2016,5,30,151,2016-05-30,14.26,19.77,8.22,1.08,3.65,66.75,7.37,337.96,21.67,34,16.3642111478452
"Sutherland 2016",-106.5054,52.1677,2016,5,31,152,2016-05-31,13.08,16.98,9.93,1.23,3.34,71.12,7.57,344.48,18.89,35,16.3986880548931
"Sutherland 2016",-106.5054,52.1677,2016,6,1,153,2016-06-01,15.04,20.04,8.9,0.51,1.49,60.5,7.12,336.04,22.74,36,16.4318064095941
"Sutherland 2016",-106.5054,52.1677,2016,6,2,154,2016-06-02,18.41,25.8,11.63,2.4,3.1,62.19,10.08,352.97,23.83,37,16.4635347628092
"Sutherland 2016",-106.5054,52.1677,2016,6,3,155,2016-06-03,17.79,23.21,13.04,3.67,4.45,60,8.8,338.33,23.42,38,16.4938423712391
"Sutherland 2016",-106.5054,52.1677,2016,6,4,156,2016-06-04,19.05,26.52,10.02,0,4.41,45.38,6.15,314.4,30.17,39,16.5226992997582
"Sutherland 2016",-106.5054,52.1677,2016,6,5,157,2016-06-05,17.63,24,10.26,0.01,4.83,46.19,4.69,312.71,28.99,40,16.5500765245179
"Sutherland 2016",-106.5054,52.1677,2016,6,6,158,2016-06-06,16.84,24.23,7.57,0,1.66,54,6.25,315.77,29.4,41,16.5759460361787
"Sutherland 2016",-106.5054,52.1677,2016,6,7,159,2016-06-07,19.77,28.09,12.02,0.47,3.69,49.88,8.2,365.87,18.64,42,16.6002809425978
"Sutherland 2016",-106.5054,52.1677,2016,6,8,160,2016-06-08,20.22,27.3,13.95,2.53,2.64,61.12,11.92,360.54,28.45,43,16.6230555702598
"Sutherland 2016",-106.5054,52.1677,2016,6,9,161,2016-06-09,21.94,29.41,16.02,0.84,4.34,59.69,12.1,355.05,26.41,44,16.6442455637187
"Sutherland 2016",-106.5054,52.1677,2016,6,10,162,2016-06-10,16.27,21.13,10.03,0,4.45,55.75,6.88,348.62,17.43,45,16.6638279822936
"Sutherland 2016",-106.5054,52.1677,2016,6,11,163,2016-06-11,15.68,22.07,7.55,5.51,3.59,63.06,7.9,356.84,15.45,46,16.6817813932593
"Sutherland 2016",-106.5054,52.1677,2016,6,12,164,2016-06-12,17.37,23.82,9.98,3.88,4.02,53.44,6.24,314.99,30.98,47,16.6980859607669
"Sutherland 2016",-106.5054,52.1677,2016,6,13,165,2016-06-13,20.1,27.09,10.03,0,2.36,46.38,7.25,331.56,29.08,48,16.7127235297437
"Sutherland 2016",-106.5054,52.1677,2016,6,14,166,2016-06-14,21.21,28.51,12.42,2.49,3.95,53.25,10.48,346.55,25.8,49,16.7256777040408
"Sutherland 2016",-106.5054,52.1677,2016,6,15,167,2016-06-15,15.43,20.31,10.04,0,4.07,46.62,2.44,302.3,30.33,50,16.7369339181301
"Sutherland 2016",-106.5054,52.1677,2016,6,16,168,2016-06-16,14.93,20.64,10.09,14.71,3.21,69.62,8.98,347.41,13.12,51,16.7464795016932
"Sutherland 2016",-106.5054,52.1677,2016,6,17,169,2016-06-17,15.76,22.05,8.7,0,4.95,49.69,4.37,305.21,28.5,52,16.7543037364976
"Sutherland 2016",-106.5054,52.1677,2016,6,18,170,2016-06-18,17.99,25.98,9.19,0.24,3.07,54.88,7.62,330.5,27.59,53,16.7603979050196
"Sutherland 2016",-106.5054,52.1677,2016,6,19,171,2016-06-19,16.08,19.28,11.14,3.06,4.74,60.94,8.15,350.5,18.02,54,16.7647553303422
"Sutherland 2016",-106.5054,52.1677,2016,6,20,172,2016-06-20,17.42,24.73,7.91,0.02,3.22,49.56,5.83,308.46,29.89,55,16.7673714069374
"Sutherland 2016",-106.5054,52.1677,2016,6,21,173,2016-06-21,18.25,26.37,10.72,1.79,2.17,55.44,8.14,344.09,20.23,56,16.7682436220289
"Sutherland 2016",-106.5054,52.1677,2016,6,22,174,2016-06-22,19.27,25.57,12.79,0.23,1.69,63,10.99,337.56,28.74,57,16.76737156732
"Sutherland 2016",-106.5054,52.1677,2016,6,23,175,2016-06-23,22.1,28.8,14.59,0.06,2.72,52.31,11.11,357.52,28.32,58,16.7647569409705
"Sutherland 2016",-106.5054,52.1677,2016,6,24,176,2016-06-24,22.68,29.4,16.68,0.68,3.79,51.62,10.99,366.06,27.19,59,16.7604035397997
"Sutherland 2016",-106.5054,52.1677,2016,6,25,177,2016-06-25,16.87,19.91,13.69,12.53,3.17,79.81,13.23,367.55,18.57,60,16.7543172417945
"Sutherland 2016",-106.5054,52.1677,2016,6,26,178,2016-06-26,14.7,17.57,12.12,5.36,3.16,81.81,11.59,377.52,15.38,61,16.746505979094
"Sutherland 2016",-106.5054,52.1677,2016,6,27,179,2016-06-27,19.23,24.83,12.15,0.39,2.33,65,11.77,350.05,27.03,62,16.7369797017184
"Sutherland 2016",-106.5054,52.1677,2016,6,28,180,2016-06-28,21.23,27.24,13.51,0.06,1.89,54.5,10.75,357.77,25.27,63,16.725750332397
