"env","LON","LAT","DOY","YYYYMMDD","daysFromStart","T2M","T2M_MAX","T2M_MIN","T2MDEW","ALLSKY_SFC_LW_DWN","ALLSKY_SFC_SW_DWN","ALLSKY_SFC_SW_DNI","ALLSKY_SFC_PAR_TOT","ALLSKY_SFC_UVA","ALLSKY_SFC_UVB","PRECTOT","EVPTRNS","QV2M","RH2M","GWETROOT","GWETTOP","FROST_DAYS","WS2M","P_ETP","VPD","N","RTA","n","TH1","TH2","PAR_TEMP","DayLength"
"Osimo 2022",13.4961,43.4601,55,2022-02-24,1,11.47,13.71,9.2,6.2,24.17,13.7,21.33,5.89,0.71,0.01,0,0.57,5.85,70.33,0.82,0.84,0,2.53,-0.57,0.418065782233783,10.907,20.545,11.324,53.51969249,54.902,0.513513513513513,10.9067581909859
"Osimo 2022",13.4961,43.4601,56,2022-02-25,2,10.33,12.91,7.73,7.44,26.36,10.55,12.84,4.67,0.59,0.01,19.41,0.51,6.37,82.47,0.82,0.87,0,2.96,18.9,0.238546918767328,10.955,20.799,6.763,51.30804949,54.2084,0.452081316553727,10.9549856937999
"Osimo 2022",13.4961,43.4601,57,2022-02-26,3,6.59,8.28,5.53,3.59,27.76,3.01,0.22,1.51,0.22,0,34.57,0,4.86,81.41,0.86,0.93,0,10.76,34.57,0.209161082915798,11.003,21.054,0.115,45.30753981,49.0824,0.229135053110774,11.0033817319306
"Osimo 2022",13.4961,43.4601,58,2022-02-27,4,8.47,9.19,7.82,3.76,27.14,5.11,1.94,2.36,0.32,0,3.03,0,4.91,72.19,0.87,0.87,0,8.6,3.03,0.311648587295801,11.052,21.311,1.006,48.89087807,51.0236,0.278630460448642,11.0519358147767
"Osimo 2022",13.4961,43.4601,59,2022-02-28,5,8.19,9.94,6.33,2.01,24.22,12.32,15.85,5.23,0.63,0.01,0.02,0.32,4.32,65.25,0.86,0.86,0,5.75,-0.3,0.383702775817324,11.101,21.57,8.157,48.89368525,50.1136,0.638583638583639,11.1006378110743
"Osimo 2022",13.4961,43.4601,60,2022-03-01,6,6.61,7.5,5.6,1.02,24.53,10.12,13.99,4.32,0.54,0.01,0.11,0.05,4.01,67.49,0.85,0.86,0,6.02,0.06,0.315485734014452,11.149,21.831,7.145,46.41950811,48.1772,0.653555219364599,11.1494779354772
"Osimo 2022",13.4961,43.4601,61,2022-03-02,7,7.44,9.37,5.65,0.16,22.02,15.05,24.88,6.32,0.73,0.01,0,0.32,3.79,60.05,0.85,0.86,0,3.25,-0.32,0.426919694441783,11.198,22.093,12.611,48.1622928,48.6976,0.849462365591398,11.1984467348356
"Osimo 2022",13.4961,43.4601,62,2022-03-03,8,8.86,11.2,7.21,-0.16,23.55,12.53,10.7,5.36,0.66,0.01,0,0.44,3.73,53.4,0.85,0.86,0,1.3,-0.44,0.569589847334216,11.248,22.357,5.383,50.5243276,50.0024,0.604966139954853,11.2475350742198
"Osimo 2022",13.4961,43.4601,63,2022-03-04,9,8.32,10.13,6.2,4.1,26.69,4.67,1.5,2.23,0.3,0,3.36,0.04,5.08,74.78,0.85,0.87,0,4.13,3.32,0.274406753079448,11.297,22.622,0.749,48.50513904,50.996,0.268028846153846,11.2967341227254
"Osimo 2022",13.4961,43.4601,64,2022-03-05,10,7.84,8.86,6.49,1.87,24.91,10.64,12.16,4.48,0.54,0.01,0.26,0.11,4.32,65.98,0.85,0.86,0,6.22,0.15,0.353163736777125,11.346,22.889,6.028,48.33636368,49.7132,0.571428571428572,11.3460353390997
