"Entry","Name","Origin","Region","DTF_Culter","P1","P2","P3","P4","P5","P6","P7","P8","STR_Group"
1,"CDC_Asterix_AGL","Canada","Americas",7,0,0,0,0,0,0,0.048938,0.951062,"P8"
2,"CDC_Rosie_AGL","Canada","Americas",8,0,0,0,0,0,0,0,1,"P8"
3,"X3156.11_AGL","Canada","Americas",8,0,0,0,0,0,0,0.169824,0.830176,"P8"
4,"CDC_Greenstar_AGL","Canada","Americas",7,0,0,0,0,0,0,0.258426,0.741574,"Mix"
5,"CDC_Cherie_AGL","Canada","Americas",7,0,0,0,0,0.090267,0,0.111004,0.798729,"Mix"
6,"CDC_Glamis_AGL","Canada","Americas",8,0,0,0,0,0.003119,0,0.182356,0.814525,"P8"
7,"CDC_Gold_AGL","Canada","Americas",7,0.088823,0,0,0,0,0.01545,0.116633,0.779093,"Mix"
8,"CDC_Imax_AGL","Canada","Americas",7,0,0,0,0,0.11812,0,0.202169,0.679711,"Mix"
9,"CDC_Impower_AGL","Canada","Americas",7,0,0,0,0,0,0,0.220574,0.779426,"Mix"
10,"CDC_KR.1_AGL","Canada","Americas",3,0,0,0,0,0.030931,0,0.284686,0.684383,"Mix"
11,"CDC_LeMay_AGL","Canada","Americas",7,0,0,0,0,0,0,0,1,"P8"
12,"CDC_Maxim_AGL","Canada","Americas",3,0,0,0,0,0.079975,0,0.144462,0.775562,"Mix"
13,"CDC_QG.1_AGL","Canada","Americas",8,0,0,0,0,0,0,0.093211,0.906789,"P8"
14,"CDC_Red_Rider_AGL","Canada","Americas",8,0,0,0,0,0.093886,0,0.184124,0.72199,"Mix"
15,"CDC_Redcoat_AGL","Canada","Americas",7,0,0,0,0,0.160574,0,0.124108,0.715317,"Mix"
16,"CDC_Redwing_AGL","Canada","Americas",7,0,0,0,0,0.470539,0,0.11752,0.41194,"Mix"
17,"CDC_Robin_AGL","Canada","Americas",7,0,0,0,0,0,0,0,1,"P8"
18,"CDC_Rosebud_AGL","Canada","Americas",3,0,0,0,0,0,0,0,1,"P8"
19,"CDC_Rosetown_AGL","Canada","Americas",8,0,0,0,0,0,0,0,1,"P8"
20,"CDC_Rouleau_AGL","Canada","Americas",7,0,0,0,0,0,0,0.27756,0.72244,"Mix"
21,"CDC_Royale_AGL","Canada","Americas",7,0,0,0,0,0,0,0,1,"P8"
22,"CDC_Ruby_AGL","Canada","Americas",3,0.013717,0,0,0,0.049068,0.092106,0,0.845108,"P8"
23,"CDC_SB.1_AGL","Canada","Americas",4,0.058069,0.070756,0,0,0.000555,0,0.120164,0.750456,"Mix"
24,"CDC_Sedley_AGL","Canada","Americas",3,0,0,0,0,0.048496,0,0.400468,0.551036,"Mix"
25,"CDC_Vantage_AGL","Canada","Americas",3,0,0,0,0,0.030459,0,0.174948,0.794593,"Mix"
26,"CN_105604_AGL","Ethiopia","Africa",2,0,0,0,1,0,0,0,0,"P4"
27,"CN_105605_AGL","Eritrea","Africa",4,0,0,0.02535,0,0.232877,0.558934,0.014729,0.16811,"Mix"
28,"CN_105715_AGL","Ethiopia","Africa",4,0,0,0,0,0.410176,0,0.589824,0,"Mix"
29,"CN_105732_AGL","Ethiopia","Africa",3,0,0,0,0,0,0.152817,0.135996,0.711187,"Mix"
30,"CN_105767_AGL","Libya","Africa",2,0,0.102902,0,0,0,0,0,0.897098,"P8"
31,"CN_105777_AGL","Egypt","Africa",1,0.022534,0,0,0.060964,0.734764,0,0.181738,0,"Mix"
32,"CN_105789_AGL","Ethiopia","Africa",2,0,0,0,0,1,0,0,0,"P5"
33,"CN_105791_AGL","Egypt","Africa",1,0.008904,0,0,0.066658,0.748169,0,0.176269,0,"Mix"
34,"CN_105862_AGL","Tunisia","Africa",7,0,0,0,0,0.112833,0,0.887167,0,"P7"
35,"CN_105863_AGL","Tunisia","Africa",7,0,0,0.574372,0,0,0,0.425628,0,"Mix"
36,"CN_105864_AGL","Tunisia","Africa",7,0,0.031474,0,0,0,0,0.470409,0.498116,"Mix"
37,"CN_105865_AGL","Tunisia","Africa",7,0,0,0,0,0,0,1,0,"P7"
38,"CN_105895_AGL","Egypt","Africa",2,0,0,0,0,1,0,0,0,"P5"
39,"CN_106265_AGL","Egypt","Africa",7,0.03067,0,0,0,0.057155,0.029849,0.063454,0.818872,"P8"
40,"CN_108369_AGL","Libya","Africa",7,0,0,0,0,0,0,0.286622,0.713378,"Mix"
41,"CN_108370_AGL","Libya","Africa",8,0,0,0,0,0,0,0,1,"P8"
42,"Crimson_AGL","USA","Americas",3,0,0,0,0,0,0.047977,0.283633,0.66839,"Mix"
43,"DPL_62_AGL","India","Asia",2,0.07207,0,0.156443,0.748369,0,0,0.023118,0,"Mix"
44,"Eston_AGL","Canada","Americas",4,0,0,0,0,0,0,0,1,"P8"
45,"Gudo_AGL","Ethiopia","Africa",2,0,0.060112,0,0,0.291594,0,0.648293,0,"Mix"
46,"IG_1046_AGL","Egypt","Africa",4,0.938393,0,0,0,0,0.061607,0,0,"P1"
47,"IG_1706_AGL","Ethiopia","Africa",6,0.548641,0,0,0,0,0.451359,0,0,"Mix"
48,"IG_1959_AGL","Ethiopia","Africa",4,0,0,1,0,0,0,0,0,"P3"
49,"IG_4258_AGL","India","Asia",2,0.539814,0,0,0,0,0.460186,0,0,"Mix"
50,"IG_4781_AGL","Algeria","Africa",7,0,0,1,0,0,0,0,0,"P3"
51,"IG_858_AGL","Algeria","Africa",4,0,0,0,0.981814,0,0,0.018185,0,"P4"
52,"ILL_10657_AGL","Turkey","Asia",2,0,0,0,0,0.088415,0,0.911585,0,"P7"
53,"ILL_10748_AGL","ICARDA",NA,1,0.031508,0.050525,0,0,0,0,0,0.917967,"P8"
