"Name","Origin","Cluster","P1","P2","P3","P4","P5","P6","P7","P8","STR_Group","Region"
"CDC_Asterix_AGL","Canada",7,0,0,0,0,0,0,0.048938,0.951062,"P8","Americas"
"CDC_Rosie_AGL","Canada",8,0,0,0,0,0,0,0,1,"P8","Americas"
"X3156.11_AGL","Canada",8,0,0,0,0,0,0,0.169824,0.830176,"P8","Americas"
"CDC_Greenstar_AGL","Canada",7,0,0,0,0,0,0,0.258426,0.741574,"Mix","Americas"
"CDC_Cherie_AGL","Canada",7,0,0,0,0,0.090267,0,0.111004,0.798729,"Mix","Americas"
"CDC_Glamis_AGL","Canada",8,0,0,0,0,0.003119,0,0.182356,0.814525,"P8","Americas"
"CDC_Gold_AGL","Canada",7,0.088823,0,0,0,0,0.01545,0.116633,0.779093,"Mix","Americas"
"CDC_Imax_AGL","Canada",7,0,0,0,0,0.11812,0,0.202169,0.679711,"Mix","Americas"
"CDC_Impower_AGL","Canada",7,0,0,0,0,0,0,0.220574,0.779426,"Mix","Americas"
"CDC_KR.1_AGL","Canada",3,0,0,0,0,0.030931,0,0.284686,0.684383,"Mix","Americas"
"CDC_LeMay_AGL","Canada",7,0,0,0,0,0,0,0,1,"P8","Americas"
"CDC_Maxim_AGL","Canada",3,0,0,0,0,0.079975,0,0.144462,0.775562,"Mix","Americas"
"CDC_QG.1_AGL","Canada",8,0,0,0,0,0,0,0.093211,0.906789,"P8","Americas"
"CDC_Red_Rider_AGL","Canada",8,0,0,0,0,0.093886,0,0.184124,0.72199,"Mix","Americas"
"CDC_Redcoat_AGL","Canada",7,0,0,0,0,0.160574,0,0.124108,0.715317,"Mix","Americas"
"CDC_Redwing_AGL","Canada",7,0,0,0,0,0.470539,0,0.11752,0.41194,"Mix","Americas"
"CDC_Robin_AGL","Canada",7,0,0,0,0,0,0,0,1,"P8","Americas"
"CDC_Rosebud_AGL","Canada",3,0,0,0,0,0,0,0,1,"P8","Americas"
"CDC_Rosetown_AGL","Canada",8,0,0,0,0,0,0,0,1,"P8","Americas"
"CDC_Rouleau_AGL","Canada",7,0,0,0,0,0,0,0.27756,0.72244,"Mix","Americas"
"CDC_Royale_AGL","Canada",7,0,0,0,0,0,0,0,1,"P8","Americas"
"CDC_Ruby_AGL","Canada",3,0.013717,0,0,0,0.049068,0.092106,0,0.845108,"P8","Americas"
"CDC_SB.1_AGL","Canada",4,0.058069,0.070756,0,0,0.000555,0,0.120164,0.750456,"Mix","Americas"
"CDC_Sedley_AGL","Canada",3,0,0,0,0,0.048496,0,0.400468,0.551036,"Mix","Americas"
"CDC_Vantage_AGL","Canada",3,0,0,0,0,0.030459,0,0.174948,0.794593,"Mix","Americas"
"CN_105604_AGL","Ethiopia",2,0,0,0,1,0,0,0,0,"P4","Africa"
"CN_105604_AGL","Ethiopia",2,0,0,0,1,0,0,0,0,"P4","Africa"
"CN_105605_AGL","Eritrea",4,0,0,0.02535,0,0.232877,0.558934,0.014729,0.16811,"Mix","Africa"
"CN_105715_AGL","Ethiopia",4,0,0,0,0,0.410176,0,0.589824,0,"Mix","Africa"
"CN_105715_AGL","Ethiopia",4,0,0,0,0,0.410176,0,0.589824,0,"Mix","Africa"
"CN_105732_AGL","Ethiopia",3,0,0,0,0,0,0.152817,0.135996,0.711187,"Mix","Africa"
"CN_105732_AGL","Ethiopia",3,0,0,0,0,0,0.152817,0.135996,0.711187,"Mix","Africa"
"CN_105767_AGL","Libya",2,0,0.102902,0,0,0,0,0,0.897098,"P8","Africa"
