Name,Testa_Pattern,DTF_Nepal_2017,DTF_Sask_2017
CDC Asterix AGL,Absent,128,55
CDC_Rosie_AGL,Absent,123,59
3156-11_AGL,Absent,125,61
CDC_Greenstar_AGL,Absent,121,57
CDC_Cherie_AGL,Absent,125,54
CDC_Glamis_AGL,Absent,123,59
CDC_Gold_AGL,Absent,125,54
CDC_Imax_AGL,Absent,129,53
CDC_Impower_AGL,Absent,123,57
CDC_KR.1_AGL,Absent,122,57
CDC_LeMay_AGL,Present,127,56
CDC_Maxim_AGL,Absent,126,54
CDC_QG-1_AGL,Absent,127,58
CDC_Red_Rider_AGL,Absent,124,57
CDC_Redcoat_AGL,Absent,127,58
CDC_Redwing_AGL,Absent,129,57
CDC_Robin_AGL,NA,125,52
CDC_Rosebud_AGL,NA,121,55
CDC_Rosetown_AGL,Absent,124,58
CDC_Rouleau_AGL,NA,124,55
CDC_Royale_AGL,Present,123,56
CDC_Ruby_AGL,Absent,114,53
CDC_SB.1_AGL,Present,122,47
CDC_Sedley_AGL,Absent,122,55
CDC_Vantage_AGL,Absent,122,54
CN_105604_AGL,Present,110,46
CN_105605_AGL,NA,117,44
CN_105715_AGL,NA,120,44
CN_105732_AGL,NA,118,52
CN_105767_AGL,NA,107,44
CN_105777_AGL,Absent,97,42
CN_105789_AGL,Present,104,44
CN_105791_AGL,Absent,77,45
CN_105862_AGL,NA,131,53
CN_105863_AGL,NA,129,52
CN_105864_AGL,NA,130,53
CN_105865_AGL,NA,133,53
CN_105895_AGL,Present,100,46
CN_106265_AGL,NA,126,57
CN_108369_AGL,NA,122,55
CN_108370_AGL,NA,124,58
Crimson_AGL,NA,114,55
DPL_62_AGL,Present,96,43
Eston_AGL,NA,123,49
Gudo_AGL,Absent,118,45
IG_1046_AGL,Absent,124,47
IG_1706_AGL,Absent,130,46
IG_1959_AGL,Present,122,47
IG_4258_AGL,Present,106,44
IG_4781_AGL,Absent,142,55
IG_858_AGL,NA,125,48
ILL_10657_AGL,Absent,108,44
ILL_10748_AGL,Absent,97,48
ILL_11547_AGL,NA,105,43
ILL_11548_AGL,NA,102,44
ILL_11553_AGL,Present,100,46
ILL_11555_AGL,NA,95,44
ILL_11557_AGL,Present,96,45
ILL_11558_AGL,Present,96,43
ILL_1220_AGL,Absent,122,47
ILL_1553_AGL,Absent,115,47
ILL_1762_AGL,Present,132,52
ILL_1983_AGL,Present,107,47
ILL_213_AGL,Absent,148,45
ILL_2194_AGL,Absent,125,48
PI_431893_LSP_AGL,NA,114,50
ILL_2507_AGL,Present,102,44
ILL_2580_AGL,Present,116,43
ILL_28_AGL,NA,128,47
ILL_3025_AGL,Present,103,45
ILL_313_AGL,NA,127,47
ILL_3347_AGL,Present,102,45
ILL_358_AGL,Absent,120,46
ILL_3597_AGL,Present,108,45
ILL_4164_AGL,Present,124,48
ILL_4400_AGL,Absent,126,52
ILL_4605_AGL,Absent,91,47
ILL_4609_AGL,Present,129,47
ILL_4665_AGL,NA,118,53
ILL_4671_AGL,Absent,127,51
ILL_4768_AGL,Present,112,43
ILL_4782_AGL,Present,108,41
ILL_4783_AGL,NA,126,56
ILL_4804_AGL,Absent,122,46
ILL_4875_AGL,Present,128,57
ILL_4956_AGL,NA,123,54
ILL_5058_AGL,NA,140,55
ILL_5151_AGL,Present,125,48
ILL_5209_AGL,Absent,122,48
ILL_5480_AGL,NA,126,55
ILL_5639_AGL,NA,121,47
ILL_5722_AGL,Absent,106,44
ILL_5883_AGL,Absent,123,46
ILL_5888_AGL,Present,53,41
ILL_5945_AGL,Present,108,41
ILL_6002_AGL,Absent,96,47
ILL_618_AGL,Present,121,47
ILL_6182_AGL,NA,120,47
ILL_6211_AGL,Absent,94,47
ILL_624_AGL,NA,121,51
ILL_6821_AGL,Absent,127,47
ILL_6853_AGL,NA,127,49
ILL_7089_AGL,Absent,121,46
ILL_7558_AGL,NA,95,48
ILL_7663_AGL,NA,67,44
ILL_7668_AGL,Present,107,47
ILL_7716_AGL,Absent,90,47
ILL_7747_AGL,NA,129,47
ILL_7946_AGL,Absent,121,45
ILL_7978_AGL,Absent,108,44
ILL_7979_AGL,Present,103,47
ILL_8007_AGL,Present,84,40
ILL_8009_AGL,Present,97,42
ILL_8010_AGL,Present,95,45
ILL_8072_AGL,Present,124,49
ILL_8174_AGL,Absent,122,49
ILL_8595_AGL,Absent,120,47
ILL_9_AGL,Absent,109,42
ILL_975_AGL,Absent,125,45
ILL_9888_AGL,Absent,123,44
ILL_9932_AGL,Present,108,45
ILL_9945_AGL,Absent,108,43
ILL_9977_AGL,Present,106,44
ILL_9997_AGL,Present,98,44
ILWL_118_AGL,NA,109,50
Indianhead_AGL,Present,128,62
IPL_220_AGL,Present,98,41
Laird_AGL,Absent,122,58
LIRL.22.46_AGL,Absent,78,46
PI_163589_AGL,Absent,134,53
PI_169534_LSP_AGL,NA,123,53
PI_175754_LSP_AGL,Present,124,47
PI_177430_LSP_AGL,NA,127,51
PI_178939_LSP_AGL,NA,128,53
PI_178952_AGL,Absent,120,48
PI_178971_LSP_AGL,Present,123,54
PI_179324_LSP_AGL,Present,137,49
PI_179330_AGL,Absent,120,49
PI_181771_LSP_AGL,Present,122,53
PI_181886_LSP_AGL,NA,131,50
PI_182217_LSP_AGL,Absent,125,47
PI_193546_AGL,Present,129,47
PI_193547_LSP_AGL,NA,125,53
PI_193548_LSP_AGL,Present,107,42
PI_193550_AGL,Present,107,41
PI_207492_LSP_AGL,Present,122,54
PI_518731_LSP_AGL,NA,123,51
PI_209858_LSP_AGL,Absent,140,60
PI_211052_LSP_AGL,Present,132,48
PI_212100_LSP_AGL,Present,125,51
PI_212610_LSP_AGL,Present,123,54
PI_217949_LSP_AGL,Present,115,45
PI_238758_LSP_AGL,NA,123,51
PI_244046_AGL,Present,91,42
PI_250156_LSP_AGL,Present,128,49
PI_250158_LSP_AGL,Present,98,44
PI_251248_LSP_AGL,Present,83,38
PI_273664_LSP_AGL,Present,137,52
PI_280686_AGL,Absent,97,45
PI_283604_LSP_AGL,Absent,131,54
PI_289066_AGL,Absent,142,59
PI_289073_LSP_AGL,Present,123,54
PI_289079_LSP_AGL,Present,124,56
PI_290716_LSP_AGL,Present,123,52
PI_297285_LSP_AGL,Absent,116,54
PI_297287_AGL,Absent,122,52
PI_297754_LSP_AGL,NA,123,50
PI_297767_AGL,Absent,130,55
PI_297772_LSP_AGL,Present,131,51
PI_297783_AGL,Present,104,42
PI_297787_LSP_AGL,Present,123,49
PI_298023_LSP_AGL,Absent,121,47
PI_298121_LSP_AGL,NA,118,48
PI_298122_LSP_AGL,Present,123,54
PI_298357_LSP_AGL,Absent,116,46
PI_298631_LSP_AGL,NA,130,58
PI_298644_LSP_AGL,NA,138,59
PI_298645_AGL,NA,123,54
PI_298921_AGL,NA,131,48
PI_298922_LSP_AGL,NA,133,52
PI_298923_LSP_AGL,Absent,122,47
PI_299116_LSP_AGL,Present,120,47
PI_299120_LSP_AGL,NA,115,48
PI_299121_LSP_AGL,NA,112,46
PI_299126_LSP_AGL,NA,115,44
PI_299163_LSP_AGL,NA,136,52
PI_299164_LSP_AGL,NA,122,48
PI_299165_AGL,Absent,131,50
PI_299177_LSP_AGL,NA,126,48
PI_299237_LSP_AGL,NA,121,48
PI_299289_AGL,Absent,120,50
PI_299312_AGL,NA,124,56
PI_299345_AGL,Absent,132,53
PI_299351_LSP_AGL,Absent,123,50
PI_299366_LSP_AGL,Absent,131,47
PI_299375_LSP_AGL,Absent,130,50
PI_300250_LSP_AGL,Present,132,48
PI_302398_LSP_AGL,Absent,121,45
PI_308614_LSP_AGL,Present,136,52
PI_311107_LSP_AGL,Absent,137,53
PI_312175_LSP_AGL,NA,130,56
PI_320935_LSP_AGL,Absent,125,45
PI_320936_LSP_AGL,Present,108,52
PI_320937_LSP_AGL,Present,122,59
CN_105866_AGL,NA,138,54
PI_320941_LSP_AGL,Present,136,50
PI_320945_LSP_AGL,Present,133,51
PI_320946_LSP_AGL,Absent,125,48
PI_320952_LSP_AGL,Present,129,62
PI_320953_LSP_AGL,Present,137,59
PI_320954_LSP_AGL,Present,123,55
PI_329157_LSP_AGL,NA,122,47
PI_329167_LSP_AGL,Absent,119,49
PI_339266_LSP_AGL,Absent,121,43
PI_339283_LSP_AGL,Present,128,50
PI_339285_AGL,NA,143,49
PI_339289_LSP_AGL,Absent,121,45
PI_339292_LSP_AGL,Absent,118,46
PI_339296_AGL,Absent,119,46
PI_343026_LSP_AGL,Present,118,48
PI_345627_LSP_AGL,Present,126,59
PI_358602_LSP_AGL,NA,125,53
PI_368647_LSP_AGL,NA,127,53
PI_368651_LSP_AGL,NA,126,53
PI_370481_LSP_AGL,Absent,138,53
PI_374116_LSP_AGL,Present,121,54
PI_374117_LSP_AGL,NA,124,48
PI_374118_AGL,Present,123,48
PI_374120_LSP_AGL,NA,121,57
PI_374121_AGL,Absent,122,51
PI_379368_LSP_AGL,Absent,123,50
PI_383682_LSP_AGL,Absent,122,48
PI_420818_AGL,Absent,131,52
PI_420924_LSP_AGL,NA,124,48
PI_420925_LSP_AGL,Present,125,48
PI_420929_LSP_AGL,Present,127,50
PI_426202_LSP_AGL,Present,129,48
PI_426778_LSP_AGL,NA,121,49
PI_426784_LSP_AGL,Present,102,46
PI_426797_LSP_AGL,Present,102,44
PI_426807_LSP_AGL,NA,124,46
PI_431618_LSP_AGL,NA,121,49
PI_431622_LSP_AGL,NA,126,52
PI_431630_LSP_AGL,NA,136,49
PI_431633_LSP_AGL,NA,117,47
PI_431636_LSP_AGL,Absent,124,47
PI_431643_LSP_AGL,NA,122,45
PI_431662_LSP_AGL,NA,123,50
PI_431663_LSP_AGL,NA,126,48
PI_431679_LSP_AGL,NA,125,53
PI_431684_LSP_AGL,NA,127,49
PI_431705_LSP_AGL,NA,116,48
PI_431710_LSP_AGL,NA,119,50
PI_431714_LSP_AGL,NA,121,51
PI_431717_LSP_AGL,NA,127,50
PI_431728_LSP_AGL,Absent,119,50
PI_431731_LSP_AGL,NA,122,50
PI_431739_LSP_AGL,Present,117,48
PI_431753_LSP_AGL,NA,120,48
PI_431756_LSP_AGL,NA,123,49
PI_431809_LSP_AGL,NA,133,48
PI_431824_LSP_AGL,Absent,122,45
PI_431863_LSP_AGL,Absent,125,51
PI_431873_LSP_AGL,NA,131,49
PI_431884_LSP_AGL,Absent,123,46
PI_431888_LSP_AGL,NA,129,49
PI_431923_LSP_AGL,NA,137,53
PI_431980_LSP_AGL,Absent,120,47
PI_432000_LSP_AGL,NA,132,47
PI_432001_LSP_AGL,Absent,124,47
PI_432002_LSP_AGL,Absent,135,50
PI_432005_LSP_AGL,Absent,122,48
PI_432028_LSP_AGL,NA,125,51
PI_432033_LSP_AGL,NA,124,51
PI_432085_LSP_AGL,Absent,121,46
PI_432106_LSP_AGL,Absent,123,49
PI_432124_LSP_AGL,NA,122,48
PI_432145_LSP_AGL,NA,123,53
PI_432147_LSP_AGL,NA,126,49
PI_432184_LSP_AGL,NA,116,46
PI_432188_LSP_AGL,NA,117,46
PI_432190_LSP_AGL,NA,122,54
PI_432201_LSP_AGL,NA,120,52
PI_432212_LSP_AGL,Present,122,48
PI_432236_LSP_AGL,Present,122,49
PI_432245_LSP_AGL,Absent,116,45
PI_432271_LSP_AGL,NA,123,55
PI_432286_LSP_AGL,Present,135,53
PI_451763_LSP_AGL,NA,120,46
PI_458503_LSP_AGL,NA,121,49
PI_468900_LSP_AGL,NA,123,52
PI_468901_AGL,NA,128,60
PI_468902_LSP_AGL,NA,118,48
PI_472136_LSP_AGL,Present,99,43
PI_472205_LSP_AGL,Present,90,44
PI_472213_LSP_AGL,Absent,123,47
PI_472327_LSP_AGL,NA,100,44
PI_472380_LSP_AGL,Present,98,44
PI_472416_LSP_AGL,Present,108,46
PI_472488_LSP_AGL,Present,104,44
PI_472559_LSP_AGL,Present,103,43
PI_472561_LSP_AGL,Present,103,46
PI_472569_LSP_AGL,Present,105,44
PI_472588_LSP_AGL,Present,124,50
PI_472590_LSP_AGL,Absent,123,48
PI_472615_LSP_AGL,Absent,119,46
PI_472629_LSP_AGL,Absent,118,46
PI_477921_LSP_AGL,Absent,121,47
PI_490288_LSP_AGL,Present,123,55
PI_490289_LSP_AGL,Present,121,48
PI_508090_AGL,NA,121,46
PI_518733_LSP_AGL,NA,122,59
PI_518734_LSP_AGL,NA,123,60
PI_533688_LSP_AGL,Absent,139,53
PI_533693_LSP_AGL,Present,123,55
PI_612875_AGL,Present,117,45
PI_643451_AGL,Present,108,46
PI_643452_AGL,Present,109,44
Shasta_AGL,Absent,120,50
W6_27754_LSP_AGL,Absent,127,58
W6_27760_LSP_AGL,Absent,114,53
W6_27763_LSP_AGL,Absent,125,46
W6_27766_LSP_AGL,Present,106,47
W6_27767_LSP_AGL,Present,129,49
