"Name","Cotyledon_Color","DTF_Sask_2017","DTF_Nepal_2017","Het","MAF","MCF"
"CDC_Asterix_AGL","Yellow",54.7,128,0.0253694603653275,0.192405511703741,0.0180992784666748
"CDC_Rosie_AGL","Red",59,123.3,0.0282376627472468,0.208115779514315,0.0667723052499205
"X3156.11_AGL","Red",60.7,125.3,0.0235758023029251,0.17552779227356,0.0372153035226404
"CDC_Greenstar_AGL","Yellow",56.7,121,0.0231058718507626,0.0128185923088446,0.0275413462081595
"CDC_Cherie_AGL","Red",54.3,125.3,0.0780686452642749,0.191722117585172,0.0166306445043658
"CDC_Glamis_AGL","Yellow",59,123,0.0112134034591743,0.0790980935684324,0.0283202573379672
"CDC_Gold_AGL","Yellow",54,125.3,0.0148618668835603,0.116243956770996,0.0204122283101493
"CDC_Imax_AGL","Red",53,128.7,0.0187702079259799,0.141965073036077,0.0694806565447859
"CDC_Impower_AGL","Yellow",57,123.3,0.0127208833669204,0.0799343803607415,0.107477844140478
"CDC_KR.1_AGL","Red",57,121.7,0.0167895646398239,0.125580408484573,0.0331929113141301
"CDC_LeMay_AGL","Yellow",55.7,126.7,0.038404448175591,0.191733279799491,0.0226032874806387
"CDC_Maxim_AGL","Red",54.3,125.7,0.0442347881931755,0.186084509840794,0.162114595070266
"CDC_QG.1_AGL","Green",57.7,126.7,0.0189685582417118,0.136068072762094,0.155538444615554
"CDC_Red_Rider_AGL","Red",57,123.5,0.0156484986775917,0.122452419229373,0.082763766956925
"CDC_Redcoat_AGL","Red",57.7,126.7,0.0255950543010913,0.183227586481668,0.104576251534782
"CDC_Redwing_AGL","Red",57.3,128.7,0.02403472795224,0.200272715138572,0.0199752056533489
"CDC_Robin_AGL","Red",52,124.7,0.0297196913606687,0.223846120898016,0.0282816090758011
"CDC_Rosebud_AGL","Red",54.7,121.3,0.0297305183301724,0.214763830127203,0.144131261390089
"CDC_Rosetown_AGL","Red",57.7,123.7,0.0296256005801831,0.20922853775723,0.180136577012608
"CDC_Rouleau_AGL","Red",55.3,123.7,0.0232414203796511,0.176324663941172,0.111369426846272
"CDC_Royale_AGL","Green",56.3,123.3,0.0491664123302304,0.163737028841752,0.0648785404037852
"CDC_Ruby_AGL","Red",52.7,114,0.0332885418558199,0.239578717995279,0.181400077891113
"CDC_SB.1_AGL","Yellow",47.3,121.7,0.0718967365081534,0.240289158272736,0.303745611192537
"CDC_Sedley_AGL","Yellow",54.7,121.7,0.0167214051624693,0.110202526554932,0.157262751696807
"CDC_Vantage_AGL","Yellow",53.7,122.3,0.0158475120928187,0.112270405574536,0.121108788912111
"CN_105604_AGL","Red",45.7,110.3,0.0494381511009377,0.380439659769278,0.0856534677896464
"CN_105605_AGL","",44,117,0.13592435017546,0.34064625322195,0.0426825461475115
"CN_105715_AGL","",44,119.7,0.0398269465622388,0.303159419508192,0.228304203444452
"CN_105732_AGL","Yellow",52.3,118.3,0.0269616080430756,0.194750334293907,0.168485612441173
"CN_105767_AGL","",44.3,107,0.0367079814266389,0.256971104042509,0.0242443521510731
"CN_105777_AGL","Red",42.3,97.3,0.0421621734893809,0.336934161768353,0.148777971679743
"CN_105789_AGL","Red",44,104.3,0.0418219527760051,0.374558072750479,0.0682795874743955
"CN_105791_AGL","Red",45,76.7,0.0424664074756156,0.337439465247937,0.128273582129044
"CN_105862_AGL","Yellow",53,130.7,0.0375314946910051,0.287604738158459,0.0359904509063017
"CN_105863_AGL","Yellow",52,129.3,0.393528896698853,0.332117205624378,0.0119750153849813
"CN_105864_AGL","Yellow",53,130,0.0368547938431106,0.279943747295543,0.0381339429848945
"CN_105865_AGL","Yellow",52.7,132.7,0.0359927162741891,0.272244683806055,0.0367366596604304
"CN_105895_AGL","Red",46,100,0.0402235431213816,0.378701892018039,0.0382023206794959
"CN_106265_AGL","",57,125.7,0.0779744776679595,0.214206180407857,0.0494905861752193
"CN_108369_AGL","Yellow",54.5,122.3,0.0227390751174928,0.165690805701971,0.0840242948921862
"CN_108370_AGL","Yellow",58,124.3,0.0273559125144016,0.199354744516281,0.0633177452009264
"Crimson_AGL","Red",55.3,114,0.0760212199893068,0.242366662718067,0.0714100967098437
