"Component","Trait","Proportion","vcov","sdcor"
"G x E","DTE",23.277752237316,5.54375217401719,2.35451739726365
"Genetic","DTE",9.5132397015654,2.2656415765503,1.50520482876926
"Rep:Env","DTE",12.2970817743186,2.92863216024617,1.71132467996175
"Residual + Env","DTE",54.9119262868001,13.0776420175104,3.61630225748766
"G x E","DTF",14.3574431218121,22.814652192596,4.77646859014021
"Genetic","DTF",74.6192999370849,118.57357612187,10.8891494673308
"Rep:Env","DTF",1.76145383915988,2.79903297215178,1.67303107327741
"Residual + Env","DTF",9.26180310194311,14.7174406093325,3.83633166049711
"G x E","DTS",16.8129413603049,21.3614713522547,4.62184717967337
"Genetic","DTS",72.1648513906843,91.6881450179435,9.57539268217986
"Rep:Env","DTS",1.493690150728,1.89778924937275,1.37760271826559
"Residual + Env","DTS",9.52851709828275,12.106337651602,3.47941628029789
"G x E","DTM",17.6050919524084,14.4558461181979,3.80208444385417
"Genetic","DTM",69.785125234033,57.3017757844967,7.56979364213429
"Rep:Env","DTM",1.31243292774272,1.07766142291062,1.03810472636947
"Residual + Env","DTM",11.2973498858159,9.27644978704328,3.04572647935485
"G x E","VEG",14.6690736314285,20.8610800476594,4.56739313478262
"Genetic","VEG",67.6227319941315,96.1671650586446,9.80648586694768
"Rep:Env","VEG",1.37919496521345,1.96137106497329,1.40048958045867
"Residual + Env","VEG",16.3289994092265,23.2216820457042,4.81888805075447
"G x E","REP",30.9185980184205,10.8500603988373,3.29394298657966
"Genetic","REP",32.0103945103845,11.2331973662377,3.35159624152995
"Rep:Env","REP",3.16821818779118,1.1118019864209,1.05442021339734
"Residual + Env","REP",33.9027892834038,11.8972830267023,3.4492438340457
