"Component","Trait","Proportion","vcov","sdcor"
"G x E","DTE",23.2777521657568,5.54375216828653,2.3545173960467
"Genetic","DTE",9.51323970037397,2.26564158088943,1.50520483021064
"Rep:Env","DTE",12.2970819536953,2.92863220894161,1.71132469418916
"Residual + Env","DTE",54.9119261801739,13.0776420188006,3.61630225766606
"G x E","DTF",14.3574430885704,22.8146521987984,4.77646859078948
"Genetic","DTF",74.6193000033758,118.573576533976,10.8891494862536
"Rep:Env","DTF",1.7614538343916,2.79903297181627,1.67303107317715
"Residual + Env","DTF",9.26180307366218,14.717440602469,3.83633165960257
"G x E","DTS",16.8129413036008,21.3614713263649,4.62184717687257
"Genetic","DTS",72.1648515029374,91.6881453586725,9.57539269997176
"Rep:Env","DTS",1.49369011676177,1.89778921031787,1.37760270409065
"Residual + Env","DTS",9.5285170767,12.106337650338,3.47941628011625
"G x E","DTM",17.6050919715634,14.4558461347679,3.80208444603325
"Genetic","DTM",69.7851252356391,57.301775789151,7.56979364244172
"Rep:Env","DTM",1.31243291088681,1.07766140913267,1.03810471973336
"Residual + Env","DTM",11.2973498819106,9.27644978437656,3.04572647891707
"G x E","VEG",14.6690736571443,20.861080007604,4.56739313039769
"Genetic","VEG",67.6227318850932,96.1671645503423,9.80648584103104
"Rep:Env","VEG",1.37919497074939,1.96137106564159,1.40048958069726
"Residual + Env","VEG",16.3289994870131,23.2216820710287,4.81888805338209
"G x E","REP",30.9185980306897,10.850060402835,3.29394298718647
"Genetic","REP",32.0103945096784,11.2331973656711,3.35159624144542
"Rep:Env","REP",3.16821817805146,1.11180198297145,1.05442021176163
"Residual + Env","REP",33.9027892815804,11.8972830257248,3.449243833904
