"Entry","Name","Origin","Source","Lat","Lon","CollDate","CollDate_Group","a","b","c","DTF_Cluster","DTF_PC1","DTF_PC2","DTF_PC3","myG_PC1","myG_PC2","myG_PC3","STR_Group","G1","G2","G3","G4","G5","G6","G7","G8","Region","SubRegion","ISO3","Country_Lat","Country_Lon","Size","SeedMass1000","diameter","CotyledonColor","TestaColor","TestaPattern","BlackTesta","Urls"
1,"CDC Asterix AGL","Canada","USASK",52.137,-106.622,2012,"2000-2014",-0.0187716662822634,0.000337218421340274,0.00204558652125348,7,3.54448236194707,0.440814288712303,0.0751601069104444,-164.321714300385,159.353746264559,5.0014785785779,"G8",0,0,0,0,0,0,0.048938,0.951062,"Americas","Northern America","CAN",52.137,-106.622,"M",29.5890410958904,0.44,"Yellow","Green","Absent","Absent",NA
2,"CDC Rosie AGL","Canada","USASK",52.137,-106.622,2012,"2000-2014",-0.0146750282064116,0.000352470560585572,0.00169075691987598,8,3.52849023924396,3.67895312692245,0.505575228054782,-139.215434702678,156.565417880503,3.51983146903173,"G8",0,0,0,0,0,0,0,1,"Americas","Northern America","CAN",52.137,-106.622,"M",34.4420131291028,0.444,"Red","Grey","Absent","Absent",NA
3,"3156-11 AGL","Canada","USASK",52.137,-106.622,NA,NA,-0.0138803729777879,0.000356250257589655,0.00158730410706612,8,5.62048372566636,4.4241223530683,0.560729505173675,-171.719462327493,101.42206934835,-3.15651083058213,"G8",0,0,0,0,0,0,0.169824,0.830176,"Americas","Northern America","CAN",52.137,-106.622,"M",45.5729166666667,0.495,"Red","Grey","Absent","Absent",NA
4,"CDC Greenstar AGL","Canada","USASK",52.137,-106.622,2013,"2000-2014",-0.0154056470321614,0.000429344832951,0.00168912844577084,7,2.07983342535076,3.09109401471844,0.457309961248602,-185.026104630963,80.7645015746812,2.10644845281557,"Mix",0,0,0,0,0,0,0.258426,0.741574,"Americas","Northern America","CAN",52.137,-106.622,"XL",71.6857142857143,0.671,"Yellow","Green","Absent","Absent",NA
5,"CDC Cherie AGL","Canada","USASK",52.137,-106.622,2012,"2000-2014",-0.0174208378413679,0.000394818141746095,0.00190886594317692,7,1.60541961735283,1.4005642361084,0.721149977077666,-155.556988861163,80.6242035601422,-1.40266359758471,"Mix",0,0,0,0,0.090267,0,0.111004,0.798729,"Americas","Northern America","CAN",52.137,-106.622,"M",44.5675675675676,0.463,"Red","Grey","Absent","Absent",NA
6,"CDC Glamis AGL","Canada","USASK",52.137,-106.622,1998,"1980-2000",-0.01561627916672,0.00038250619332076,0.00173496043070313,8,3.41720812576708,2.98954645180697,0.26551015308113,-179.783846541701,106.436699249784,4.85470492014499,"G8",0,0,0,0,0.003119,0,0.182356,0.814525,"Americas","Northern America","CAN",52.137,-106.622,"XL",68.0357142857143,0.645,"Yellow","Green","Absent","Absent",NA
7,"CDC Gold AGL","Canada","USASK",52.137,-106.622,1993,"1980-2000",-0.0181937958037976,0.000414708187995799,0.00191209477656577,7,3.40421804727935,0.917123114654413,0.00122145215633442,-145.271159980205,129.000011654035,20.2688279487036,"Mix",0.088823,0,0,0,0,0.01545,0.116633,0.779093,"Americas","Northern America","CAN",52.137,-106.622,"XL",52.9856850715746,0.638,"Yellow","Green","Absent","Absent",NA
8,"CDC Imax AGL","Canada","USASK",52.137,-106.622,2009,"2000-2014",-0.0194152400169632,0.000279758748490445,0.00218850274315379,7,2.34140193606314,-0.283278141845045,1.03328561510757,-168.5114499136,31.9261926960384,4.39026423031604,"Mix",0,0,0,0,0.11812,0,0.202169,0.679711,"Americas","Northern America","CAN",52.137,-106.622,"L",50.6131386861314,0.551,"Red","Grey","Absent","Absent",NA
9,"CDC Impower AGL","Canada","USASK",52.137,-106.622,2009,"2000-2014",-0.0175066489321135,0.000382788043520127,0.00190004378252379,7,2.67463170075799,1.77423026062778,-0.530561602977272,-165.960303366288,93.7888570441431,0.987850272656177,"Mix",0,0,0,0,0,0,0.220574,0.779426,"Americas","Northern America","CAN",52.137,-106.622,"XL",70.4901960784314,0.606,"Yellow","Green","Absent","Absent",NA
10,"CDC KR-1 AGL","Canada","USASK",52.137,-106.622,2009,"2000-2014",-0.0150687008495716,0.000588140365103193,0.00149319213192524,3,1.53117653664273,4.1113006061086,-0.802031402395143,-169.180398953129,54.7360136807709,-2.11823073633198,"Mix",0,0,0,0,0.030931,0,0.284686,0.684383,"Americas","Northern America","CAN",52.137,-106.622,"L",59.6989966555184,0.548,"Red","Brown","Absent","Absent",NA
11,"CDC LeMay AGL","Canada","USASK",52.137,-106.622,2002,"2000-2014",-0.0170372373519495,0.00035474807515231,0.00189527390276896,7,2.69891391282244,2.07712954475147,-0.219760317112154,-163.036761884467,183.945633760268,-0.247386697417265,"G8",0,0,0,0,0,0,0,1,"Americas","Northern America","CAN",52.137,-106.622,NA,38.7656033287101,0.51,"Yellow","Green","Marbled","Pattern",NA
12,"CDC Maxim AGL","Canada","USASK",52.137,-106.622,2007,"2000-2014",-0.0178391620794389,0.000372200386744099,0.00197025305960811,3,1.37911844557505,1.29452917370352,-0.10726643076872,-145.053766144912,55.8425510024058,0.832473924900746,"Mix",0,0,0,0,0.079975,0,0.144462,0.775562,"Americas","Northern America","CAN",52.137,-106.622,"M",48.0257510729614,0.441,"Red","Grey","Absent","Absent","https://training.ars-grin.gov/gringlobal/AccessionDetail.aspx?id=1884300"
13,"CDC QG-1 AGL","Canada","USASK",52.137,-106.622,2012,"2000-2014",-0.0169362282288128,0.000407096290008721,0.00179165492889296,8,4.61156358322413,2.27950497081611,-0.68937662874535,-146.758222889053,124.292918497019,10.9809918654013,"G8",0,0,0,0,0,0,0.093211,0.906789,"Americas","Northern America","CAN",52.137,-106.622,NA,49.0430622009569,0.58,"Green","Dark Green","Absent","Absent",NA
14,"CDC Red Rider AGL","Canada","USASK",52.137,-106.622,2007,"2000-2014",-0.0164290584856289,0.000386581084973854,0.00179812882112576,8,3.61754267078808,2.28011933661156,0.357335062376846,-144.620767441768,56.4001702739417,4.3036922401276,"Mix",0,0,0,0,0.093886,0,0.184124,0.72199,"Americas","Northern America","CAN",52.137,-106.622,"M",49.358372456964,0.469,"Red","Grey","Absent","Absent",NA
15,"CDC Redcoat AGL","Canada","USASK",52.137,-106.622,2009,"2000-2014",-0.0158726999998727,0.000281315026245441,0.00187489215175835,7,3.77514153685897,1.78150207247957,1.72570872320349,-141.98236233694,36.175154829641,5.5001588835262,"Mix",0,0,0,0,0.160574,0,0.124108,0.715317,"Americas","Northern America","CAN",52.137,-106.622,"M",47.0728793309438,0.465,"Red","Grey","Absent","Absent",NA
16,"CDC Redwing AGL","Canada","USASK",52.137,-106.622,1994,"1980-2000",-0.0171415123174633,0.000284316106967889,0.00198365170215265,7,3.29601181925798,0.944234535692647,1.51799894274836,-153.957250321821,-108.504842425303,7.90695830932623,"Mix",0,0,0,0,0.470539,0,0.11752,0.41194,"Americas","Northern America","CAN",52.137,-106.622,"M",42.0886981402003,0.472,"Red","Green","Absent","Absent",NA
17,"CDC Robin AGL","Canada","USASK",52.137,-106.622,2002,"2000-2014",-0.0191697706327629,0.000397759215981779,0.00203245759280827,7,2.30782501991394,0.701941736188663,-0.477143264913767,-133.694206087514,199.462868650356,4.17859699516865,"G8",0,0,0,0,0,0,0,1,"Americas","Northern America","CAN",52.137,-106.622,"S",31.5963855421687,0.393,"Red","Brown","Mottle1","Mottle","https://training.ars-grin.gov/gringlobal/AccessionDetail.aspx?id=1818696"
18,"CDC Rosebud AGL","Canada","USASK",52.137,-106.622,2009,"2000-2014",-0.016804950545586,0.00059592786675994,0.00164128680508319,3,0.665957826202284,3.12549623475643,-1.34272492233471,-119.849347079113,175.066486254739,4.93410225034035,"G8",0,0,0,0,0,0,0,1,"Americas","Northern America","CAN",52.137,-106.622,"M",32.6666666666667,0.411,"Red","Tan","Mottle1","Mottle",NA
19,"CDC Rosetown AGL","Canada","USASK",52.137,-106.622,2005,"2000-2014",-0.0148253424009812,0.000334793059682081,0.0017085779394461,8,4.38265862913757,3.49859705709377,0.995767975433774,-121.349464222048,127.505547726884,4.9722732940329,"G8",0,0,0,0,0,0,0,1,"Americas","Northern America","CAN",52.137,-106.622,"M",34.9886363636364,0.411,"Red","Brown","Absent","Absent",NA
20,"CDC Rouleau AGL","Canada","USASK",52.137,-106.622,2004,"2000-2014",-0.0170449261344545,0.000334689508490782,0.00190856423885645,7,3.14386321215368,1.82989576578895,0.280434552865393,-167.261775286818,58.0830906550204,4.63923830964456,"Mix",0,0,0,0,0,0,0.27756,0.72244,"Americas","Northern America","CAN",52.137,-106.622,"M",41.6684723726977,0.465,"Red","Grey","Mottle0","Mottle",NA
21,"CDC Royale AGL","Canada","USASK",52.137,-106.622,1995,"1980-2000",-0.0166472480369164,0.000427069056254193,0.00179194421172591,7,2.08669004779714,2.19942647502194,-0.202095699566979,-171.364311908982,147.161713183811,-3.05613344054502,"G8",0,0,0,0,0,0,0,1,"Americas","Northern America","CAN",52.137,-106.622,"L",45.5710659898477,0.549,"Green","Dark Green","Marbled","Pattern",NA
22,"CDC Ruby AGL","Canada","USASK",52.137,-106.622,2010,"2000-2014",-0.0165716251177076,0.000619346711971303,0.00162896066828033,3,-0.576953009702529,2.99953920903595,-1.28989703997231,-85.3356433422511,114.793761065277,23.6081324875488,"G8",0.013717,0,0,0,0.049068,0.092106,0,0.845108,"Americas","Northern America","CAN",52.137,-106.622,"M",32.7024185068349,0.404,"Red","Grey","Absent","Absent",NA
23,"CDC SB-1 AGL","Canada","USASK",52.137,-106.622,2010,"2000-2014",-0.0226834499606913,0.000495237115560387,0.00226622018039968,4,-0.662830509181428,-0.699607259310607,-1.68083591307071,-84.8319525304218,70.4102229375008,-0.987088718136287,"Mix",0.058069,0.070756,0,0,0.000555,0,0.120164,0.750456,"Americas","Northern America","CAN",52.137,-106.622,"S",37.35,0.397,"Yellow","Grey","Dotted","Pattern",NA
24,"CDC Sedley AGL","Canada","USASK",52.137,-106.622,2001,"2000-2014",-0.0164369333669059,0.000432090013778777,0.00178387280915519,3,1.37734010327698,2.40747465364002,0.122950994822824,-165.596900218368,4.05887195583402,2.80619454670212,"Mix",0,0,0,0,0.048496,0,0.400468,0.551036,"Americas","Northern America","CAN",52.137,-106.622,"XL",61.4509803921569,0.634,"Yellow","Green","Absent","Absent",NA
25,"CDC Vantage AGL","Canada","USASK",52.137,-106.622,1998,"1980-2000",-0.0175361431646427,0.000524694850369989,0.00179029776647312,3,0.0860563522244836,2.36715394531684,-1.06100702974609,-150.354731137839,84.3654948014003,4.12049911352713,"Mix",0,0,0,0,0.030459,0,0.174948,0.794593,"Americas","Northern America","CAN",52.137,-106.622,"L",51.8292682926829,0.533,"Yellow","Green","Absent","Absent",NA
26,"CN 105604 AGL","Ethiopia","PGRC",NA,NA,1927,"1925-1940",-0.0188530590993635,0.000428111779003268,0.00210200387022675,2,-3.4511753976212,0.268268821191893,0.488226577929923,262.488018565141,7.53340714346629,-245.779617362034,"G4",0,0,0,1,0,0,0,0,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,NA,24.6412213740458,0.43,"Red","Black","Dotted","Present","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130226"
27,"CN 105605 AGL","Eritrea","PGRC",NA,NA,1927,"1925-1940",-0.0241837410412167,0.000566577746760854,0.00234348477402448,4,-1.64063132397371,-1.65416936998732,-2.17847247586378,88.9775672888227,-32.0068636337982,91.0077579479575,"Mix",0,0,0.02535,0,0.232877,0.558934,0.014729,0.16811,"Africa","Eastern Africa","ERI",15.36186881,38.84615444,"M",29.9409282700422,0.403,"Red/Yellow","Grey","Mottle0","Mottle","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130237"
28,"CN 105715 AGL","Ethiopia","PGRC",NA,NA,NA,NA,-0.0251028541684223,0.000477412577712177,0.00252849609044348,4,-2.00077103382722,-2.40948052131959,-1.04607673791546,-129.524121202183,-216.03666545397,-6.75687115227082,"Mix",0,0,0,0,0.410176,0,0.589824,0,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,"L",51.5051546391753,0.543,"Red/Yellow","Green","Mottle1","Mottle","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?129999"
29,"CN 105732 AGL","Ethiopia","PGRC",NA,NA,NA,NA,-0.0191076669475507,0.000558988289902811,0.00187197313864892,3,0.483345828886772,1.38199095202564,-1.44567427726104,-85.4430309792731,88.9405361926445,26.0161003569407,"Mix",0,0,0,0,0,0.152817,0.135996,0.711187,"Africa","Eastern Africa","ETH",8.62278417,39.6008014,"M",48.7692307692308,0.496,"Yellow","Green","Mottle1","Mottle","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130129"
30,"CN 105767 AGL","Libya","PGRC",NA,NA,NA,NA,-0.0232851407432815,0.000586641111655561,0.00228177792881719,2,-3.46763434276913,-0.86911551998484,-1.59983023769137,-112.71027249266,155.627031872904,-17.3803526642043,"G8",0,0.102902,0,0,0,0,0,0.897098,"Africa","Northern Africa","LBY",27.03094247,18.00865782,"M",31.4285714285714,0.41,"Red/Yellow","Grey","Mottle0","Mottle","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130168"
31,"CN 105777 AGL","Egypt","PGRC",NA,NA,NA,NA,-0.0203401749417175,0.000625955284960711,0.00207907317685527,1,-6.63930957193973,0.463511466989276,-0.584930300081796,-64.9786054668165,-227.245145718189,-5.71897258561629,"Mix",0.022534,0,0,0.060964,0.734764,0,0.181738,0,"Africa","Northern Africa","EGY",26.49593108,29.8618993,"S",29.9417249417249,0.387,"Red","Brown","Absent","Absent","http://pgrc3.agr.ca/cgi-bin/npgs/html/acchtml.pl?130180"
