DataSet,x,y
Data Set I,10,8.04
Data Set I,8,6.95
Data Set I,13,7.58
Data Set I,9,8.81
Data Set I,11,8.33
Data Set I,14,9.96
Data Set I,6,7.24
Data Set I,4,4.26
Data Set I,12,10.84
Data Set I,7,4.82
Data Set I,5,5.68
Data Set II,10,9.14
Data Set II,8,8.14
Data Set II,13,8.74
Data Set II,9,8.77
Data Set II,11,9.26
Data Set II,14,8.1
Data Set II,6,6.13
Data Set II,4,3.1
Data Set II,12,9.13
Data Set II,7,7.26
Data Set II,5,4.74
Data Set III,10,7.46
Data Set III,8,6.77
Data Set III,13,12.74
Data Set III,9,7.11
Data Set III,11,7.81
Data Set III,14,8.84
Data Set III,6,6.08
Data Set III,4,5.39
Data Set III,12,8.15
Data Set III,7,6.42
Data Set III,5,5.73
Data Set IV,8,6.58
Data Set IV,8,5.76
Data Set IV,8,7.71
Data Set IV,8,8.84
Data Set IV,8,8.47
Data Set IV,8,7.04
Data Set IV,8,5.25
Data Set IV,19,12.5
Data Set IV,8,5.56
Data Set IV,8,7.91
Data Set IV,8,6.89
