Entry,Name,Expt,DTF,DTM
1,CDC Asterix AGL,Ro16,47,96
1,CDC Asterix AGL,Ro17,48.66666667,80
1,CDC Asterix AGL,Su16,53.66666667,99.33333333
1,CDC Asterix AGL,Su17,54.66666667,89.66666667
1,CDC Asterix AGL,Su18,48,91.33333333
1,CDC Asterix AGL,Us18,61,96
1,CDC Asterix AGL,In16,86,NA
1,CDC Asterix AGL,In17,77.5,NA
1,CDC Asterix AGL,Ba16,104,NA
1,CDC Asterix AGL,Ba17,92.33333333,NA
1,CDC Asterix AGL,Ne16,123,145
1,CDC Asterix AGL,Ne17,128,156
1,CDC Asterix AGL,Sp16,123.6666667,152.3333333
1,CDC Asterix AGL,Sp17,133,154
1,CDC Asterix AGL,Mo16,130,158
1,CDC Asterix AGL,Mo17,123.6666667,167
1,CDC Asterix AGL,It16,136.6666667,174.6666667
1,CDC Asterix AGL,It17,144.3333333,174.3333333
2,CDC Rosie AGL,Ro16,52.33333333,97.33333333
2,CDC Rosie AGL,Ro17,51,NA
2,CDC Rosie AGL,Su16,57.33333333,101.3333333
2,CDC Rosie AGL,Su17,59,NA
2,CDC Rosie AGL,Su18,50,90.66666667
2,CDC Rosie AGL,Us18,68,99
2,CDC Rosie AGL,In16,77,NA
2,CDC Rosie AGL,In17,75,NA
2,CDC Rosie AGL,Ba16,89,NA
2,CDC Rosie AGL,Ba17,86,NA
2,CDC Rosie AGL,Ne16,124.5,148
2,CDC Rosie AGL,Ne17,123.3333333,153
2,CDC Rosie AGL,Sp16,118.6666667,156
2,CDC Rosie AGL,Sp17,124,153.3333333
2,CDC Rosie AGL,Mo16,128,157
2,CDC Rosie AGL,Mo17,118,166.6666667
2,CDC Rosie AGL,It16,128,174.6666667
2,CDC Rosie AGL,It17,138.5,173.6666667
3,3156-11 AGL,Ro16,54.33333333,100.3333333
3,3156-11 AGL,Ro17,52.66666667,NA
3,3156-11 AGL,Su16,59,104.6666667
3,3156-11 AGL,Su17,60.66666667,NA
3,3156-11 AGL,Su18,54.66666667,100.6666667
3,3156-11 AGL,Us18,71.5,99
3,3156-11 AGL,In16,86,NA
3,3156-11 AGL,In17,85,NA
3,3156-11 AGL,Ba16,90.66666667,NA
3,3156-11 AGL,Ba17,88,NA
3,3156-11 AGL,Ne16,122.3333333,146
3,3156-11 AGL,Ne17,125.3333333,158
3,3156-11 AGL,Sp16,120,151.6666667
3,3156-11 AGL,Sp17,130.3333333,156
3,3156-11 AGL,Mo16,129.3333333,163.3333333
3,3156-11 AGL,Mo17,127,166.3333333
3,3156-11 AGL,It16,134,180.6666667
3,3156-11 AGL,It17,145.6666667,175
4,CDC Greenstar AGL,Ro16,50.66666667,98.66666667
4,CDC Greenstar AGL,Ro17,50.66666667,NA
4,CDC Greenstar AGL,Su16,56,104.3333333
4,CDC Greenstar AGL,Su17,56.66666667,NA
4,CDC Greenstar AGL,Su18,50,96
4,CDC Greenstar AGL,Us18,59.66666667,95.66666667
4,CDC Greenstar AGL,In16,86,NA
4,CDC Greenstar AGL,In17,68,NA
4,CDC Greenstar AGL,Ba16,85.66666667,NA
4,CDC Greenstar AGL,Ba17,80.33333333,107.6666667
4,CDC Greenstar AGL,Ne16,118,145
4,CDC Greenstar AGL,Ne17,121,154
4,CDC Greenstar AGL,Sp16,111,148.6666667
4,CDC Greenstar AGL,Sp17,124,152.3333333
4,CDC Greenstar AGL,Mo16,119.6666667,158.3333333
4,CDC Greenstar AGL,Mo17,116.3333333,165.3333333
4,CDC Greenstar AGL,It16,129.3333333,180.6666667
4,CDC Greenstar AGL,It17,138.6666667,172.3333333
5,CDC Cherie AGL,Ro16,49,98
5,CDC Cherie AGL,Ro17,47.66666667,81
5,CDC Cherie AGL,Su16,51,102.3333333
5,CDC Cherie AGL,Su17,54.33333333,88.5
5,CDC Cherie AGL,Su18,47.66666667,91.66666667
5,CDC Cherie AGL,Us18,61,93.66666667
5,CDC Cherie AGL,In16,86,NA
5,CDC Cherie AGL,In17,67.33333333,NA
5,CDC Cherie AGL,Ba16,97.5,NA
5,CDC Cherie AGL,Ba17,87,NA
5,CDC Cherie AGL,Ne16,122.5,146.3333333
5,CDC Cherie AGL,Ne17,125.3333333,157.3333333
5,CDC Cherie AGL,Sp16,112.3333333,145.3333333
5,CDC Cherie AGL,Sp17,122.6666667,151.6666667
5,CDC Cherie AGL,Mo16,121,158.3333333
5,CDC Cherie AGL,Mo17,117,166
5,CDC Cherie AGL,It16,126.3333333,178
5,CDC Cherie AGL,It17,136.6666667,172.6666667
6,CDC Glamis AGL,Ro16,52,96.66666667
6,CDC Glamis AGL,Ro17,50,NA
6,CDC Glamis AGL,Su16,56,103
6,CDC Glamis AGL,Su17,59,92
6,CDC Glamis AGL,Su18,50,99
6,CDC Glamis AGL,Us18,63.33333333,98
6,CDC Glamis AGL,In16,86,NA
6,CDC Glamis AGL,In17,76,NA
6,CDC Glamis AGL,Ba16,83.66666667,NA
6,CDC Glamis AGL,Ba17,84,NA
6,CDC Glamis AGL,Ne16,127,NA
6,CDC Glamis AGL,Ne17,123,159
6,CDC Glamis AGL,Sp16,115,148.6666667
6,CDC Glamis AGL,Sp17,128.3333333,154
6,CDC Glamis AGL,Mo16,128,158.6666667
6,CDC Glamis AGL,Mo17,120.6666667,165
6,CDC Glamis AGL,It16,131,183.6666667
6,CDC Glamis AGL,It17,141,172.3333333
7,CDC Gold AGL,Ro16,49.5,98
7,CDC Gold AGL,Ro17,51,NA
7,CDC Gold AGL,Su16,54,102
7,CDC Gold AGL,Su17,54,NA
7,CDC Gold AGL,Su18,47,99.66666667
7,CDC Gold AGL,Us18,58.5,99
7,CDC Gold AGL,In16,86,NA
7,CDC Gold AGL,In17,73,NA
7,CDC Gold AGL,Ba16,104,NA
7,CDC Gold AGL,Ba17,86,NA
7,CDC Gold AGL,Ne16,125,147
7,CDC Gold AGL,Ne17,125.3333333,160.3333333
7,CDC Gold AGL,Sp16,118.3333333,152.6666667
7,CDC Gold AGL,Sp17,129.3333333,155.3333333
