Id,Days_To_Flower,Cotyledon_Color,Testa_Color,Testa_Pattern
LR68.100,37,0,0,0
LR68.102,41,0,0,0
LR68.104,44,0,1,0
LR68.105,37,0,1,0
LR68.109,51,0,1,0
LR68.112,37,0,1,0
LR68.116,45,0,0,1
LR68.117,42,0,1,0
LR68.119,42,0,0,1
LR68.12,37,0,0,0
LR68.124,37,0,1,0
LR68.129,38,0,1,1
LR68.132,42,0,1,1
LR68.137,36,0,1,1
LR68.139,37,0,0,1
LR68.140,38,0,1,1
LR68.143,41,0,1,1
LR68.144,41,0,1,1
LR68.148,42,0,1,1
LR68.152,42,0,1,0
LR68.154,41,0,1,0
LR68.155,45,0,1,0
LR68.157,36,0,1,0
LR68.158,43,0,0,1
LR68.159,43,0,1,1
LR68.161,43,0,1,0
LR68.162,41,0,1,0
LR68.163,44,0,0,1
LR68.165,41,0,1,1
LR68.167,48,0,1,1
LR68.168,36,0,1,0
LR68.169,39,0,1,0
LR68.170,37,0,1,1
LR68.171,37,0,1,1
LR68.172,42,0,0,0
LR68.176,41,0,1,0
LR68.180,48,0,1,0
LR68.181,49,0,1,1
LR68.182,42,0,0,1
LR68.186,48,0,1,1
LR68.19,45,0,1,0
LR68.201,40,0,1,0
LR68.208,38,0,1,0
LR68.216,36,0,0,0
LR68.217,43,0,1,1
LR68.218,36,0,1,1
LR68.22,36,0,0,0
LR68.226,50,0,1,1
LR68.26,45,0,0,1
LR68.33,42,0,0,1
LR68.4,37,0,1,0
LR68.5,44,0,1,1
LR68.57,38,0,1,0
LR68.62,44,0,1,0
LR68.63,45,0,1,1
LR68.64,41,0,1,1
LR68.68,36,0,0,1
LR68.72,39,0,1,0
LR68.75,37,0,0,1
LR68.77,44,0,1,0
LR68.79,44,0,0,1
LR68.81,50,0,1,0
LR68.83,37,0,0,1
LR68.87,48,0,1,0
LR68.88,37,0,1,0
LR68.9,41,0,1,0
LR68.95,44,1,1,1
LR68.107,36,1,1,1
LR68.114,37,1,1,1
LR68.125,41,1,1,0
LR68.131,38,1,0,1
LR68.149,37,1,0,0
LR68.150,37,1,1,0
LR68.175,44,1,1,0
LR68.183,38,1,1,1
LR68.184,38,1,1,0
LR68.187,35,1,0,0
LR68.188,40,1,1,1
LR68.189,48,1,0,1
LR68.190,48,1,1,1
LR68.193,38,1,0,1
LR68.203,NA,1,1,1
LR68.204,38,1,1,NA
LR68.205,37,1,1,0
LR68.219,39,1,1,0
LR68.221,37,1,1,1
LR68.222,44,1,0,NA
LR68.223,42,1,0,0
LR68.227,37,1,1,1
LR68.229,35,1,1,1
LR68.30,39,1,1,0
LR68.34,45,0,1,1
LR68.35,48,1,1,1
LR68.43,42,1,1,0
LR68.49,38,1,1,0
LR68.50,41,1,0,0
LR68.58,37,1,1,1
LR68.59,42,0,1,0
LR68.6,37,1,1,0
LR68.66,50,1,1,1
LR68.67,37,1,0,1
LR68.7,45,1,1,1
LR68.8,45,1,1,1
LR68.80,39,1,1,1
LR68.85,50,1,1,1
LR68.86,37,1,0,0
LR68.89,50,1,0,0
LR68.93,45,1,1,0
LR68.96,41,1,1,1
LR68.108,42,0,1,0
LR68.127,NA,NA,NA,NA
LR68.151,42,0,1,1
LR68.164,NA,NA,NA,NA
LR68.166,42,0,1,1
LR68.173,41,0,1,1
LR68.177,NA,NA,NA,NA
LR68.194,42,0,1,1
LR68.228,41,0,1,0
LR68.28,NA,NA,NA,NA
LR68.29,NA,NA,NA,NA
LR68.45,37,1,1,0
LR68.69,NA,NA,NA,NA
LR68.76,40,0,0,0
LR68.91,37,0,0,0
