"Id","RootRot_E1","RootRot_E2","RootRot_E3","RootRot_Mean"
"BGE016880",85.96875,72.6979167,73.71875,77.4618056
"IG72529",50.4375,42.6875,41.125,44.75
"LR89-1",53.53125,58.1875,63,57.2875
"LR89-10",56.53125,53.5625,64.375,58.15625
"LR89-101",58.0625,59.8125,50.5,56.6363636
"LR89-104",59.8125,47.375,45.8125,51
"LR89-105",48.9375,65,62.2916667,58.1742424
"LR89-106",67.5,67.5625,58.15625,64.40625
"LR89-107",65.9375,55.15625,64.5,61.8645833
"LR89-108",62.875,61.375,61.28125,61.84375
"LR89-109",44.25,59.84375,51.0208333,51.7048611
"LR89-11",69.09375,49.4583333,47.375,55.3090278
"LR89-110",61.28125,62.9375,64.9791667,63.0659722
"LR89-111",72.15625,47.375,53.59375,57.7083333
"LR89-112",55,59.2916667,54.1458333,56.1458333
"LR89-115",56.5833333,53.5625,64.46875,58.3522727
"LR89-116",58.1875,52.0625,54.5833333,54.9772727
"LR89-117",35.6666667,26.1944444,40.0833333,34.5916667
"LR89-118",41.125,64.9479167,44.25,50.1076389
"LR89-119",42.6875,41.125,56.75,46.8541667
"LR89-120",47.28125,62.90625,56.71875,55.6354167
"LR89-121",47.3125,52.0625,49.4166667,49.5972222
"LR89-122",30.1875,47.8541667,55.15625,44.3993056
"LR89-123",41.125,56.2291667,45.8125,47.7222222
"LR89-124",34.875,54.1145833,61.34375,50.1111111
"LR89-126",52.03125,52.0625,42.6875,48.9270833
"LR89-127",56.5833333,48.4166667,55.1875,53.1060606
"LR89-13",45.78125,50.46875,45.78125,47.34375
"LR89-130",73.65625,58.28125,55.1875,62.375
"LR89-131",48.875,60.875,73.71875,61.1818182
"LR89-132",37.9375,45.78125,49.9791667,44.5659722
"LR89-133",78.25,58.25,44.25,60.25
"LR89-134",56.625,55.125,59.75,57.1666667
"LR89-135",48.90625,55.15625,56.71875,53.59375
"LR89-137",58.3125,66,58.1875,60.8333333
"LR89-139",33.3125,46.3333333,27.0625,34.5909091
"LR89-14",73.6875,61.375,56.625,64.5568182
"LR89-140",73.5625,62.9375,58.25,64.9166667
"LR89-141",34.875,55.125,54.5833333,47.6136364
"LR89-143",44.1875,55.15625,65.9375,55.09375
"LR89-144",81.375,61.34375,67.53125,70.0833333
"LR89-145",59.2604167,55.1875,72.1875,62.2118056
"LR89-147",44.125,55.1875,72.1875,57.1666667
"LR89-149",39.5625,52.0625,58.28125,49.96875
"LR89-152",55.1875,53.625,39.5625,49.4583333
"LR89-154",72.1875,52,48.90625,57.6979167
"LR89-155",72.125,64.40625,69.6041667,68.7118056
"LR89-156",41.09375,49.9479167,59.2083333,50.0833333
"LR89-158",36.40625,59.7708333,44.25,46.8090278
"LR89-159",36.4375,58.21875,64.40625,53.0208333
"LR89-16",50.46875,45.78125,61.8333333,52.6944444
"LR89-162",28.5625,45.78125,55.09375,43.1458333
"LR89-164",64.40625,55.6458333,52.03125,57.3611111
"LR89-167",62.75,53.625,59.8125,58.7291667
"LR89-168",58.1875,52,52.0625,54.0833333
"LR89-169",30.1875,40.0833333,35.3541667,34.7651515
"LR89-17",72.125,60.7916667,70.65625,68.5
"LR89-172",42.59375,58.1875,47.34375,49.375
"LR89-173",53.4375,53.59375,56.6875,54.5729167
"LR89-174",65.875,66.0625,53.59375,61.84375
"LR89-175",44.25,53.5625,53.625,50.4791667
"LR89-176",67.4375,59.8125,52.0625,59.7708333
"LR89-178",75.25,58.1875,56.75,64.725
"LR89-179",56.5,42.1666667,47.375,47.6666667
"LR89-180",45.8125,64.53125,62.875,57.7395833
"LR89-181",39.5625,48.3333333,64.9166667,49.6666667
"LR89-182",44.1875,42.6875,52.03125,46.3020833
"LR89-183",72.1875,58.25,76.78125,69.0729167
"LR89-184",62.75,56.0729167,51.4479167,56.7569444
"LR89-185",70.5625,63.4166667,56.59375,63.5243056
"LR89-186",58.1875,71.1666667,79.84375,69.6022727
"LR89-187",55.0625,36.4375,45.8125,45.7708333
"LR89-188",57.2638889,56.75,57.2291667,57.0958333
"LR89-189",33.3125,54.1041667,52,46.4722222
"LR89-19",66.9583333,56.7083333,55.1875,59.8825758
"LR89-192",66,52.5833333,67.0416667,62.2875
"LR89-193",48.9375,43.2083333,47.375,46.5069444
"LR89-194",56.625,55.1875,69.0625,58.5375
"LR89-195",59.75,53.59375,58.28125,57.2083333
"LR89-197",44.25,67,54.6666667,54.2
"LR89-198",59.75,62.875,64.40625,62.34375
"LR89-2",55.09375,43.2083333,56.65625,51.6527778
"LR89-20",59.75,58.6979167,64.40625,60.9513889
"LR89-200",53.5,54.1145833,46.3333333,51.7689394
"LR89-201",41.125,55.09375,38,44.7395833
"LR89-202",51.96875,56.71875,61.4375,56.7083333
"LR89-203",67.5,70.59375,42.6875,60.2604167
"LR89-204",50.375,66.4791667,58.25,58.3680556
"LR89-205",65.90625,61.34375,42.65625,56.6354167
"LR89-206",38,62.875,58.7916667,55.9861111
"LR89-208",37.9166667,60.7916667,59.75,53.5125
"LR89-209",38,56.6875,52.5416667,49.0763889
"LR89-21",70.59375,55.1875,52.0625,59.28125
"LR89-211",50.5,55.09375,42.1666667,49.8977273
"LR89-213",44.25,56.71875,59.8125,55.4625
"LR89-214",50.46875,61.25,44.21875,51.9791667
"LR89-215",61.40625,62.96875,61.375,61.9166667
"LR89-216",39.5625,41.125,33.8333333,38.5681818
"LR89-217",55.5833333,66,67.59375,63.0590278
"LR89-218",38,55.09375,61.40625,51.5
"LR89-219",38,51.96875,58.3125,50.4659091
"LR89-22",39.5625,58.21875,39.53125,45.7708333
"LR89-220",50.375,62.90625,59.875,57.71875
"LR89-222",45.6875,69.09375,50.46875,55.0833333
"LR89-223",62.9375,58.7604167,64.4375,62.0451389
"LR89-224",39.53125,56.625,65.9375,54.03125
"LR89-225",34.875,57.1979167,48.9375,47.0034722
"LR89-228",55.0625,54.5833333,38,48.7272727
"LR89-23",47,63,59.75,57.375
"LR89-230",44.1875,47.3125,56.6875,49.3958333
