"Id","Cotyledon_Color","Testa_Color"
"CDC Redberry",0,1
"Shasta",1,0
"LR-95-2",0,NA
"LR-95-3",1,0
"LR-95-4",0,0
"LR-95-5",0,0
"LR-95-7",1,1
"LR-95-8",1,1
"LR-95-9",1,1
"LR-95-10",1,1
"LR-95-11",1,1
"LR-95-12",0,1
"LR-95-13",0,0
"LR-95-14",1,0
"LR-95-16",1,1
"LR-95-17",0,1
"LR-95-18",1,1
"LR-95-19",0,1
"LR-95-20",0,1
"LR-95-21",1,0
"LR-95-22",0,1
"LR-95-23",1,0
"LR-95-25",0,0
"LR-95-26",0,0
"LR-95-27",0,0
"LR-95-28",0,0
"LR-95-29",1,0
"LR-95-30",1,1
"LR-95-31",0,0
"LR-95-32",1,1
"LR-95-34",1,0
"LR-95-35",1,0
"LR-95-37",1,0
"LR-95-38",0,1
"LR-95-39",0,0
"LR-95-41",0,1
"LR-95-42",0,0
"LR-95-45",0,0
"LR-95-46",1,0
"LR-95-47",0,1
"LR-95-48",1,1
"LR-95-51",0,1
"LR-95-52",1,0
"LR-95-53",1,0
"LR-95-54",0,1
"LR-95-55",0,0
"LR-95-56",1,0
"LR-95-58",0,1
"LR-95-59",0,1
"LR-95-60",1,0
"LR-95-61",1,0
"LR-95-62",0,0
"LR-95-64",1,0
"LR-95-65",1,0
"LR-95-66",0,0
"LR-95-67",0,0
"LR-95-69",1,0
"LR-95-70",0,1
"LR-95-71",0,0
"LR-95-73",1,0
"LR-95-74",0,1
"LR-95-75",0,0
"LR-95-76",1,0
"LR-95-77",1,1
"LR-95-78",1,0
"LR-95-81",1,0
"LR-95-82",0,0
"LR-95-83",1,0
"LR-95-84",1,0
"LR-95-85",0,1
"LR-95-86",1,1
"LR-95-88",0,0
"LR-95-90",0,0
"LR-95-91",1,1
"LR-95-92",0,0
"LR-95-94",0,1
"LR-95-95",1,0
"LR-95-96",1,0
"LR-95-97",0,0
"LR-95-99",0,1
"LR-95-101",1,1
"LR-95-102",1,0
"LR-95-103",0,0
"LR-95-104",0,1
"LR-95-105",0,0
"LR-95-106",1,0
"LR-95-107",0,0
"LR-95-110",0,0
"LR-95-111",0,0
"LR-95-116",0,0
"LR-95-117",0,0
"LR-95-118",0,1
"LR-95-120",1,0
"LR-95-121",0,0
"LR-95-123",0,0
"LR-95-125",1,0
"LR-95-127",0,1
"LR-95-129",0,0
"LR-95-130",0,0
"LR-95-131",1,1
"LR-95-132",0,0
"LR-95-133",0,0
"LR-95-134",0,1
"LR-95-135",0,0
"LR-95-136",0,1
"LR-95-137",1,0
"LR-95-138",1,0
"LR-95-139",1,0
"LR-95-140",0,0
"LR-95-142",0,1
"LR-95-143",1,0
"LR-95-144",0,1
"LR-95-145",1,1
"LR-95-150",0,1
