"Name","Location","Cluster","DTF"
"CDC Asterix AGL","Bardiya, Nepal",7,128
"CDC Asterix AGL","Bhopal, India",7,78
"CDC Asterix AGL","Cordoba, Spain",7,133
"CDC Asterix AGL","Jessore, Bangladesh",7,92
"CDC Asterix AGL","Marchouch, Morocco",7,124
"CDC Asterix AGL","Metaponto, Italy",7,144
"CDC Asterix AGL","Rosthern, Canada",7,49
"CDC Asterix AGL","Sutherland, Canada",7,55
"CDC Rosie AGL","Bardiya, Nepal",8,123
"CDC Rosie AGL","Bhopal, India",8,75
"CDC Rosie AGL","Cordoba, Spain",8,124
"CDC Rosie AGL","Jessore, Bangladesh",8,86
"CDC Rosie AGL","Marchouch, Morocco",8,118
"CDC Rosie AGL","Metaponto, Italy",8,138
"CDC Rosie AGL","Rosthern, Canada",8,51
"CDC Rosie AGL","Sutherland, Canada",8,59
"3156-11 AGL","Bardiya, Nepal",8,125
"3156-11 AGL","Bhopal, India",8,85
"3156-11 AGL","Cordoba, Spain",8,130
"3156-11 AGL","Jessore, Bangladesh",8,88
"3156-11 AGL","Marchouch, Morocco",8,127
"3156-11 AGL","Metaponto, Italy",8,146
"3156-11 AGL","Rosthern, Canada",8,53
"3156-11 AGL","Sutherland, Canada",8,61
"CDC Greenstar AGL","Bardiya, Nepal",7,121
"CDC Greenstar AGL","Bhopal, India",7,68
"CDC Greenstar AGL","Cordoba, Spain",7,124
"CDC Greenstar AGL","Jessore, Bangladesh",7,80
"CDC Greenstar AGL","Marchouch, Morocco",7,116
"CDC Greenstar AGL","Metaponto, Italy",7,139
"CDC Greenstar AGL","Rosthern, Canada",7,51
"CDC Greenstar AGL","Sutherland, Canada",7,57
"CDC Cherie AGL","Bardiya, Nepal",7,125
"CDC Cherie AGL","Bhopal, India",7,67
"CDC Cherie AGL","Cordoba, Spain",7,123
"CDC Cherie AGL","Jessore, Bangladesh",7,87
"CDC Cherie AGL","Marchouch, Morocco",7,117
"CDC Cherie AGL","Metaponto, Italy",7,137
"CDC Cherie AGL","Rosthern, Canada",7,48
"CDC Cherie AGL","Sutherland, Canada",7,54
"CDC Glamis AGL","Bardiya, Nepal",8,123
"CDC Glamis AGL","Bhopal, India",8,76
"CDC Glamis AGL","Cordoba, Spain",8,128
"CDC Glamis AGL","Jessore, Bangladesh",8,84
"CDC Glamis AGL","Marchouch, Morocco",8,121
"CDC Glamis AGL","Metaponto, Italy",8,141
"CDC Glamis AGL","Rosthern, Canada",8,50
"CDC Glamis AGL","Sutherland, Canada",8,59
"CDC Gold AGL","Bardiya, Nepal",7,125
"CDC Gold AGL","Bhopal, India",7,73
"CDC Gold AGL","Cordoba, Spain",7,129
"CDC Gold AGL","Jessore, Bangladesh",7,86
"CDC Gold AGL","Marchouch, Morocco",7,126
"CDC Gold AGL","Metaponto, Italy",7,148
"CDC Gold AGL","Rosthern, Canada",7,51
"CDC Gold AGL","Sutherland, Canada",7,54
"CDC Imax AGL","Bardiya, Nepal",7,129
"CDC Imax AGL","Bhopal, India",7,85
"CDC Imax AGL","Cordoba, Spain",7,127
"CDC Imax AGL","Jessore, Bangladesh",7,93
"CDC Imax AGL","Marchouch, Morocco",7,121
"CDC Imax AGL","Metaponto, Italy",7,139
"CDC Imax AGL","Rosthern, Canada",7,46
"CDC Imax AGL","Sutherland, Canada",7,53
"CDC Impower AGL","Bardiya, Nepal",7,123
"CDC Impower AGL","Bhopal, India",7,70
"CDC Impower AGL","Cordoba, Spain",7,129
"CDC Impower AGL","Jessore, Bangladesh",7,88
"CDC Impower AGL","Marchouch, Morocco",7,122
"CDC Impower AGL","Metaponto, Italy",7,143
"CDC Impower AGL","Rosthern, Canada",7,49
"CDC Impower AGL","Sutherland, Canada",7,57
"CDC KR-1 AGL","Bardiya, Nepal",3,122
"CDC KR-1 AGL","Bhopal, India",3,58
"CDC KR-1 AGL","Cordoba, Spain",3,125
"CDC KR-1 AGL","Jessore, Bangladesh",3,75
"CDC KR-1 AGL","Marchouch, Morocco",3,117
"CDC KR-1 AGL","Metaponto, Italy",3,135
"CDC KR-1 AGL","Rosthern, Canada",3,50
"CDC KR-1 AGL","Sutherland, Canada",3,57
"CDC LeMay AGL","Bardiya, Nepal",7,127
"CDC LeMay AGL","Bhopal, India",7,76
"CDC LeMay AGL","Cordoba, Spain",7,129
"CDC LeMay AGL","Jessore, Bangladesh",7,86
"CDC LeMay AGL","Marchouch, Morocco",7,120
"CDC LeMay AGL","Metaponto, Italy",7,142
"CDC LeMay AGL","Rosthern, Canada",7,49
"CDC LeMay AGL","Sutherland, Canada",7,56
"CDC Maxim AGL","Bardiya, Nepal",3,126
"CDC Maxim AGL","Bhopal, India",3,75
"CDC Maxim AGL","Cordoba, Spain",3,125
"CDC Maxim AGL","Jessore, Bangladesh",3,89
"CDC Maxim AGL","Marchouch, Morocco",3,117
"CDC Maxim AGL","Metaponto, Italy",3,139
"CDC Maxim AGL","Rosthern, Canada",3,47
"CDC Maxim AGL","Sutherland, Canada",3,54
