"Plot","Entry","Name","Rep","Expt","PlantingDate","DTE","DTF","DTS","DTM","Tb","Pc"
5166,154,"PI 244046 AGL",1,"Sutherland, Canada 2017","2017-05-04",13,39,63,82,-15.6701567062588,4.09679785804808
5261,194,"PI 299351 LSP AGL",1,"Sutherland, Canada 2017","2017-05-04",14,51,69,87,-37.5809139365324,6.67794132439998
5264,273,"PI 432028 LSP AGL",1,"Sutherland, Canada 2017","2017-05-04",13,52,71,86,-39.0904555561253,6.85417305742566
5404,157,"PI 251248 LSP AGL",1,"Sutherland, Canada 2017","2017-05-04",15,39,62,81,-14.6007261238995,4.314644688952
5550,155,"PI 250156 LSP AGL",2,"Sutherland, Canada 2017","2017-05-04",11,52,71,82,-58.4556361959667,7.0530019323347
5560,111,"ILL 7979 AGL",2,"Sutherland, Canada 2017","2017-05-04",14,46,65,83,-37.0774097891896,5.43131254907196
5788,112,"ILL 8007 AGL",3,"Sutherland, Canada 2017","2017-05-04",13,39,63,79,-18.829550486444,4.67803427921997
5875,157,"PI 251248 LSP AGL",3,"Sutherland, Canada 2017","2017-05-04",12,37,61,NA,-14.6007261238995,4.314644688952
5901,94,"ILL 5888 AGL",3,"Sutherland, Canada 2017","2017-05-04",11,39,62,NA,0.10789568603844,-8.62732290447794
5910,154,"PI 244046 AGL",3,"Sutherland, Canada 2017","2017-05-04",15,46,65,83,-15.6701567062588,4.09679785804808
5941,145,"PI 193550 AGL",3,"Sutherland, Canada 2017","2017-05-04",11,39,65,81,-25.1566791245044,5.18575848106792
6014,127,"IPL 220 AGL",3,"Sutherland, Canada 2017","2017-05-04",13,39,64,82,-22.8638318020431,4.96892782886037
5102,202,"PI 320935 LSP AGL",1,"Sutherland, Canada 2017","2017-05-04",10,45,70,88,-42.4910944061515,7.31045635412532
5103,225,"PI 370481 LSP AGL",1,"Sutherland, Canada 2017","2017-05-04",10,55,74,89,-62.2102402288821,6.65438272115703
5104,95,"ILL 5945 AGL",1,"Sutherland, Canada 2017","2017-05-04",10,41,65,81,-35.1262589373229,5.686265572769
5106,294,"PI 472136 LSP AGL",1,"Sutherland, Canada 2017","2017-05-04",11,45,67,NA,-21.2498631435406,4.81116050832948
5108,145,"PI 193550 AGL",1,"Sutherland, Canada 2017","2017-05-04",12,42,65,86,-25.1566791245044,5.18575848106792
