"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","118.84","","","","2"
"1999","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","111.24","","","","2"
"2000","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","106.73","","","","2"
"2001","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","105.30","","","","2"
"2002","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","104.14","","","","2"
"2003","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","106.84","","","","2"
"2004","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","104.11","","","","2"
"2005","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","101.33","","","","2"
"2006","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","100.00","","","","2"
"2007","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","95.28","","","","2"
"2008","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","90.57","","","","2"
"2009","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","87.77","","","","2"
"2010","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","82.94","","","","2"
"2011","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","77.61","","","","2"
"2012","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","75.51","","","","2"
"2013","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","68.92","","","","2"
"2014","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","66.90","","","","2"
"2015","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","70.39","","","","2"
