"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2018","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2019","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2020","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2021","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2022","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2023","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Rank of leading causes of death","Number","223","units","0","v1300174442","1.1.1.100.1","","..","","","0"
"2000","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","218062","","","","0"
"2001","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","219538","","","","0"
"2002","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","223603","","","","0"
"2003","Canada, place of residence","2016A000011124","Age at time of death, all ages","Both sexes","Total, all causes of death [A00-Y89]","Number of deaths","Number","223","units","0","v41618016","1.1.1.100.2","226169","","","","0"
