"REF_DATE","GEO","DGUID","Month of death","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","195569","","","","0"
"1992","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","196535","","","","0"
"1993","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","204912","","","","0"
"1994","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","207077","","","","0"
"1995","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","210733","","","","0"
"1996","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","212880","","","","0"
"1997","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","215669","","","","0"
"1998","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","218091","","","","0"
"1999","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","219530","","","","0"
"2000","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","218062","","","","0"
"2001","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","219538","","","","0"
"2002","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","223603","","","","0"
"2003","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","226169","","","","0"
"2004","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","226584","","","","0"
"2005","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","230132","","","","0"
"2006","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","228079","","","","0"
"2007","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","235217","","","","0"
"2008","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","238617","","","","0"
"2009","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","238418","","","","0"
"2010","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","240075","","","","0"
"2011","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","243511","","","","0"
"2012","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","246596","","","","0"
"2013","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","252338","","","","0"
"2014","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","258821","","","","0"
"2015","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","264333","","","","0"
"2016","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","267213","","","","0"
"2017","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","278298","","","","0"
"2018","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","285704","","","","0"
"2019","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","285301","","","","0"
"2020","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","308412","","","","0"
"2021","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","311640","","","","0"
"2022","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","334081","","","","0"
"2023","Canada, place of residence","2016A000011124","Total, month of death","Number of deaths","Number","223","units","0","v21216330","1.1.1","326215","","","","0"
"1991","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","17459","","","","0"
"1992","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","18353","","","","0"
"1993","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","18441","","","","0"
"1994","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","20954","","","","0"
"1995","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","19005","","","","0"
"1996","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","19534","","","","0"
"1997","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","21617","","","","0"
"1998","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","20578","","","","0"
"1999","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","21207","","","","0"
"2000","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","22661","","","","0"
"2001","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","20429","","","","0"
"2002","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","20165","","","","0"
"2003","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","20621","","","","0"
"2004","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","21796","","","","0"
"2005","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","22604","","","","0"
"2006","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","20120","","","","0"
"2007","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","21924","","","","0"
"2008","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","21310","","","","0"
"2009","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","22250","","","","0"
"2010","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","21316","","","","0"
"2011","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","23150","","","","0"
"2012","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","22399","","","","0"
"2013","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","25596","","","","0"
"2014","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","23808","","","","0"
"2015","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","26946","","","","0"
"2016","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","23719","","","","0"
"2017","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","27253","","","","0"
"2018","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","28910","","","","0"
"2019","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","26385","","","","0"
"2020","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","27044","","","","0"
"2021","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","29872","","","","0"
"2022","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","33650","","","","0"
"2023","Canada, place of residence","2016A000011124","Month of death, January","Number of deaths","Number","223","units","0","v21216332","1.2.1","30128","","","","0"
"1991","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","15417","","","","0"
"1992","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","16298","","","","0"
"1993","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","16333","","","","0"
"1994","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","17035","","","","0"
"1995","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","17766","","","","0"
"1996","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","17805","","","","0"
"1997","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","17840","","","","0"
"1998","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","20015","","","","0"
"1999","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","19678","","","","0"
"2000","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","17923","","","","0"
"2001","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","18046","","","","0"
"2002","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","18546","","","","0"
"2003","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","17850","","","","0"
"2004","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","19343","","","","0"
"2005","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","19657","","","","0"
"2006","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","18388","","","","0"
"2007","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","20217","","","","0"
"2008","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","19988","","","","0"
"2009","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","19233","","","","0"
"2010","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","18908","","","","0"
"2011","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","20204","","","","0"
"2012","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","20178","","","","0"
"2013","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","20730","","","","0"
"2014","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","20563","","","","0"
"2015","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","22453","","","","0"
"2016","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","22273","","","","0"
"2017","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","23279","","","","0"
"2018","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","24138","","","","0"
"2019","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","23203","","","","0"
"2020","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","23893","","","","0"
"2021","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","24573","","","","0"
"2022","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","27264","","","","0"
"2023","Canada, place of residence","2016A000011124","Month of death, February","Number of deaths","Number","223","units","0","v21216334","1.3.1","25836","","","","0"
"1991","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","17052","","","","0"
"1992","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","16785","","","","0"
"1993","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","19430","","","","0"
"1994","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","17860","","","","0"
"1995","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","19552","","","","0"
"1996","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","18623","","","","0"
"1997","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","19652","","","","0"
"1998","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","21144","","","","0"
"1999","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","20347","","","","0"
"2000","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","18428","","","","0"
"2001","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","19511","","","","0"
"2002","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","20088","","","","0"
"2003","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","19919","","","","0"
"2004","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","19913","","","","0"
"2005","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","20854","","","","0"
"2006","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","20350","","","","0"
"2007","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","21328","","","","0"
"2008","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","21586","","","","0"
"2009","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","21141","","","","0"
"2010","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","20953","","","","0"
"2011","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","21967","","","","0"
"2012","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","21467","","","","0"
"2013","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","21832","","","","0"
"2014","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","22530","","","","0"
"2015","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","23758","","","","0"
"2016","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","23950","","","","0"
"2017","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","24704","","","","0"
"2018","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","25356","","","","0"
"2019","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","25077","","","","0"
"2020","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","25924","","","","0"
"2021","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","25528","","","","0"
"2022","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","26723","","","","0"
"2023","Canada, place of residence","2016A000011124","Month of death, March","Number of deaths","Number","223","units","0","v21216336","1.4.1","28084","","","","0"
"1991","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","16042","","","","0"
"1992","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","15931","","","","0"
"1993","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","17473","","","","0"
"1994","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","16589","","","","0"
"1995","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","17785","","","","0"
"1996","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","17547","","","","0"
"1997","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","17998","","","","0"
"1998","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","17706","","","","0"
"1999","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","17551","","","","0"
"2000","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","17326","","","","0"
"2001","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","18170","","","","0"
"2002","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","18314","","","","0"
"2003","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","18414","","","","0"
"2004","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","18935","","","","0"
"2005","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","19173","","","","0"
"2006","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","18786","","","","0"
"2007","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","19393","","","","0"
"2008","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","20678","","","","0"
"2009","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","19629","","","","0"
"2010","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","19944","","","","0"
"2011","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","20350","","","","0"
"2012","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","20407","","","","0"
"2013","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","20882","","","","0"
"2014","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","21378","","","","0"
"2015","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","22073","","","","0"
"2016","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","22271","","","","0"
"2017","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","22658","","","","0"
"2018","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","23650","","","","0"
"2019","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","23708","","","","0"
"2020","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","28791","","","","0"
"2021","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","24990","","","","0"
"2022","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","26152","","","","0"
"2023","Canada, place of residence","2016A000011124","Month of death, April","Number of deaths","Number","223","units","0","v21216338","1.5.1","26414","","","","0"
"1991","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","16414","","","","0"
"1992","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","16404","","","","0"
"1993","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","16955","","","","0"
"1994","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","16930","","","","0"
"1995","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","17781","","","","0"
"1996","Canada, place of residence","2016A000011124","Month of death, May","Number of deaths","Number","223","units","0","v21216340","1.6.1","17460","","","","0"
