"REF_DATE","GEO","DGUID","Release","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01-09","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4956","","","","0"
"2010-01-16","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4891","","","","0"
"2010-01-23","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4779","","","","0"
"2010-01-30","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4630","","","","0"
"2010-02-06","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4699","","","","0"
"2010-02-13","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4695","","","","0"
"2010-02-20","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4793","","","","0"
"2010-02-27","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4708","","","","0"
"2010-03-06","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4746","","","","0"
"2010-03-13","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4724","","","","0"
"2010-03-20","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4698","","","","0"
"2010-03-27","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4773","","","","0"
"2010-04-03","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4770","","","","0"
"2010-04-10","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4507","","","","0"
"2010-04-17","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4708","","","","0"
"2010-04-24","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4735","","","","0"
"2010-05-01","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4667","","","","0"
"2010-05-08","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4421","","","","0"
"2010-05-15","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4527","","","","0"
"2010-05-22","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4425","","","","0"
"2010-05-29","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4478","","","","0"
"2010-06-05","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4386","","","","0"
"2010-06-12","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4418","","","","0"
"2010-06-19","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4329","","","","0"
"2010-06-26","Canada, place of occurrence","2016A00000","May 11th, 2023","Number of deaths","Number","223","units","0","v1545660933","1.36.1","4244","","","","0"
