"REF_DATE","GEO","DGUID","Family type","Age of older adult","Family income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","56500","","","","0"
"2001","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","59600","","","","0"
"2002","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","61200","","","","0"
"2003","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","62600","","","","0"
"2004","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","64800","","","","0"
"2005","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","67600","","","","0"
"2006","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","70400","","","","0"
"2007","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","73420","","","","0"
"2008","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","75880","","","","0"
"2009","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","75320","","","","0"
"2010","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","76950","","","","0"
"2011","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","79530","","","","0"
"2012","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","81980","","","","0"
"2013","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","84080","","","","0"
"2014","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","86410","","","","0"
"2015","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","88610","","","","0"
"2016","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","89610","","","","0"
"2017","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","92990","","","","0"
"2018","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","96080","","","","0"
"2019","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","98690","","","","0"
"2020","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","104350","","","","0"
"2021","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","107020","","","","0"
"2022","Canada","2016A000011124","Couple families","Total all ages","Median total income","Dollars","81","units","0","v21246901","1.1.1.23","110850","","","","0"
"2000","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","28000","","","","0"
"2001","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","29300","","","","0"
"2002","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","29000","","","","0"
"2003","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","29800","","","","0"
"2004","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","30400","","","","0"
"2005","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","32100","","","","0"
"2006","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","33800","","","","0"
"2007","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","34950","","","","0"
"2008","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","36040","","","","0"
"2009","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","34640","","","","0"
"2010","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","35050","","","","0"
"2011","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","35980","","","","0"
"2012","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","37360","","","","0"
"2013","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","37870","","","","0"
"2014","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","38830","","","","0"
"2015","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","39240","","","","0"
"2016","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","38950","","","","0"
"2017","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","39880","","","","0"
"2018","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","40420","","","","0"
"2019","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","40160","","","","0"
"2020","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","50190","","","","0"
"2021","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","48910","","","","0"
"2022","Canada","2016A000011124","Couple families","0 to 24 years","Median total income","Dollars","81","units","0","v21246917","1.1.2.23","46980","","","","0"
"2000","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","51000","","","","0"
"2001","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","53700","","","","0"
"2002","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","54800","","","","0"
"2003","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","56600","","","","0"
"2004","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","58300","","","","0"
"2005","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","61000","","","","0"
"2006","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","63700","","","","0"
"2007","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","66180","","","","0"
"2008","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","68500","","","","0"
"2009","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","67790","","","","0"
"2010","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","69400","","","","0"
"2011","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","71930","","","","0"
"2012","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","74170","","","","0"
"2013","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","75940","","","","0"
"2014","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","77980","","","","0"
"2015","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","79660","","","","0"
"2016","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","80520","","","","0"
"2017","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","83660","","","","0"
"2018","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","85740","","","","0"
"2019","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","87380","","","","0"
"2020","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","93380","","","","0"
"2021","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","96130","","","","0"
"2022","Canada","2016A000011124","Couple families","25 to 34 years","Median total income","Dollars","81","units","0","v21246933","1.1.3.23","97930","","","","0"
"2000","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","62500","","","","0"
"2001","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","65900","","","","0"
"2002","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","67300","","","","0"
"2003","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","69200","","","","0"
"2004","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","71300","","","","0"
"2005","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","74900","","","","0"
"2006","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","77600","","","","0"
"2007","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","81050","","","","0"
"2008","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","83830","","","","0"
"2009","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","83370","","","","0"
"2010","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","85540","","","","0"
"2011","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","88920","","","","0"
"2012","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","92050","","","","0"
"2013","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","94770","","","","0"
"2014","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","97510","","","","0"
"2015","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","100450","","","","0"
"2016","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","101960","","","","0"
"2017","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","106470","","","","0"
"2018","Canada","2016A000011124","Couple families","35 to 44 years","Median total income","Dollars","81","units","0","v21253324","1.1.4.23","109560","","","","0"
