"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","26121.7","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","26469.1","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","26830.6","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","27207.4","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","27576.2","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","27904.9","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","28230.9","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","28546.4","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","28843.7","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","29076.5","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","29386.0","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","29764.2","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","30220.7","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","30694.8","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","31052.6","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","31326.2","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","31772.1","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Both sexes","15 years and over","Persons","249","thousands","3","v53040056","1.1.1.1.1","32502.1","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4346.9","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4377.9","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4403.2","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4423.8","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4442.4","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4458.8","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4464.4","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4451.9","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4420.2","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4371.6","","","","1"
"2016","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4348.4","","","","1"
"2017","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4386.8","","","","1"
"2018","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4439.1","","","","1"
"2019","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4482.9","","","","1"
"2020","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4480.5","","","","1"
"2021","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4455.9","","","","1"
"2022","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4476.7","","","","1"
"2023","Canada","2016A000011124","Total population","Population","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040057","1.1.1.1.2","4634.3","","","","1"
"2006","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14115.7","","","","1"
"2007","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14189.0","","","","1"
"2008","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14269.8","","","","1"
"2009","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14352.1","","","","1"
"2010","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14412.4","","","","1"
"2011","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14439.4","","","","1"
"2012","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14468.0","","","","1"
"2013","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14491.7","","","","1"
"2014","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14520.9","","","","1"
"2015","Canada","2016A000011124","Total population","Population","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040058","1.1.1.1.3","14509.8","","","","1"
