"REF_DATE","GEO","DGUID","Statistics","Characteristics","Income, consumption and savings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","19812","","","","0"
"2020-04","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","22592","","","","0"
"2020-07","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","23185","","","","0"
"2020-10","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","22561","","","","0"
"2021-01","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","21856","","","","0"
"2021-04","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","22353","","","","0"
"2021-07","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","24103","","","","0"
"2021-10","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","23085","","","","0"
"2022-01","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","21879","","","","0"
"2022-04","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","22444","","","","0"
"2022-07","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","24329","","","","0"
"2022-10","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","24610","","","","0"
"2023-01","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","22465","","","","0"
"2023-04","Canada","2016A000011124","Value per household","All households","Household disposable income","Dollars","81","units","0","v1278066741","1.3.1.1","23293","","","","0"
