"REF_DATE","GEO","DGUID","Supply and disposition","Units of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","17587983","","","","0"
"2016-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18598656","","","","0"
"2016-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","17910062","","","","0"
"2016-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18815685","","","","0"
"2016-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19325313","","","","0"
"2016-12","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19123733","","","","0"
"2017-01","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19787214","","","","0"
"2017-02","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18026165","","","","0"
"2017-03","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18894074","","","","0"
"2017-04","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","16637247","","","","0"
"2017-05","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","17767171","","","","0"
"2017-06","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","17710184","","","","0"
"2017-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19203977","","","","0"
"2017-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20061663","","","","0"
"2017-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18374732","","","","0"
"2017-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18749360","","","","0"
"2017-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19689051","","","","0"
"2017-12","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20683576","","","","0"
"2018-01","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19890527","","","","0"
"2018-02","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18639271","","","","0"
"2018-03","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20730877","","","","0"
"2018-04","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18548461","","","","0"
"2018-05","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20181597","","","","0"
"2018-06","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19455841","","","","0"
"2018-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20654968","","","","0"
"2018-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21659666","","","","0"
"2018-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19271848","","","","0"
"2018-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21267181","","","","0"
"2018-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20903287","","","","0"
"2018-12","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21687084","","","","0"
"2019-01","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20379646","","","","0"
"2019-02","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18537336","","","","0"
"2019-03","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20792430","","","","0"
"2019-04","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20479552","","","","0"
"2019-05","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20301400","","","","0"
"2019-06","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20381835","","","","0"
"2019-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21009421","","","","0"
"2019-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21006455","","","","0"
"2019-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19753991","","","","0"
"2019-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20973161","","","","0"
"2019-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20934543","","","","0"
"2019-12","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22204363","","","","0"
"2020-01","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21576432","","","","0"
"2020-02","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20458561","","","","0"
"2020-03","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21541202","","","","0"
"2020-04","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","17993844","","","","0"
"2020-05","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","17407436","","","","0"
"2020-06","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","17954378","","","","0"
"2020-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18503537","","","","0"
"2020-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18358183","","","","0"
"2020-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18245138","","","","0"
"2020-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19752374","","","","0"
"2020-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20685369","","","","0"
"2020-12","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22201425","","","","0"
"2021-01","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21883465","","","","0"
"2021-02","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","18877971","","","","0"
"2021-03","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21416689","","","","0"
"2021-04","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19123431","","","","0"
"2021-05","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19923243","","","","0"
"2021-06","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20513827","","","","0"
"2021-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21425160","","","","0"
"2021-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21096255","","","","0"
"2021-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20098090","","","","0"
"2021-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22150741","","","","0"
"2021-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21495648","","","","0"
"2021-12","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21256498","","","","0"
"2022-01","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20775705","","","","0"
"2022-02","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19633912","","","","0"
"2022-03","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21825717","","","","0"
"2022-04","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20602383","","","","0"
"2022-05","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20418853","","","","0"
"2022-06","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20249895","","","","0"
"2022-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21908532","","","","0"
"2022-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22071795","","","","0"
"2022-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21372667","","","","0"
"2022-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21960399","","","","0"
"2022-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22089245","","","","0"
"2022-12","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22015938","","","","0"
"2023-01","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21733133","","","","0"
"2023-02","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19997176","","","","0"
"2023-03","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22158639","","","","0"
"2023-04","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","19997362","","","","0"
"2023-05","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20103206","","","","0"
"2023-06","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","20264348","","","","0"
"2023-07","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22388387","","","","0"
"2023-08","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22259366","","","","0"
"2023-09","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21045818","","","","0"
"2023-10","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","21864281","","","","0"
"2023-11","Canada","2016A000011124","Crude oil production","Cubic metres","Cubic metres","72","units","0","v107757044","1.2.1","22871042","","","","0"
