"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","9588.2","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","10084.8","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","11047.6","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","12787.5","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","13024.5","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","15207.1","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","16788.3","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","17993.2","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","20542.8","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","22864.8","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","27371.6","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","29889.1","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","23244.6","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","27183.0","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","31614.0","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","29977.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","32403.8","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","32136.7","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","28924.4","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","29005.2","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","31002.6","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","31836.3","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","33159.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","","..","","","1"
"2021","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","","..","","","1"
"2022","Newfoundland and Labrador","2016A000210","Current dollars","All industries [T001]","Dollars","81","millions","6","v62460554","1.1.1","","..","","","1"
