"Entity","Code","Year","ny_gdp_pcap_pp_kd"
"Canada","CAN",1990,34544.625
"Canada","CAN",1991,33404.55
"Canada","CAN",1992,33305.434
"Canada","CAN",1993,33816.92
"Canada","CAN",1994,34951.754
"Canada","CAN",1995,35519.82
"Canada","CAN",1996,35744.137
"Canada","CAN",1997,36905.457
"Canada","CAN",1998,38025.254
"Canada","CAN",1999,39656.477
"Canada","CAN",2000,41307.75
"Canada","CAN",2001,41627.625
"Canada","CAN",2002,42412.414
"Canada","CAN",2003,42791.094
"Canada","CAN",2004,43704.668
"Canada","CAN",2005,44683.766
"Canada","CAN",2006,45401.465
"Canada","CAN",2007,45884.383
"Canada","CAN",2008,45841.996
"Canada","CAN",2009,44000.402
"Canada","CAN",2010,44858.82
"Canada","CAN",2011,45815.53
"Canada","CAN",2012,46116.426
"Canada","CAN",2013,46693.04
"Canada","CAN",2014,47554.258
"Canada","CAN",2015,47507.453
"Canada","CAN",2016,47460.37
"Canada","CAN",2017,48317.176
"Canada","CAN",2018,48946.246
"Canada","CAN",2019,49169.12
"Canada","CAN",2020,46193.176
"Canada","CAN",2021,48356.332
"Canada","CAN",2022,49296.38
"United States","USA",1990,40451.5
"United States","USA",1991,39871.344
"United States","USA",1992,40707.29
"United States","USA",1993,41279.516
"United States","USA",1994,42419.195
"United States","USA",1995,43042.215
"United States","USA",1996,44149.37
"United States","USA",1997,45560.92
"United States","USA",1998,47050.996
"United States","USA",1999,48743.883
"United States","USA",2000,50169.855
"United States","USA",2001,50149.83
"United States","USA",2002,50529.348
"United States","USA",2003,51497.734
"United States","USA",2004,52989.03
"United States","USA",2005,54331.66
"United States","USA",2006,55307.72
"United States","USA",2007,55885.645
"United States","USA",2008,55427.18
"United States","USA",2009,53514.934
"United States","USA",2010,54510.465
"United States","USA",2011,54954.465
"United States","USA",2012,55796.973
"United States","USA",2013,56432.33
"United States","USA",2014,57301.6
"United States","USA",2015,58420.703
"United States","USA",2016,58965.99
"United States","USA",2017,59907.754
"United States","USA",2018,61348.457
"United States","USA",2019,62470.93
"United States","USA",2020,60158.91
"United States","USA",2021,63635.824
"United States","USA",2022,64623.125
