"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","72075","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","73646","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","75695","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","79098","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","80727","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","82697","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","84489","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","86479","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","93724","","","","0"
"2021","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","92500","","","","0"
"2023","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","108225","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7850","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7791","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7760","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7934","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8109","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8629","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8784","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8968","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","10311","","","","0"
"2021","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","10305","","","","0"
"2023","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","12046","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15020","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15215","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","15807","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","16361","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","17160","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","17509","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","18032","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","18640","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","20200","","","","0"
"2021","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","21106","","","","0"
"2023","Canada","2016A000011124","Average expenditure per household","Shelter","Dollars","81","units","0","v54325513","1.1.6","24671","","","","0"


