"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1955","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","138276","","","","0"
"1956","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","127311","","","","0"
"1957","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","122340","","","","0"
"1958","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","164632","","","","0"
"1959","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","141345","","","","0"
"1960","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","108858","","","","0"
"1961","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","125577","","","","0"
"1962","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","130095","","","","0"
"1963","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","148624","","","","0"
"1964","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","165658","","","","0"
"1965","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","166565","","","","0"
"1966","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","134474","","","","0"
"1967","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","164123","","","","0"
"1968","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","196878","","","","0"
"1969","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","210415","","","","0"
"1970","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","190528","","","","0"
"1971","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v730579","1.1.1","233653","","","","0"
