"REF_DATE","GEO","DGUID","Type of building","Type of work","Variables","Seasonal adjustment, value type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-12","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5938270","","","","0"
"2019-01","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","4858113","","","","0"
"2019-02","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","3850522","","","","0"
"2019-03","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5363066","","","","0"
"2019-04","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6749107","","","","0"
"2019-05","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7241949","","","","0"
"2019-06","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6880794","","","","0"
"2019-07","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6775300","","","","0"
"2019-08","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7170343","","","","0"
"2019-09","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6204752","","","","0"
"2019-10","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6907040","","","","0"
"2019-11","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5318334","","","","0"
"2019-12","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6296992","","","","0"
"2020-01","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5204826","","","","0"
"2020-02","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","4290441","","","","0"
"2020-03","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","4986992","","","","0"
"2020-04","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","4489638","","","","0"
"2020-05","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6531383","","","","0"
"2020-06","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7647680","","","","0"
"2020-07","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6354627","","","","0"
"2020-08","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6532142","","","","0"
"2020-09","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7879333","","","","0"
"2020-10","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7135632","","","","0"
"2020-11","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7240926","","","","0"
"2020-12","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6507280","","","","0"
"2021-01","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6335247","","","","0"
"2021-02","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5632907","","","","0"
"2021-03","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8804562","","","","0"
"2021-04","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8387388","","","","0"
"2021-05","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7967171","","","","0"
"2021-06","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9541098","","","","0"
"2021-07","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8484300","","","","0"
"2021-08","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7691514","","","","0"
"2021-09","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8494427","","","","0"
"2021-10","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8434512","","","","0"
"2021-11","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8325376","","","","0"
"2021-12","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8079709","","","","0"
"2022-01","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5709383","","","","0"
"2022-02","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8393729","","","","0"
"2022-03","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9545398","","","","0"
"2022-04","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8517947","","","","0"
"2022-05","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9864056","","","","0"
"2022-06","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","11504331","","","","0"
"2022-07","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8381582","","","","0"
"2022-08","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9707680","","","","0"
"2022-09","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7433894","","","","0"
"2022-10","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6855943","","","","0"
"2022-11","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8869680","","","","0"
"2022-12","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6549974","","","","0"
"2023-01","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5219775","","","","0"
"2023-02","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5690410","","","","0"
"2023-03","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9944764","","","","0"
"2023-04","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","6399929","","","","0"
"2023-05","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9304042","","","","0"
"2023-06","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","13608814","","","","0"
"2023-07","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8648114","","","","0"
"2023-08","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9402423","","","","0"
"2023-09","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8701860","","","","0"
"2023-10","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7994373","","","","0"
"2023-11","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8355881","","","","0"
"2023-12","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5067941","","","","0"
"2024-01","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","5276759","","","","0"
"2024-02","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","7364432","","","","0"
"2024-03","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8721182","","","","0"
"2024-04","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","11202569","","","","0"
"2024-05","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","10174949","","","","0"
"2024-06","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","8985345","","","","0"
"2024-07","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","10529653","","","","0"
"2024-08","Canada","2021A000011124","Total residential and non-residential","New dwelling units total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v1675115468","1.1.3.1.1","9576387","","","","0"
