"REF_DATE","GEO","DGUID","Institutional sector","Housing Type","Dwelling Occupation","Dwelling type","Tenure type","Estimate","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15412441","","","","0"
"2016-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15451551","","","","0"
"2016-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15490778","","","","0"
"2017-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15534762","","","","0"
"2017-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15574409","","","","0"
"2017-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15614206","","","","0"
"2017-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15654125","","","","0"
"2018-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15699065","","","","0"
"2018-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15739395","","","","0"
"2018-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15779944","","","","0"
"2018-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15820710","","","","0"
"2019-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15865744","","","","0"
"2019-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15906912","","","","0"
"2019-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15948261","","","","0"
"2019-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","15989818","","","","0"
"2020-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16034292","","","","0"
"2020-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16074559","","","","0"
"2020-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16114783","","","","0"
"2020-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16160414","","","","0"
"2021-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16201598","","","","0"
"2021-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16284235","","","","0"
"2021-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16345040","","","","0"
"2021-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16412875","","","","0"
"2022-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16468624","","","","0"
"2022-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16523578","","","","0"
"2022-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16582531","","","","0"
"2022-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16642960","","","","0"
"2023-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16700880","","","","0"
"2023-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16758721","","","","0"
"2023-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16824615","","","","0"
"2023-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16890263","","","","0"
"2024-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","16950287","","","","0"
"2024-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","17016520","","","","0"
"2024-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","17086776","","","","0"
"2024-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","17160991","","","","0"
"2025-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","17220375","","","","0"
"2025-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","17279961","","","","0"
"2025-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","17346964","","","","0"
"2025-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Total tenure type","Unit of housing","Count","436","units","0","v1545147162","1.1.1.1.1.1.1","17429535","","","","0"
"2016-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","62177","","","","0"
"2016-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","62651","","","","0"
"2016-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","63151","","","","0"
"2017-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","63670","","","","0"
"2017-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","64207","","","","0"
"2017-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","64764","","","","0"
"2017-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","65340","","","","0"
"2018-01","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","65937","","","","0"
"2018-04","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","66556","","","","0"
"2018-07","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","67196","","","","0"
"2018-10","Canada","2021A000011124","Total economy","Total housing type","Total private dwellings","Total dwelling type","Band","Unit of housing","Count","436","units","0","v1545147159","1.1.1.1.1.2.1","67858","","","","0"
