Province,Persons,Measurement,Unit,Value,,,,
Nova Scotia,Recent immigrants,Median purchase price ($),dollars,390000,,,,
New Brunswick,Recent immigrants,Median purchase price ($),dollars,250000,,,,
Manitoba,Recent immigrants,Median purchase price ($),dollars,340000,,,,
British Columbia,Recent immigrants,Median purchase price ($),dollars,660000,,,,
Nova Scotia,Recent immigrants,Median family income ($),dollars,105000,,,,
New Brunswick,Recent immigrants,Median family income ($),dollars,90000,,,,
Manitoba,Recent immigrants,Median family income ($),dollars,90000,,,,
British Columbia,Recent immigrants,Median family income ($),dollars,125000,,,,
Nova Scotia,Recent immigrants,Median PFIR,number,3.53,,,,
New Brunswick,Recent immigrants,Median PFIR,number,2.69,,,,
Manitoba,Recent immigrants,Median PFIR,number,3.64,,,,
British Columbia,Recent immigrants,Median PFIR,number,4.93,,,,
Nova Scotia,Canadian-born,Median purchase price ($),dollars,285000,,,,
New Brunswick,Canadian-born,Median purchase price ($),dollars,200000,,,,
Manitoba,Canadian-born,Median purchase price ($),dollars,295000,,,,
British Columbia,Canadian-born,Median purchase price ($),dollars,580000,,,,
Nova Scotia,Canadian-born,Median family income ($),dollars,110000,,,,
New Brunswick,Canadian-born,Median family income ($),dollars,95000,,,,
Manitoba,Canadian-born,Median family income ($),dollars,100000,,,,
British Columbia,Canadian-born,Median family income ($),dollars,135000,,,,
Nova Scotia,Canadian-born,Median PFIR,number,2.53,,,,
New Brunswick,Canadian-born,Median PFIR,number,2.03,,,,
Manitoba,Canadian-born,Median PFIR,number,2.84,,,,
British Columbia,Canadian-born,Median PFIR,number,4.35,,,,
