"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971/1972","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","351256","","","","0"
"1972/1973","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","345815","","","","0"
"1973/1974","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","342446","","","","0"
"1974/1975","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","355960","","","","0"
"1975/1976","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","364278","","","","0"
"1976/1977","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","357850","","","","0"
"1977/1978","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","359793","","","","0"
"1978/1979","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","362432","","","","0"
"1979/1980","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","367286","","","","0"
"1980/1981","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","372139","","","","0"
"1981/1982","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","372472","","","","0"
"1982/1983","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","373594","","","","0"
"1983/1984","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","374533","","","","0"
"1984/1985","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","376265","","","","0"
"1985/1986","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","375381","","","","0"
"1986/1987","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","373022","","","","0"
"1987/1988","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","370033","","","","0"
"1988/1989","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","384035","","","","0"
"1989/1990","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","403280","","","","0"
"1990/1991","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","402929","","","","0"
"1991/1992","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","403107","","","","0"
"1992/1993","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","392181","","","","0"
"1993/1994","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","386159","","","","0"
"1994/1995","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","381998","","","","0"
"1995/1996","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","372453","","","","0"
"1996/1997","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","357313","","","","0"
"1997/1998","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","345123","","","","0"
"1998/1999","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","338295","","","","0"
"1999/2000","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","336912","","","","0"
"2000/2001","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","327487","","","","0"
"2001/2002","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","329131","","","","0"
"2002/2003","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","331640","","","","0"
"2003/2004","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","339351","","","","0"
"2004/2005","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","341833","","","","0"
"2005/2006","Canada","2016A000011124","Births","Persons","249","units","0","v391069","1.1","349162","","","","0"
