"REF_DATE","GEO","DGUID","Non-permanent resident types","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","1305559","","","","0"
"2021-10","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","1372760","","","","0"
"2022-01","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","1357461","","","","0"
"2022-04","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","1379622","","","","0"
"2022-07","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","1514248","","","","0"
"2022-10","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","1729037","","","","0"
"2023-01","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","1909005","","","","0"
"2023-04","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","2006850","","","","0"
"2023-07","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","2226999","","","","0"
"2023-10","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","2545432","","","","0"
"2024-01","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","2729771","","","","0"
"2024-04","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","2884254","","","","0"
"2024-07","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","3002090","","","","0"
"2024-10","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","3049277","","","","0"
"2025-01","Canada","2021A000011124","Total, non-permanent residents","Persons","249","units","0","v1566927590","1.1","3020936","","","","0"
"2021-07","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","168183","","","","0"
"2021-10","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","162468","","","","0"
"2022-01","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","161091","","","","0"
"2022-04","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","166762","","","","0"
"2022-07","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","178574","","","","0"
"2022-10","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","194074","","","","0"
"2023-01","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","218878","","","","0"
"2023-04","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","238971","","","","0"
"2023-07","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","257424","","","","0"
"2023-10","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","288523","","","","0"
"2024-01","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","328606","","","","0"
"2024-04","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","363660","","","","0"
"2024-07","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","399215","","","","0"
"2024-10","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","431511","","","","0"
"2025-01","Canada","2021A000011124","Total, asylum claimants, protected persons and related groups","Persons","249","units","0","v1566927591","1.2","457285","","","","0"
"2021-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","94342","","","","0"
"2021-10","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","88858","","","","0"
"2022-01","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","74336","","","","0"
"2022-04","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","66734","","","","0"
"2022-07","Canada","2021A000011124","Asylum claimants, protected persons and related groups with work permit only","Persons","249","units","0","v1566927592","1.3","75156","","","","0"
