"REF_DATE","GEO","DGUID","Gender (3)","Age (15C)","Statistics (3)","Place of birth (290)","Non-permanent resident type (10)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Total – Place of birth","Total - Non-permanent resident type","","0","units","0","","1.1.1.1.1.1","36328480","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Total – Place of birth","Asylum claimants","","0","units","0","","1.1.1.1.1.3","139200","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Total – Place of birth","Non-permanent residents with a work permit only","","0","units","0","","1.1.1.1.1.4","370420","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Total – Place of birth","Non-permanent residents with a study permit only","","0","units","0","","1.1.1.1.1.5","202790","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Total – Place of birth","Non-permanent residents with work and study permits","","0","units","0","","1.1.1.1.1.6","131560","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Total – Place of birth","Other non-permanent resident types","","0","units","0","","1.1.1.1.1.7","80870","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Total – Place of birth","Not a non-permanent resident","","0","units","0","","1.1.1.1.1.8","35403630","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Inside Canada","Total - Non-permanent resident type","","0","units","0","","1.1.1.1.2.1","26721875","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Inside Canada","Not a non-permanent resident","","0","units","0","","1.1.1.1.2.8","26721875","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Americas","Total - Non-permanent resident type","","0","units","0","","1.1.1.1.17.1","1481380","","","","0"
"2021","Canada","2021A000011124","Total - Gender","Total - Age","Count","Americas","Asylum claimants","","0","units","0","","1.1.1.1.17.3","44640","","","","0"
