Label,Date,Higher,Same,Lower,Unsure
2012-03-01,2012-03-01,26,26,37,11
,2017-01-01,14,28,51,7
2017-11-01,2017-11-01,10,19,61,11
,2018-06-01,13,23,58,6
2019-02-01,2019-02-01,16,25,54,5
,2019-06-01,20,28,44,8
2020-09-01,2020-09-01,12,24,56,8
,2021-01-01,23,23,45,8
2021-05-01,2021-05-01,13,28,52,8
,2021-08-01,13,22,59,6
2021-11-01,2021-11-01,11,20,63,6
,2022-02-01,12,17,59,12
2022-05-01,2022-05-01,10,21,63,6
,2022-08-01,11,22,62,5
2022-11-01,2022-11-01,12,20,63,5
,2023-02-01,8,22,64,6
2023-06-01,2023-06-01,10,18,65,7
,2023-08-01,9,18,67,6
2023-11-01,2023-11-01,11,16,66,7
,2024-02-01,11,16,67,6
2024-05-01,2024-05-01,8,16,70,5
