"REF_DATE","GEO","DGUID","Age (15C)","Gender (3)","Statistics (2)","Religion (25)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Total - Religion","","0","units","0","","1.1.1.1.1","36328480","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Buddhist","","0","units","0","","1.1.1.1.2","356975","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Christian","","0","units","0","","1.1.1.1.3","19373330","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Hindu","","0","units","0","","1.1.1.1.19","828195","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Jewish","","0","units","0","","1.1.1.1.20","335295","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Muslim","","0","units","0","","1.1.1.1.21","1775715","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Sikh","","0","units","0","","1.1.1.1.22","771790","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.1.1.1.23","80690","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.1.1.1.24","229015","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","2021 Counts","No religion and secular perspectives","","0","units","0","","1.1.1.1.25","12577475","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Total - Religion","","0","units","0","","1.1.1.2.1","100.0","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Buddhist","","0","units","0","","1.1.1.2.2","1.0","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Christian","","0","units","0","","1.1.1.2.3","53.3","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Hindu","","0","units","0","","1.1.1.2.19","2.3","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Jewish","","0","units","0","","1.1.1.2.20","0.9","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Muslim","","0","units","0","","1.1.1.2.21","4.9","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Sikh","","0","units","0","","1.1.1.2.22","2.1","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.1.1.2.23","0.2","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.1.1.2.24","0.6","","","","1"
"2021","Canada","2021A000011124","Total - Age","Total - Gender","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.1.1.2.25","34.6","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Total - Religion","","0","units","0","","1.1.2.1.1","17937165","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Buddhist","","0","units","0","","1.1.2.1.2","157435","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Christian","","0","units","0","","1.1.2.1.3","9131320","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Hindu","","0","units","0","","1.1.2.1.19","430140","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Jewish","","0","units","0","","1.1.2.1.20","164225","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Muslim","","0","units","0","","1.1.2.1.21","904205","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Sikh","","0","units","0","","1.1.2.1.22","394345","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.1.2.1.23","38455","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.1.2.1.24","97645","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","2021 Counts","No religion and secular perspectives","","0","units","0","","1.1.2.1.25","6619395","","","","0"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Total - Religion","","0","units","0","","1.1.2.2.1","49.4","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Buddhist","","0","units","0","","1.1.2.2.2","0.4","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Christian","","0","units","0","","1.1.2.2.3","25.1","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Hindu","","0","units","0","","1.1.2.2.19","1.2","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Jewish","","0","units","0","","1.1.2.2.20","0.5","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Muslim","","0","units","0","","1.1.2.2.21","2.5","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Sikh","","0","units","0","","1.1.2.2.22","1.1","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Traditional (North American Indigenous) spirituality","","0","units","0","","1.1.2.2.23","0.1","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","Other religions and spiritual traditions","","0","units","0","","1.1.2.2.24","0.3","","","","1"
"2021","Canada","2021A000011124","Total - Age","Men+","% distribution (2021)","No religion and secular perspectives","","0","units","0","","1.1.2.2.25","18.2","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Total - Religion","","0","units","0","","1.1.3.1.1","18391315","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Buddhist","","0","units","0","","1.1.3.1.2","199540","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Christian","","0","units","0","","1.1.3.1.3","10242010","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Hindu","","0","units","0","","1.1.3.1.19","398060","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Jewish","","0","units","0","","1.1.3.1.20","171070","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Muslim","","0","units","0","","1.1.3.1.21","871505","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Sikh","","0","units","0","","1.1.3.1.22","377445","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Traditional (North American Indigenous) spirituality","","0","units","0","","1.1.3.1.23","42225","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","Other religions and spiritual traditions","","0","units","0","","1.1.3.1.24","131370","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","2021 Counts","No religion and secular perspectives","","0","units","0","","1.1.3.1.25","5958080","","","","0"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Total - Religion","","0","units","0","","1.1.3.2.1","50.6","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Buddhist","","0","units","0","","1.1.3.2.2","0.5","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Christian","","0","units","0","","1.1.3.2.3","28.2","","","","1"
"2021","Canada","2021A000011124","Total - Age","Women+","% distribution (2021)","Hindu","","0","units","0","","1.1.3.2.19","1.1","","","","1"
