"REF_DATE","GEO","DGUID","Trade","Basis","Seasonal adjustment","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997-01","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","21043.1","","","","1"
"1997-02","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","21113.6","","","","1"
"1997-03","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","22630.9","","","","1"
"1997-04","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","24260.6","","","","1"
"1997-05","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","23805.9","","","","1"
"1997-06","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","23542.4","","","","1"
"1997-07","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","21184.9","","","","1"
"1997-08","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","22460.6","","","","1"
"1997-09","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","24535.1","","","","1"
"1997-10","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26035.1","","","","1"
"1997-11","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","23974.8","","","","1"
"1997-12","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","23417.5","","","","1"
"1998-01","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","22866.4","","","","1"
"1998-02","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","24019.9","","","","1"
"1998-03","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26597.5","","","","1"
"1998-04","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26069.7","","","","1"
"1998-05","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","25305.6","","","","1"
"1998-06","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","25839.5","","","","1"
"1998-07","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","21782.6","","","","1"
"1998-08","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","24412.7","","","","1"
"1998-09","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26467.8","","","","1"
"1998-10","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","28205.5","","","","1"
"1998-11","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","26908.6","","","","1"
"1998-12","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","25037.0","","","","1"
"1999-01","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","23770.4","","","","1"
"1999-02","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","25593.2","","","","1"
"1999-03","Canada","2021A000011124","Import","Balance of payments","Unadjusted","All countries","Dollars","81","millions","6","v87008810","1.1.2.1.1","29486.2","","","","1"
