Year,Revenue,Government Funding,Expenses,Discrepancies
2001,518392000,956879000,1392784000,
2002,519362000,986775000,1496077000,
2003,480835000,1070982000,1532720000,
2004,508618000,1052869000,1657957000,
2005,546706000,1053500000,1714832000,
2006,543417000,1124187000,1711519000,*
2007,559286000,1067465000,1696006000,
2008,562967000,1096036000,1731229000,*
2009,612152000,1185492000,1847722000,
2010,566714000,1142673000,1789353000,*
2011,662337000,1167341000,1834219000,*
2012,688964000,1162317000,1840769000,
2013,646065000,1154850000,1870963000,*
2014,767830000,1090898000,1873717000,
2015,600135000,1036096000,1722292000,
2016,528386000,1026929000,1619565000,
2017,556920000,1099085000,1724411000,
2018,573075000,1207749000,1830896000,
2019,490146000,1213729000,1754102000,
2020,504413000,1209058000,1763207000,
2021,503944000,1394346000,1728093000,
2022,651417000,1240014000,2011475000,
