Entry,DTE,DTF,DTS,DTM
94,8,38,65,73
94,5,40,63,72
94,4,40,65,73
96,8,46,75,83
107,8,47,69,NA
129,7,47,73,81
55,7,47,NA,78
308,6,48,92,105
129,7,48,69,78
77,8,49,92,101
157,6,49,68,75
154,5,50,71,78
154,6,52,75,81
58,8,52,79,88
129,5,52,NA,NA
107,6,52,76,83
77,8,52,NA,NA
33,8,52,NA,NA
33,8,52,91,98
157,6,52,71,78
92,8,52,99,103
154,4,52,69,75
157,5,53,71,78
59,5,54,89,97
53,5,54,91,99
55,8,54,89,98
159,8,54,81,89
112,6,54,77,87
53,6,54,96,102
92,5,54,91,103
295,4,54,97,103
99,6,54,92,100
107,5,54,92,100
58,8,54,95,104
173,6,54,NA,NA
117,4,55,89,97
289,8,55,81,NA
33,8,55,97,101
153,6,55,91,98
58,8,55,81,88
52,8,55,89,99
54,7,55,92,103
99,7,55,92,103
117,8,55,99,106
54,4,55,95,106
159,6,55,88,96
53,6,55,91,100
55,6,55,81,89
59,8,55,92,98
10,8,55,NA,NA
116,6,55,NA,NA
104,8,55,NA,NA
10,5,55,NA,NA
99,6,56,94,103
54,6,56,88,99
295,7,56,96,105
308,7,56,94,103
18,6,56,87,102
57,7,56,NA,NA
145,6,56,96,103
295,6,56,92,100
204,4,56,NA,NA
22,7,56,NA,NA
92,6,56,NA,NA
242,8,56,NA,NA
25,4,56,NA,NA
118,8,56,NA,NA
319,7,56,NA,NA
96,6,57,91,104
170,4,57,97,104
52,6,57,96,102
239,8,57,NA,NA
153,7,57,NA,NA
114,6,58,91,102
124,6,58,91,104
145,5,58,89,103
112,6,58,98,104
29,8,58,NA,NA
29,7,59,NA,NA
294,5,59,92,101
59,7,59,94,102
117,6,59,91,99
96,7,59,94,105
57,5,59,91,96
308,8,59,96,104
144,7,59,NA,NA
153,7,59,NA,NA
289,7,59,NA,NA
56,8,60,81,89
159,5,60,79,88
66,7,61,82,89
57,6,61,89,98
113,8,61,91,104
18,6,61,NA,NA
298,8,61,97,107
127,6,61,91,104
113,7,61,91,101
38,7,61,NA,NA
5,6,61,NA,NA
124,6,62,91,100
30,7,62,98,108
31,5,62,93,104
118,6,62,NA,NA
51,7,62,NA,NA
319,6,62,NA,NA
31,6,62,NA,NA
114,7,62,NA,NA
43,6,63,93,104
127,5,63,94,101
27,7,63,96,101
27,8,63,89,98
18,6,63,95,103
23,8,63,NA,NA
145,6,63,NA,NA
28,6,63,NA,NA
311,5,63,NA,NA
116,5,63,NA,NA
298,5,64,92,104
30,6,64,98,104
113,8,64,91,100
127,8,64,98,103
77,8,64,91,102
120,8,64,NA,NA
22,4,64,NA,NA
31,6,64,NA,NA
95,4,64,NA,NA
219,6,64,NA,NA
156,7,64,NA,NA
29,7,64,NA,NA
144,4,64,NA,NA
43,8,65,96,104
294,6,65,91,102
114,6,65,92,105
27,5,65,99,107
311,5,65,NA,NA
135,5,65,NA,NA
10,8,65,NA,NA
311,6,65,NA,NA
116,6,66,94,107
298,6,66,89,107
69,6,66,NA,NA
120,8,66,NA,NA
319,4,66,NA,NA
172,6,66,NA,NA
72,7,67,96,103
156,6,67,91,104
144,8,67,NA,NA
52,5,67,NA,NA
103,8,67,NA,NA
218,6,67,NA,NA
128,5,67,NA,NA
110,5,67,NA,NA
276,6,67,NA,NA
289,8,67,NA,NA
115,8,67,NA,NA
323,8,67,NA,NA
141,8,67,NA,NA
183,8,67,NA,NA
128,6,67,NA,NA
66,5,67,NA,NA
110,6,67,NA,NA
170,8,67,NA,NA
25,8,67,NA,NA
110,5,68,84,94
124,6,68,96,102
67,4,68,93,103
294,8,68,98,106
135,8,68,NA,NA
95,7,68,NA,NA
4,6,68,NA,NA
5,7,68,NA,NA
4,6,68,NA,NA
245,6,68,NA,NA
4,6,68,NA,NA
82,6,68,NA,NA
38,8,68,NA,NA
147,8,68,NA,NA
30,6,69,93,104
297,4,69,93,105
43,6,69,98,107
297,7,69,96,105
41,6,69,NA,NA
300,4,69,NA,NA
280,6,69,NA,NA
321,8,69,NA,NA
214,8,69,NA,NA
25,7,69,NA,NA
42,5,69,NA,NA
307,6,69,NA,NA
313,6,69,NA,NA
42,8,69,NA,NA
309,8,69,NA,NA
306,8,69,NA,NA
307,8,69,NA,NA
7,7,69,NA,NA
12,5,69,NA,NA
66,6,69,NA,NA
109,6,69,NA,NA
321,8,69,NA,NA
214,5,69,NA,NA
118,5,69,NA,NA
32,6,69,NA,NA
253,6,69,NA,NA
245,7,69,NA,NA
218,5,69,NA,NA
123,8,70,94,104
24,4,70,NA,NA
97,8,70,NA,NA
61,6,70,NA,NA
191,5,70,NA,NA
220,4,70,NA,NA
185,6,70,NA,NA
213,7,70,NA,NA
23,6,70,NA,NA
123,8,70,NA,NA
9,4,70,NA,NA
296,6,70,NA,NA
212,5,70,NA,NA
131,5,70,NA,NA
283,5,70,NA,NA
214,8,70,NA,NA
203,7,70,NA,NA
103,6,70,NA,NA
300,6,71,98,106
178,8,71,NA,NA
261,8,71,NA,NA
26,6,71,NA,NA
32,4,71,NA,NA
174,8,71,NA,NA
141,8,71,NA,NA
286,4,71,NA,NA
190,6,71,NA,NA
106,5,71,NA,NA
41,6,71,NA,NA
103,6,71,NA,NA
82,6,71,NA,NA
246,6,71,NA,NA
38,6,71,NA,NA
40,5,71,NA,NA
131,5,71,NA,NA
321,8,71,NA,NA
23,6,71,NA,NA
191,6,71,NA,NA
135,8,71,NA,NA
247,7,71,NA,NA
184,6,71,NA,NA
286,5,71,NA,NA
198,8,71,NA,NA
156,5,72,92,104
300,6,72,96,109
