Age (yrs BP),Global (C)
10,0.6
30,-0.1
50,-0.26
70,-0.26
90,-0.19
110,-0.16
130,-0.15
150,-0.25
170,-0.22
190,-0.22
210,-0.37
230,-0.35
250,-0.37
270,-0.35
290,-0.33
310,-0.32
330,-0.3
350,-0.29
370,-0.27
390,-0.24
410,-0.22
430,-0.25
450,-0.23
470,-0.23
490,-0.21
510,-0.28
530,-0.26
550,-0.18
570,-0.17
590,-0.16
610,-0.13
630,-0.12
650,-0.13
670,-0.14
690,-0.12
710,-0.13
730,-0.2
750,-0.19
770,-0.18
790,-0.14
810,-0.11
830,-0.1
850,-0.09
870,-0.09
890,-0.09
910,-0.08
930,-0.08
950,-0.08
970,-0.07
990,-0.05
1010,-0.06
1030,-0.05
1050,-0.04
1070,-0.03
1090,-0.02
1110,0
1130,0
1150,0
1170,0
1190,0
1210,0
1230,-0.02
1250,-0.02
1270,-0.02
1290,-0.02
1310,-0.02
1330,-0.03
1350,-0.02
1370,-0.02
1390,-0.02
1410,-0.02
1430,-0.02
1450,-0.07
1470,-0.07
1490,-0.08
1510,-0.07
1530,-0.06
1550,-0.07
1570,-0.07
1590,-0.07
1610,-0.07
1630,-0.07
1650,-0.07
1670,-0.07
1690,-0.07
1710,-0.07
1730,-0.07
1750,-0.07
1770,-0.06
1790,-0.06
1810,-0.06
1830,-0.06
1850,-0.06
1870,-0.06
1890,-0.06
1910,-0.06
1930,-0.06
1950,-0.06
1970,-0.06
1990,-0.05
2010,-0.05
2030,-0.04
2050,-0.03
2070,-0.03
2090,-0.02
2110,-0.02
2130,-0.02
2150,-0.01
2170,-0.01
2190,-0.01
2210,0
2230,0
2250,0.01
2270,0.01
2290,0.01
2310,0.01
2330,0.02
2350,0.02
2370,0.02
2390,0.02
2410,0.03
2430,0.04
2450,0.04
2470,0.04
2490,0.04
2510,0.04
2530,0.04
2550,0.04
2570,0.04
2590,0.04
2610,0.04
2630,0.04
2650,0.04
2670,0.04
2690,0.04
2710,0.05
2730,0.05
2750,0.05
2770,0.05
2790,0.06
2810,0.06
2830,0.06
2850,0.06
2870,0.06
2890,0.05
2910,0.06
2930,0.05
2950,0.05
2970,0.05
2990,0.05
3010,0.05
3030,0.05
3050,0.05
3070,0.04
3090,0.04
3110,0.03
3130,0.03
3150,0.03
3170,0.03
3190,0.04
3210,0.04
3230,0.05
3250,0.05
3270,0.06
3290,0.07
3310,0.08
3330,0.09
3350,0.09
3370,0.1
3390,0.1
3410,0.1
3430,0.1
