Year,Party,Candidate,Votes,Percent
1992,Dem,Clinton,44909889,43
1992,Rep,Bush,39104550,37.4
1992,Other,,20470554.06,19.6
1996,Dem,Clinton,47401185,49.2
1996,Rep,Dole,39197469,40.7
1996,Other,,9730731.067,10.1
2000,Dem,Gore,50999897,48.4
2000,Rep,Bush,50456002,47.9
2000,Other,,3898752.457,3.7
2004,Dem,Kerry,59028444,48.3
2004,Rep,Bush,62040610,50.7
2004,Other,,1222120.994,1
2008,Dem,Obama,69498516,52.9
2008,Rep,McCain,59948323,45.7
2008,Other,,1839280.197,1.4
2012,Dem,Obama,65915795,51.1
2012,Rep,Romney,60933504,47.2
2012,Other,,2192893.376,1.7
2016,Dem,Clinton,65853514,48.2
2016,Rep,Trump,62984828,46.1
2016,Other,,7787656.22,5.7
2020,Dem,Biden,81283501,51.3
2020,Rep,Trump,74223975,46.8
2020,Other,,3010500.037,1.9
2024,Dem,Harris,70979779,48
2024,Rep,Trump,74708357,50.5
2024,Other,,2219060.109,1.5
