"REF_DATE","GEO","DGUID","Summary table","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","63","","","","0"
"2001","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","65","","","","0"
"2002","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","66","","","","0"
"2003","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","67","","","","0"
"2004","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","68","","","","0"
"2005","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","69","","","","0"
"2006","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","71","","","","0"
"2007","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","73","","","","0"
"2008","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","74","","","","0"
"2009","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","74","","","","0"
"2010","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","74","","","","0"
"2011","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","75","","","","0"
"2012","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","76","","","","0"
"2013","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","77","","","","0"
"2014","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","77","","","","0"
"2015","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","79","","","","0"
"2016","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","79","","","","0"
"2017","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","80","","","","0"
"2018","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","81","","","","0"
"2019","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","82","","","","0"
"2020","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","87","","","","0"
"2021","Canada","2016A11124","Percentage of persons with total income $15,000 and over","Percent","239","units","0","v16942685","1.22","86","","","","0"
"2000","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","44","","","","0"
"2001","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","46","","","","0"
"2002","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","47","","","","0"
"2003","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","48","","","","0"
"2004","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","49","","","","0"
"2005","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","51","","","","0"
"2006","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","52","","","","0"
"2007","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","54","","","","0"
"2008","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","56","","","","0"
"2009","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","55","","","","0"
"2010","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","56","","","","0"
"2011","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","57","","","","0"
"2012","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","58","","","","0"
"2013","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","59","","","","0"
"2014","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","60","","","","0"
"2015","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","61","","","","0"
"2016","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","62","","","","0"
"2017","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","63","","","","0"
"2018","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","65","","","","0"
"2019","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","65","","","","0"
"2020","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","71","","","","0"
"2021","Canada","2016A11124","Percentage of persons with total income $25,000 and over","Percent","239","units","0","v16942686","1.23","71","","","","0"
"2000","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","30","","","","0"
"2001","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","31","","","","0"
"2002","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","32","","","","0"
"2003","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","33","","","","0"
"2004","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","35","","","","0"
"2005","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","36","","","","0"
"2006","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","38","","","","0"
"2007","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","40","","","","0"
"2008","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","42","","","","0"
"2009","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","42","","","","0"
"2010","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","43","","","","0"
"2011","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","44","","","","0"
"2012","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","46","","","","0"
"2013","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","46","","","","0"
"2014","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","47","","","","0"
"2015","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","49","","","","0"
"2016","Canada","2016A11124","Percentage of persons with total income $35,000 and over","Percent","239","units","0","v16942687","1.24","49","","","","0"
