"REF_DATE","GEO","DGUID","Sex","Individuals and income","Source of income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","16085660","","","","0"
"2001","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","16652590","","","","0"
"2002","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","16710990","","","","0"
"2003","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","16974810","","","","0"
"2004","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","17275690","","","","0"
"2005","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","17553740","","","","0"
"2006","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","17810240","","","","0"
"2007","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","18181660","","","","0"
"2008","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","18432900","","","","0"
"2009","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","18369900","","","","0"
"2010","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","18411630","","","","0"
"2011","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","18770900","","","","0"
"2012","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","18938980","","","","0"
"2013","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","19126570","","","","0"
"2014","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","19378110","","","","0"
"2015","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","19521540","","","","0"
"2016","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","19605040","","","","0"
"2017","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","19887730","","","","0"
"2018","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","20334190","","","","0"
"2019","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","20737020","","","","0"
"2020","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","20378280","","","","0"
"2021","Canada","2016A11124","Both sexes","Number of tax filers and dependants","Total employment income","Persons","249","units","0","v20665360","1.1.1.2","20631680","","","","0"
"2000","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","8612950","","","","0"
"2001","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","8162980","","","","0"
"2002","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7629260","","","","0"
"2003","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7489470","","","","0"
"2004","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7683780","","","","0"
"2005","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7864700","","","","0"
"2006","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","8377930","","","","0"
"2007","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","9084220","","","","0"
"2008","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","9121180","","","","0"
"2009","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","8371910","","","","0"
"2010","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7667510","","","","0"
"2011","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7754490","","","","0"
"2012","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7739210","","","","0"
"2013","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7832090","","","","0"
"2014","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7855270","","","","0"
"2015","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7640570","","","","0"
"2016","Canada","2016A11124","Both sexes","Number of tax filers and dependants"," Dividend and interest income","Persons","249","units","0","v20665363","1.1.1.5","7529190","","","","0"
