Cultivar,CultNumber,CultLabel,Hybrid,Age,Breeder
NPZ 1203 Z,15,H15,H,N,NPZ
Troy,19,H19,H,N,DSV
Marathon,11,H11,H,N,DSV
Mercedes,13,H13,H,N,NPZ
Avatar,3,H03,H,N,NPZ
DK Exstorm,6,H06,H,N,MTO
Inspiration,10,H10,H,N,DSV
Genie,9,H09,H,N,DSV
Mascara,12,H12,H,N,SW
Artoga,1,H01,H,N,LG
Sherpa,17,H17,H,N,NPZ
Compass,5,H05,H,N,DSV
NK Linus,14,H14,H,N,SYN
Visby,20,H20,H,N,NPZ
Exocet,8,H08,H,O,DSV
Taurus,18,H18,H,O,NPZ
Baldur,4,H04,H,O,NPZ
Elektra,7,H07,H,O,BCS
Ryder,16,H16,H,O,SW
Artus,2,H02,H,O,NPZ
Patron,69,L09,P,N,BCS
Trinity,70,L10,P,N,SW
Adriana,61,L01,P,N,LG
Lorenz,66,L06,P,N,NPZ
Oase,67,L07,P,N,DSV
Pacific,68,L08,P,O,LG
Californium,63,L03,P,O,MTO
Aviso,62,L02,P,O,SW
Express,64,L04,P,O,NPZ
Lirajet,65,L05,P,O,DSV
