Container,Genotype,Nlevel,AvailableN,Rep,Edge
1,Major,2,1033,1,T
2,Pacific,2,1033,1,F
3,Marathon,2,1033,1,F
4,Troy,2,1033,1,F
5,Elektra,2,1033,1,F
6,NPZ 1203 Z,2,1033,1,F
7,DK Exstorm,2,1033,1,F
8,NK Linus,2,1033,1,F
9,Avatar,2,1033,1,F
10,Oase,2,1033,1,F
11,Artoga,2,1033,1,F
12,Rand,2,1033,1,T
13,Rand,1,677,1,T
14,Artoga,1,677,1,F
15,Oase,1,677,1,F
16,Avatar,1,677,1,F
17,NK Linus,1,677,1,F
18,DK Exstorm,1,677,1,F
19,NPZ 1203 Z,1,677,1,F
20,Elektra,1,677,1,F
21,Troy,1,677,1,F
22,Marathon,1,677,1,F
23,Pacific,1,677,1,F
24,Major,1,677,1,T
25,Gross Lusewitzer,2,1033,1,T
26,Californium,2,1033,1,F
27,Lirajet,2,1033,1,F
28,Patron,2,1033,1,F
29,Mascara,2,1033,1,F
30,Compass,2,1033,1,F
31,Adriana,2,1033,1,F
32,Exocet,2,1033,1,F
33,Artus,2,1033,1,F
34,Genie,2,1033,1,F
35,Visby,2,1033,1,F
36,Rand,2,1033,1,T
37,Rand,1,677,1,T
38,Visby,1,677,1,F
39,Genie,1,677,1,F
40,Artus,1,677,1,F
41,Exocet,1,677,1,F
42,Adriana,1,677,1,F
43,Compass,1,677,1,F
44,Mascara,1,677,1,F
45,Patron,1,677,1,F
46,Lirajet,1,677,1,F
47,Californium,1,677,1,F
48,Gross Lusewitzer,1,677,1,T
49,Madrigal,2,1033,1,T
50,Trinity,2,1033,1,F
51,Baldur,2,1033,1,F
52,Mercedes,2,1033,1,F
53,Lorenz,2,1033,1,F
54,Ryder,2,1033,1,F
55,Aviso,2,1033,1,F
56,Sherpa,2,1033,1,F
57,Express,2,1033,1,F
58,Taurus,2,1033,1,F
59,Inspiration,2,1033,1,F
60,Rand,2,1033,1,T
61,Rand,1,677,1,T
62,Inspiration,1,677,1,F
63,Taurus,1,677,1,F
64,Express,1,677,1,F
65,Sherpa,1,677,1,F
66,Aviso,1,677,1,F
67,Ryder,1,677,1,F
68,Lorenz,1,677,1,F
69,Mercedes,1,677,1,F
70,Baldur,1,677,1,F
71,Trinity,1,677,1,F
72,Madrigal,1,677,1,T
73,Major,2,1033,2,T
74,Sherpa,2,1033,2,F
75,Aviso,2,1033,2,F
76,NK Linus,2,1033,2,F
77,Ryder,2,1033,2,F
78,Lirajet,2,1033,2,F
79,Adriana,2,1033,2,F
80,Inspiration,2,1033,2,F
81,Genie,2,1033,2,F
82,Compass,2,1033,2,F
83,Patron,2,1033,2,F
84,Rand,2,1033,2,T
85,Rand,1,677,2,T
86,Patron,1,677,2,F
87,Compass,1,677,2,F
88,Genie,1,677,2,F
89,Inspiration,1,677,2,F
90,Adriana,1,677,2,F
91,Lirajet,1,677,2,F
92,Ryder,1,677,2,F
93,NK Linus,1,677,2,F
94,Aviso,1,677,2,F
95,Sherpa,1,677,2,F
96,Major,1,677,2,T
97,Expert,2,1033,2,T
98,Express,2,1033,2,F
99,Baldur,2,1033,2,F
100,Mascara,2,1033,2,F
101,Marathon,2,1033,2,F
102,Artus,2,1033,2,F
103,Oase,2,1033,2,F
104,Lorenz,2,1033,2,F
105,Pacific,2,1033,2,F
106,Artoga,2,1033,2,F
107,Californium,2,1033,2,F
108,Rand,2,1033,2,T
109,Rand,1,677,2,T
110,Californium,1,677,2,F
111,Artoga,1,677,2,F
112,Pacific,1,677,2,F
113,Lorenz,1,677,2,F
114,Oase,1,677,2,F
115,Artus,1,677,2,F
116,Marathon,1,677,2,F
117,Mascara,1,677,2,F
118,Baldur,1,677,2,F
119,Express,1,677,2,F
120,Expert,1,677,2,T
121,Expert,2,1033,2,T
122,Taurus,2,1033,2,F
123,Elektra,2,1033,2,F
124,Trinity,2,1033,2,F
125,Visby,2,1033,2,F
126,Troy,2,1033,2,F
127,DK Exstorm,2,1033,2,F
128,Mercedes,2,1033,2,F
129,Avatar,2,1033,2,F
130,Exocet,2,1033,2,F
131,NPZ 1203 Z,2,1033,2,F
132,Rand,2,1033,2,T
133,Rand,1,677,2,T
134,NPZ 1203 Z,1,677,2,F
135,Exocet,1,677,2,F
136,Avatar,1,677,2,F
137,Mercedes,1,677,2,F
138,DK Exstorm,1,677,2,F
139,Troy,1,677,2,F
140,Visby,1,677,2,F
141,Trinity,1,677,2,F
142,Elektra,1,677,2,F
143,Taurus,1,677,2,F
144,Expert,1,677,2,T
