Container,RootScore,RootLength,NumPlantsLost,NumPlantsRoots,NumPlantsShoots,RootMass,StemMass1,StemMass2,StrawMassMain,StrawMassSide,SeedMassMain,SeedMassSide
1,2,45,0,9,7,51.48,17.76,157.77,43.91,153.96,29.21,121.87
2,,,,,,,,127.82,40.25,108.92,61.93,120
3,3,45,0,9,7,67.44,6.76,177.25,53.81,116.55,36.85,135.31
4,2,40,0,9,7,48.28,11.14,102.78,48.42,106.5,62.63,94.07
5,1,55,0,9,7,59.09,13.07,127.72,51.6,113.64,56.22,116.74
6,2,50,0,9,7,47.29,13.46,98.94,49.64,88.84,66.22,93.4
7,2,55,0,9,7,43.94,13.54,157.47,51.7,112.69,62.08,132.38
8,2,65,0,9,7,58.37,4.81,154.35,50.13,133.16,53.32,154.81
9,1,45,0,9,7,59.26,19.88,131.72,46.54,127.73,58.99,140.7
10,1,55,5,4,2,25.14,10.84,114.3,34.42,132.13,38.11,121.93
11,1,,0,9,7,71.1,16.14,137.48,45.85,130.63,48.03,125.51
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,1,55,0,9,7,70.13,14.56,159.18,53.91,126.59,51.83,108.64
15,1,60,4,5,3,30.95,4.33,69.72,25.46,67.52,28.73,69.3
16,2,55,0,9,7,75.3,17.75,125.02,40.67,82.53,49.07,92.09
17,2,50,0,9,7,69.14,4.53,151.41,45.66,121.67,53.92,135.42
18,1,50,0,9,7,48.66,11.32,129.09,45.94,113.14,51.95,128.21
19,2,55,0,9,7,53.94,11.48,80.74,37.98,62.41,44.94,56.91
20,1,50,0,9,7,54.09,13.19,107.51,45.97,80.05,53.88,85.78
21,2,70,0,9,7,48.15,5.03,81.37,39.5,67.16,56.83,78.01
22,2,55,0,9,7,73.02,6.85,171.81,51.8,106.59,58.63,112.89
23,,,,,,,,128.94,39.89,94.51,46.17,103.65
24,1,55,0,9,7,61.2,18.62,157.42,35.55,114.49,25.77,81.87
25,5,60,0,9,7,108.67,18.53,164.59,40.54,127.33,36.14,110.3
