Container,OilPercent,ProteinPercent,Glucosinolates,SulphurPercent,WaterPercent,OleicAcidPercent,LinolenicAcidPercent,ErucicAcidPercent
1,51.5,18.1,69.3,0.6,5.6,72.9,0.9,46.3
1,52.0,18.0,69.1,0.6,5.5,75.0,0.4,47.5
2,46.6,16.3,5.1,0.2,4.8,65.3,5.8,8.3
2,46.3,16.6,6.1,0.2,5.1,64.0,6.4,9.9
3,48.6,15.3,11.2,0.3,5.5,68.4,6.1,0.2
3,48.5,14.7,10.9,0.3,5.3,67.4,5.9,-1.0
4,45.4,18.7,8.8,0.3,6.7,66.7,8.0,-1.4
4,45.2,19.0,11.9,0.3,7.0,66.2,8.2,1.3
5,48.8,16.3,9.0,0.2,6.5,68.2,7.0,3.9
5,48.2,16.5,7.6,0.2,6.7,68.4,7.1,-0.1
6,42.2,19.9,11.5,0.3,7.8,64.5,8.9,0.7
6,41.9,20.0,11.1,0.3,7.9,63.9,9.2,0.0
7,50.3,14.6,8.4,0.2,5.9,69.4,7.2,-5.1
7,50.4,14.6,8.4,0.2,5.9,70.6,7.2,-2.1
8,47.9,17.4,11.2,0.3,6.7,65.9,7.8,0.1
8,47.5,17.3,12.0,0.3,6.7,66.0,8.1,4.2
9,50.6,15.2,5.5,0.2,6.4,66.6,7.9,-3.2
9,50.4,15.2,7.9,0.2,6.1,67.2,7.6,-1.1
10,46.4,17.3,9.5,0.3,7.2,66.0,6.9,3.6
10,46.1,17.5,8.2,0.2,7.2,65.1,7.2,4.0
10,46.1,17.2,7.3,0.2,7.0,66.9,7.7,3.5
11,48.6,14.8,8.1,0.3,6.5,67.0,7.3,0.6
11,48.6,14.6,8.7,0.2,6.4,67.5,7.6,-5.0
11,48.5,14.7,10.5,0.2,6.3,68.8,7.0,-2.4
14,50.3,13.6,6.7,0.2,6.7,64.5,8.3,-3.4
14,50.3,13.6,4.2,0.2,6.6,64.7,7.0,-3.4
14,49.4,13.9,5.5,0.2,6.5,66.5,8.2,-2.1
15,46.6,16.8,10.1,0.2,7.6,67.3,7.5,-3.9
15,46.2,16.8,7.6,0.2,7.6,66.9,8.0,-6.2
15,45.5,17.7,8.2,0.2,7.2,68.4,7.3,2.4
16,51.4,14.0,7.2,0.2,6.8,68.1,7.2,1.0
16,51.0,15.0,8.3,0.2,6.1,67.8,7.0,-2.2
17,48.0,16.7,10.1,0.2,7.0,67.8,7.2,-1.5
17,47.0,16.7,10.6,0.2,7.2,67.0,6.9,-6.2
17,46.6,16.8,9.8,0.3,6.9,65.6,7.4,2.9
18,51.0,14.3,8.4,0.2,6.8,69.1,6.6,0.9
18,50.2,14.7,10.6,0.3,6.2,69.7,6.9,-4.2
19,45.4,19.2,11.7,0.3,7.1,64.8,8.5,5.7
19,43.4,20.1,11.8,0.2,7.5,66.2,8.6,2.4
19,45.6,20.0,8.1,0.2,6.9,64.0,8.8,9.2
20,47.4,16.6,4.1,0.2,8.9,66.9,7.9,-4.6
20,47.2,17.0,6.7,0.2,8.7,68.0,7.7,-4.4
21,44.9,20.1,14.0,0.3,7.5,66.5,8.3,-2.5
21,44.8,20.4,14.2,0.4,7.5,67.8,8.6,-0.3
21,45.1,20.4,12.4,0.3,7.4,66.5,9.1,-1.3
22,49.1,15.2,7.0,0.3,6.5,70.2,7.0,-4.5
22,48.6,15.4,9.3,0.2,6.6,71.3,6.8,-0.5
23,48.0,16.5,3.9,0.2,6.0,67.3,6.6,10.1
23,48.6,16.2,2.8,0.1,5.9,67.0,6.7,7.7
24,50.8,17.1,63.5,0.5,7.0,74.8,2.0,37.1
24,51.2,16.6,61.2,0.5,7.1,73.4,2.4,36.1
24,52.9,16.6,66.5,0.6,6.5,76.0,2.2,39.0
25,48.7,19.2,68.6,0.6,6.9,72.3,1.3,45.6
25,49.3,19.0,68.5,0.6,7.0,71.6,0.9,49.3
25,50.0,18.6,66.4,0.7,6.6,74.6,0.6,44.3
26,44.4,19.1,8.7,0.3,8.9,67.4,7.2,-1.4
26,44.9,18.9,9.9,0.3,8.6,67.6,7.7,-2.4
27,42.7,17.7,6.4,0.3,9.2,68.8,6.2,-8.1
27,42.5,17.6,6.9,0.3,9.1,68.6,6.3,-7.5
28,49.0,17.3,7.0,0.3,8.7,68.6,8.4,-7.8
28,49.7,17.3,7.2,0.3,8.7,67.1,9.1,-5.2
29,45.9,17.8,9.5,0.2,7.0,65.9,8.6,-1.3
29,46.9,17.2,8.4,0.2,7.2,64.5,8.0,-1.3
29,47.1,17.2,7.9,0.3,6.8,66.2,7.9,-1.6
30,48.9,18.5,6.7,0.3,6.9,68.3,8.2,1.6
30,48.4,18.7,8.4,0.3,6.9,70.1,8.0,1.7
31,44.4,19.1,8.0,0.2,7.0,66.9,7.2,-0.6
31,44.2,19.4,10.0,0.3,7.4,67.3,7.7,-0.5
32,46.6,17.6,12.7,0.3,7.0,66.8,8.6,3.7
32,46.1,17.7,10.7,0.3,7.2,65.8,8.1,0.2
33,41.0,20.4,9.5,0.3,7.8,61.3,8.8,2.2
33,40.3,20.4,7.3,0.2,7.9,60.9,8.7,1.3
33,40.5,20.2,10.2,0.3,7.7,65.3,8.2,0.0
34,49.3,16.4,8.0,0.2,6.7,70.1,7.6,5.1
34,48.6,17.0,6.9,0.2,7.1,68.5,7.7,5.0
35,46.6,15.2,4.3,0.2,6.8,67.7,7.4,-2.5
35,47.6,14.9,5.4,0.2,6.7,67.1,7.1,-4.4
38,47.8,14.6,5.1,0.1,6.9,67.9,7.3,0.1
38,48.3,14.6,4.5,0.2,6.8,68.6,6.9,-4.0
39,51.3,13.7,6.1,0.2,7.0,71.4,6.0,0.6
39,51.9,13.7,5.6,0.2,6.9,70.6,6.4,0.3
40,46.8,15.2,6.6,0.2,6.7,65.8,7.7,-1.6
40,46.3,15.4,15.0,0.2,7.0,66.3,7.3,0.7
41,48.3,16.1,11.9,0.3,6.7,65.2,8.4,-5.8
41,47.8,16.4,13.6,0.3,6.5,65.3,9.2,0.5
42,44.8,18.6,9.2,0.3,9.0,67.6,6.5,-2.1
42,43.0,19.1,7.7,0.2,9.1,66.3,7.0,-2.2
43,51.4,15.5,5.2,0.2,7.2,69.0,6.1,-3.7
43,51.3,15.4,4.1,0.2,6.9,70.5,5.8,-2.8
44,45.6,17.6,4.1,0.2,7.0,64.8,8.6,1.4
44,46.8,16.9,8.1,0.2,7.0,64.9,8.3,2.1
45,48.8,18.8,11.4,0.3,6.8,69.8,7.6,-2.2
45,48.5,19.1,11.6,0.3,7.0,70.2,8.1,2.1
45,48.1,19.0,11.0,0.3,7.1,69.7,8.0,-0.3
46,44.7,16.6,7.9,0.2,7.6,70.0,6.3,-6.0
46,45.0,16.6,10.4,0.2,7.7,67.7,6.3,-7.7
48,46.6,19.4,67.9,0.5,7.2,70.4,2.1,33.8
48,46.3,19.4,64.5,0.5,7.5,70.9,2.6,34.7
49,46.1,19.5,15.6,0.3,6.4,68.6,7.3,4.5
49,46.8,19.3,11.1,0.3,6.7,68.4,7.9,3.2
50,43.7,18.2,6.2,0.3,7.9,65.2,7.3,-1.7
50,43.1,18.6,6.2,0.3,7.8,69.4,7.4,0.6
51,45.0,18.1,10.4,0.2,7.8,69.7,7.4,-2.5
51,46.0,18.3,11.6,0.3,7.6,67.8,6.7,-4.5
52,47.2,18.0,7.4,0.2,7.3,67.6,8.2,0.1
52,45.9,18.2,9.7,0.3,7.2,65.4,8.3,-1.7
52,45.5,18.9,12.4,0.3,6.6,68.0,7.9,2.8
53,47.7,17.4,17.9,0.3,7.6,69.2,8.9,-2.6
53,47.6,17.2,13.0,0.3,7.9,69.3,8.8,-4.5
53,47.4,17.1,11.2,0.2,7.2,68.6,8.3,-1.6
54,42.2,20.1,20.3,0.4,8.7,60.4,9.3,-3.3
54,42.6,19.7,20.2,0.3,9.1,61.5,9.1,-2.3
55,45.1,19.6,11.6,0.2,7.4,64.5,8.8,-1.4
55,45.6,19.6,7.5,0.3,7.4,65.5,9.5,0.1
55,44.7,20.0,8.9,0.2,7.5,65.1,9.5,0.1
56,47.2,17.1,11.6,0.2,8.2,69.6,7.2,-1.1
56,46.7,17.1,10.9,0.3,8.2,66.1,7.5,-7.6
57,48.1,18.9,8.1,0.3,8.6,69.3,6.4,-0.8
57,46.1,19.5,12.2,0.3,8.4,69.6,6.6,0.8
58,49.7,15.3,7.4,0.2,7.9,67.3,5.9,-3.2
58,49.8,15.7,5.8,0.2,8.0,68.5,5.8,-1.8
62,50.7,14.6,8.7,0.2,6.8,70.4,8.0,-5.6
62,50.3,15.0,7.6,0.2,6.7,69.7,7.9,-2.0
62,50.6,14.6,10.4,0.3,6.7,70.1,7.3,-1.1
63,49.7,15.9,11.7,0.2,7.3,70.2,7.6,1.4
63,48.6,15.9,4.1,0.2,7.4,70.1,7.6,-1.2
63,48.7,16.1,11.2,0.2,7.1,70.3,7.4,2.9
64,49.1,18.0,14.1,0.3,7.3,69.4,7.2,3.5
64,49.1,18.0,10.9,0.3,7.1,74.0,6.5,4.7
64,47.9,18.8,10.2,0.2,7.1,68.2,7.5,4.6
65,48.3,15.6,7.6,0.2,7.2,69.2,7.0,-3.2
65,48.6,15.7,10.9,0.2,7.0,69.4,6.7,-5.0
66,46.4,18.9,9.2,0.3,7.8,63.8,9.6,-3.3
66,46.2,18.8,7.7,0.3,8.6,60.4,9.7,-5.9
67,46.1,17.7,18.5,0.3,7.3,63.9,8.0,-2.9
67,46.8,17.3,14.2,0.3,7.2,64.7,8.3,-3.0
68,45.9,17.0,8.7,0.2,9.8,68.2,8.1,-9.2
68,45.9,16.7,8.8,0.3,9.6,66.8,7.7,-3.9
69,48.0,15.5,8.1,0.2,7.5,68.3,7.7,-6.6
69,48.4,15.3,9.6,0.2,7.8,70.3,7.1,-5.3
70,49.0,15.3,3.9,0.2,7.4,70.0,7.4,0.0
70,49.3,15.3,4.4,0.1,7.3,69.7,7.3,-3.0
70,49.2,15.0,5.8,0.2,7.1,70.4,7.0,-0.3
71,46.9,15.7,8.5,0.2,6.9,70.8,6.5,-1.1
71,46.8,15.7,6.4,0.2,7.3,67.9,6.6,0.0
72,48.5,16.8,12.1,0.3,6.4,67.2,7.4,-0.3
72,48.8,16.9,11.7,0.3,6.4,66.8,8.1,2.4
73,49.8,19.0,68.9,0.6,6.4,76.1,1.8,43.0
73,50.5,18.6,69.8,0.6,6.8,73.6,2.3,35.9
74,47.1,17.1,8.8,0.3,6.6,70.0,5.9,1.4
74,47.5,17.2,8.9,0.2,6.8,69.4,6.1,2.1
75,45.9,18.1,7.3,0.3,9.1,64.3,9.6,-8.3
75,45.4,18.8,9.3,0.2,8.6,64.5,9.3,-6.9
76,45.6,18.3,9.6,0.2,8.8,65.4,8.2,-6.7
76,46.5,18.0,9.1,0.3,8.8,64.6,7.8,-4.8
77,42.2,20.4,18.7,0.3,9.6,58.7,9.0,-6.5
77,42.1,20.6,22.0,0.3,9.4,59.7,8.8,-3.5
78,41.2,19.4,7.4,0.3,9.6,67.5,6.9,-6.2
78,40.1,20.0,5.3,0.3,10.0,66.4,6.8,-5.9
79,41.9,20.8,14.9,0.3,9.2,65.3,7.8,0.8
79,40.1,21.3,8.5,0.3,9.7,63.6,7.5,-0.1
80,45.8,17.3,8.7,0.2,7.5,65.6,9.1,-2.7
80,46.6,17.1,8.2,0.2,7.3,66.9,8.6,-1.1
81,46.8,18.3,2.8,0.2,9.1,67.6,7.8,-1.1
81,47.0,17.9,5.2,0.2,9.4,65.9,7.6,-0.7
82,50.0,16.1,2.9,0.2,7.5,68.5,7.0,-1.1
82,50.1,15.9,6.8,0.3,7.0,69.6,6.4,-1.8
83,49.5,16.2,3.9,0.2,8.4,68.7,8.1,-5.7
83,49.6,16.2,7.7,0.3,8.3,70.0,8.4,-3.6
86,51.3,14.8,5.6,0.2,7.1,68.8,7.5,-5.3
86,51.5,14.8,4.0,0.2,6.8,70.2,7.8,-5.7
87,52.3,14.1,3.7,0.2,6.3,68.7,6.6,-0.7
87,52.2,14.1,2.4,0.2,6.3,69.1,6.6,-1.0
88,52.3,13.8,7.0,0.2,6.9,70.2,7.3,3.8
88,52.8,14.0,5.5,0.2,7.1,72.2,7.3,1.3
88,52.5,13.7,2.0,0.2,6.8,70.8,7.1,0.4
89,50.0,14.7,6.3,0.2,7.3,66.8,8.4,-4.1
89,49.7,14.9,9.9,0.2,6.9,68.4,7.6,-1.0
89,50.1,14.5,8.2,0.2,6.8,67.4,8.3,-3.0
90,48.6,16.2,9.0,0.2,6.5,70.7,7.0,-0.7
90,47.6,16.4,13.7,0.2,6.6,72.5,6.7,-1.5
91,42.9,18.3,6.8,0.3,9.5,68.2,7.1,-5.4
91,42.5,18.6,7.4,0.3,9.9,67.0,6.8,-7.1
92,47.8,16.4,16.1,0.3,7.0,63.9,8.8,-3.1
92,48.0,16.3,12.5,0.2,6.8,65.2,8.7,-2.0
92,47.4,16.7,16.4,0.3,6.7,66.2,8.3,1.1
93,47.9,16.1,7.8,0.2,7.3,67.1,7.1,-3.8
93,47.7,15.8,7.1,0.2,7.3,65.7,7.6,-1.1
94,49.3,16.2,5.4,0.2,7.2,66.6,8.7,-3.5
94,49.0,16.3,5.7,0.2,6.9,66.5,9.4,-1.4
94,49.0,15.8,3.6,0.2,7.0,66.2,8.1,-0.1
95,47.7,15.7,7.0,0.2,7.2,68.9,6.9,-3.5
95,48.3,15.9,7.5,0.2,7.0,69.1,6.6,0.6
96,49.3,18.7,71.1,0.6,6.8,73.3,3.0,34.0
96,48.9,18.9,68.4,0.6,6.9,73.0,2.8,25.8
97,43.8,19.4,12.4,0.3,7.7,65.0,8.3,-3.8
97,43.8,18.8,16.3,0.2,7.8,67.1,7.9,-4.0
98,49.7,17.6,11.5,0.3,8.4,70.2,6.9,-1.7
98,49.0,18.1,11.2,0.3,8.5,68.2,6.6,2.7
99,46.2,17.3,16.3,0.3,8.2,67.9,6.6,-2.4
99,45.8,17.3,14.8,0.2,8.0,68.0,6.6,1.6
100,45.5,18.2,10.8,0.3,6.7,66.0,8.1,2.6
100,46.2,18.3,12.3,0.3,6.7,65.1,8.4,5.0
101,45.2,17.2,7.0,0.3,7.0,66.2,7.8,-0.1
101,45.7,16.9,9.1,0.3,6.9,66.1,7.3,-1.9
101,46.2,17.2,8.9,0.2,7.8,67.0,6.9,-2.3
101,45.6,17.4,7.3,0.2,7.7,67.2,6.4,0.7
102,43.0,18.0,6.1,0.2,8.9,63.6,8.3,-5.3
102,44.0,17.6,6.9,0.2,9.0,65.1,7.2,-3.0
103,41.0,21.5,7.1,0.3,7.4,61.0,8.5,1.8
103,41.7,20.6,8.7,0.3,7.3,61.4,8.7,5.0
104,47.6,16.4,7.8,0.3,7.6,66.6,8.3,-1.7
104,47.7,16.2,9.6,0.2,7.7,69.1,7.1,-6.0
105,49.3,15.2,6.1,0.1,5.3,62.4,8.3,2.3
105,48.9,16.0,9.6,0.2,5.8,64.6,7.8,1.6
105,48.6,15.9,6.9,0.2,5.4,63.8,8.4,1.3
106,47.7,15.6,5.1,0.3,8.2,62.4,8.6,-4.7
106,47.9,15.6,9.9,0.3,7.2,65.4,8.6,-2.8
107,43.6,19.0,11.2,0.3,7.9,64.9,8.4,-2.8
107,43.9,19.0,11.9,0.3,7.8,66.5,8.0,-4.6
110,47.3,15.6,9.2,0.2,7.2,65.7,7.6,-0.9
110,48.3,15.2,9.6,0.2,6.8,67.0,7.4,1.5
110,48.5,15.1,6.4,0.2,6.9,67.1,7.1,4.2
111,46.5,16.2,9.0,0.2,7.0,63.2,9.4,-2.6
111,47.5,16.2,6.3,0.2,6.8,66.7,8.8,-3.9
111,46.6,16.4,10.5,0.2,6.4,66.8,8.5,-0.8
112,50.2,14.8,4.5,0.1,5.8,65.6,6.9,1.8
112,49.6,14.7,3.7,0.2,6.0,65.0,6.6,-0.9
113,49.8,15.1,6.7,0.2,7.5,68.0,7.4,2.8
113,50.0,14.8,10.3,0.2,7.7,69.6,6.4,-1.9
113,49.4,15.2,6.8,0.2,7.4,68.2,7.5,0.0
114,41.8,21.1,7.0,0.3,9.6,61.5,8.5,0.0
114,41.6,21.2,8.1,0.3,9.9,59.1,8.9,-3.9
115,46.3,16.5,3.4,0.2,7.4,66.2,8.1,0.4
115,45.3,16.7,7.0,0.2,7.5,66.2,7.8,-2.8
116,46.3,15.9,5.3,0.2,7.8,68.2,7.5,-10.2
116,46.3,16.2,5.9,0.2,7.6,68.0,7.0,-5.0
117,47.4,16.0,9.1,0.2,6.3,67.2,8.5,1.0
117,46.6,16.0,6.3,0.2,6.4,67.3,8.0,-2.6
118,48.4,15.6,3.6,0.2,7.6,69.2,7.1,-1.1
118,48.6,15.6,6.0,0.2,7.5,71.4,6.6,-3.0
118,48.8,15.7,5.5,0.2,7.4,71.8,6.8,-0.9
119,49.1,16.9,10.1,0.2,7.1,69.0,6.9,0.6
119,49.1,17.1,11.1,0.3,6.9,71.2,7.0,1.9
120,44.2,18.2,11.7,0.2,7.2,67.1,7.2,-2.5
120,45.0,17.9,12.6,0.2,7.1,69.1,6.6,-1.9
121,46.0,17.4,11.8,0.2,6.5,68.8,6.7,-1.0
121,45.0,17.5,12.1,0.2,6.7,67.7,7.0,-5.7
122,49.0,16.6,2.8,0.2,6.8,68.8,6.7,-0.9
122,48.9,16.7,7.5,0.2,6.9,70.8,6.6,-2.1
123,47.1,17.7,9.2,0.2,7.5,67.7,7.3,-1.5
123,47.5,17.3,7.4,0.2,7.1,67.8,7.2,-4.9
125,45.8,16.5,7.7,0.2,7.2,66.1,7.5,0.2
125,46.1,16.2,7.8,0.2,7.1,67.3,7.4,-1.4
126,45.6,18.9,11.4,0.3,6.8,66.7,8.9,1.7
127,48.0,16.5,8.6,0.2,6.8,66.8,7.2,-1.7
127,47.7,16.7,10.7,0.3,6.9,66.9,7.1,0.0
127,47.6,16.8,9.9,0.2,6.9,67.7,7.5,3.0
128,47.1,16.6,9.0,0.2,7.3,67.6,7.3,-5.3
128,47.5,16.5,9.1,0.3,7.3,67.8,7.3,-4.7
129,48.1,16.1,9.5,0.2,6.9,67.1,7.6,-6.8
129,48.6,16.2,7.3,0.2,6.7,65.9,8.1,-7.8
130,47.2,16.1,14.1,0.2,7.3,65.6,8.9,-8.4
130,47.0,16.1,12.7,0.2,7.3,63.6,8.5,-8.3
130,46.2,16.3,8.4,0.2,7.4,64.5,8.2,-2.8
131,43.6,20.2,10.9,0.3,9.3,63.6,9.3,-3.1
131,41.8,20.7,8.2,0.3,9.3,60.8,9.8,-5.1
135,51.2,13.3,6.2,0.2,6.8,68.2,8.4,-0.4
135,50.5,13.5,9.2,0.3,7.0,67.9,7.1,3.2
135,51.1,13.4,6.3,0.2,6.7,69.9,8.0,0.2
136,51.3,14.8,9.2,0.2,6.5,68.5,7.5,-0.6
136,50.2,14.9,6.3,0.2,6.6,67.1,7.9,-4.3
136,51.0,15.0,7.7,0.2,6.3,70.4,8.2,-0.4
137,52.4,13.6,6.1,0.2,6.9,69.2,7.8,-4.5
137,51.0,14.1,10.3,0.2,7.0,69.2,7.7,-5.6
137,52.1,13.9,7.8,0.2,6.5,73.1,7.6,0.5
138,49.7,14.6,5.6,0.2,8.4,66.4,8.1,-6.2
138,49.4,14.7,5.9,0.2,8.5,67.1,8.2,-6.0
139,49.7,14.8,10.7,0.2,6.9,70.9,7.7,-4.4
139,50.3,14.7,7.9,0.2,7.1,72.3,8.0,-7.4
140,46.8,15.0,2.6,0.1,7.3,69.3,8.0,-3.1
140,47.8,14.9,4.9,0.1,7.4,68.5,7.4,-1.4
140,47.6,14.5,3.7,0.2,6.8,68.5,7.7,-0.4
141,45.3,16.7,9.9,0.2,7.1,69.3,6.6,-4.1
141,45.0,16.9,6.6,0.2,7.6,65.0,7.0,-8.1
142,48.6,15.9,4.8,0.1,7.2,68.4,7.5,-0.8
142,48.9,15.7,6.4,0.2,7.0,68.7,6.4,-5.3
142,49.0,15.8,5.0,0.2,7.1,69.6,6.7,3.1
143,49.1,15.8,8.4,0.2,7.2,69.9,6.7,3.7
143,49.6,15.8,3.1,0.2,6.9,72.1,7.0,0.7
144,47.5,15.0,8.5,0.2,6.7,69.1,6.4,-1.6
144,46.5,15.5,8.0,0.2,6.6,68.6,6.9,-4.5
144,47.5,14.9,5.4,0.2,6.8,68.9,7.1,0.6
