Container,OilPercent,ProteinPercent,Glucosinolates,SulphurPercent,WaterPercent,OleicAcidPercent,LinolenicAcidPercent,ErucicAcidPercent
1,51.4,17.7,60.7,0.5,6.6,72.6,1.8,40.1
1,52.5,17.0,62.0,0.5,6.4,74.1,2.4,43.1
2,43.3,19.0,4.5,0.1,7.2,61.8,8.3,9.5
2,43.2,19.2,5.0,0.2,6.5,63.3,6.9,9.9
3,47.7,16.0,5.6,0.2,7.0,67.5,5.9,1.8
3,47.6,16.4,5.9,0.2,7.0,70.6,6.4,4.4
3,47.9,16.0,6.8,0.2,7.0,69.4,6.2,6.2
4,44.7,19.8,11.3,0.3,8.4,64.5,9.6,4.7
4,44.3,19.7,11.0,0.3,7.7,64.7,8.5,1.8
5,48.4,17.0,6.9,0.2,6.8,69.4,6.4,4.9
5,48.1,17.1,9.6,0.2,7.0,69.9,6.5,8.1
6,43.7,20.6,10.7,0.3,7.6,63.2,10.2,1.9
6,41.6,21.4,9.2,0.3,7.7,60.5,10.1,1.2
6,43.8,20.4,11.4,0.3,7.0,65.6,9.9,3.6
7,50.2,15.3,6.0,0.2,6.0,70.3,6.7,4.1
7,50.3,15.1,7.3,0.2,6.0,69.8,7.3,-0.7
8,48.3,17.6,11.2,0.3,6.7,70.3,7.0,6.2
8,47.4,18.0,15.2,0.3,7.2,68.8,7.3,5.7
9,49.0,15.9,6.4,0.3,6.2,67.7,6.9,1.2
9,50.4,16.0,4.5,0.2,6.1,69.4,7.1,0.4
10,43.7,18.8,7.8,0.3,7.4,63.3,7.4,8.0
10,44.4,18.5,4.3,0.2,7.2,61.4,7.8,5.9
10,44.1,19.1,6.5,0.3,7.3,62.9,7.5,5.0
11,49.7,14.8,9.9,0.2,6.6,67.0,7.8,-5.0
11,49.7,14.9,10.1,0.2,6.3,68.0,7.9,-3.3
11,49.4,15.0,7.2,0.2,6.6,68.9,7.9,3.4
14,50.5,14.0,6.5,0.2,6.9,66.0,8.7,-2.4
14,51.0,14.1,6.0,0.2,7.0,65.0,8.2,-2.3
14,51.1,13.5,5.4,0.2,6.7,68.0,7.8,3.0
15,46.9,16.4,9.3,0.2,7.4,66.4,7.8,-5.8
15,47.4,16.7,7.9,0.1,7.4,66.7,8.9,-5.7
15,45.9,17.8,7.1,0.2,7.3,66.1,8.1,2.2
16,50.2,14.7,6.3,0.1,6.8,68.4,7.8,-7.4
16,48.6,15.4,5.6,0.2,7.9,66.1,8.0,-8.9
17,48.6,16.7,6.3,0.2,6.8,69.1,8.5,-4.4
17,48.5,16.9,5.6,0.2,6.4,67.0,7.9,-0.4
18,49.4,16.2,8.3,0.3,6.5,67.8,7.1,0.9
18,50.3,16.0,10.5,0.3,6.2,69.5,6.6,1.7
19,47.0,19.3,9.7,0.2,7.2,63.4,8.3,6.5
19,46.1,19.4,9.7,0.2,7.2,63.6,9.1,6.9
20,47.5,17.4,5.3,0.3,8.5,69.6,7.6,0.1
20,47.1,17.4,4.4,0.2,8.7,67.5,7.4,-4.4
21,44.5,21.4,10.3,0.3,8.9,64.3,9.8,-0.5
21,45.2,21.5,13.0,0.3,8.7,67.4,9.3,-1.3
22,48.4,15.7,7.8,0.2,7.4,70.5,6.7,2.0
22,48.8,15.8,8.0,0.3,6.5,71.3,6.7,3.7
22,49.2,16.1,10.3,0.3,6.4,71.1,6.2,0.2
23,47.4,17.2,4.5,0.2,5.9,64.7,7.5,9.0
23,48.2,16.7,3.3,0.1,5.9,65.1,7.3,10.2
24,53.0,16.2,65.3,0.5,6.8,73.3,1.9,39.0
24,54.1,16.5,68.3,0.5,6.3,76.5,1.4,44.9
24,53.9,16.3,63.1,0.5,6.2,76.3,1.6,46.3
25,49.3,19.3,76.5,0.6,6.6,73.6,1.3,46.6
25,50.0,18.7,74.5,0.6,7.0,71.8,1.2,48.5
26,44.8,18.8,14.1,0.3,7.6,68.6,6.6,1.0
26,44.9,18.5,11.7,0.3,7.5,66.1,7.6,3.1
26,44.7,19.6,5.6,0.3,7.4,66.9,6.9,9.2
27,41.9,18.2,8.7,0.3,8.1,68.9,6.6,-1.9
27,41.1,18.5,10.8,0.3,8.8,67.8,6.4,-4.7
28,48.5,18.2,5.3,0.3,7.1,67.4,8.0,1.1
28,47.1,18.8,4.4,0.2,7.5,64.9,8.2,1.3
29,48.3,17.2,7.8,0.2,6.6,69.5,8.0,5.3
29,46.8,17.5,7.3,0.2,7.2,66.6,8.3,1.6
29,46.7,17.8,10.7,0.2,6.9,68.1,8.3,4.7
30,49.4,18.1,6.9,0.3,6.9,68.0,8.1,1.2
30,49.8,18.0,7.6,0.2,6.3,67.9,8.4,2.8
31,45.7,19.0,8.8,0.2,7.1,66.9,7.8,4.1
31,45.3,19.0,9.3,0.2,6.5,67.6,7.8,2.0
32,47.9,17.2,13.6,0.2,6.9,66.2,9.3,1.9
32,46.3,17.9,11.3,0.2,7.3,65.9,8.5,4.4
33,42.2,19.9,6.7,0.2,8.6,63.3,8.9,2.0
33,42.4,19.8,6.2,0.3,8.2,62.7,8.1,-1.0
34,46.5,17.6,4.2,0.2,7.8,64.2,8.5,2.6
34,47.3,17.4,4.2,0.2,7.0,67.1,7.9,6.1
35,46.8,15.9,1.8,0.2,7.5,65.9,7.6,-3.2
35,47.0,15.6,2.0,0.1,7.8,63.7,8.3,-5.2
38,49.3,15.1,9.4,0.1,8.3,72.4,8.4,-4.7
38,50.0,14.2,8.5,0.0,9.2,70.4,9.1,-3.9
39,53.4,13.7,3.3,0.1,6.8,70.1,6.4,4.7
39,52.9,14.1,4.4,0.2,6.5,72.5,5.5,-1.2
40,47.8,15.4,9.9,0.2,7.1,65.7,7.4,-0.7
40,48.0,15.4,8.4,0.2,7.3,64.2,7.4,-1.1
41,48.1,15.9,8.4,0.2,7.8,64.9,8.9,-4.4
41,48.4,15.7,9.3,0.2,7.9,64.8,9.0,-5.1
42,45.6,18.8,3.6,0.2,7.3,66.6,6.3,-1.4
42,45.1,19.5,10.0,0.3,7.9,66.8,6.7,-1.9
43,52.7,15.2,8.6,0.2,6.5,72.9,5.1,2.1
43,52.4,15.0,4.5,0.2,6.8,70.5,5.5,2.8
44,46.8,17.5,5.6,0.2,7.2,65.0,8.9,1.2
44,46.5,18.2,6.1,0.2,7.0,65.2,8.9,2.3
45,47.3,19.3,9.2,0.2,7.4,65.8,8.6,2.2
45,47.9,19.4,8.1,0.3,7.0,68.2,8.1,2.8
46,45.0,16.4,8.7,0.2,7.0,69.6,6.8,-5.8
46,44.0,16.8,9.0,0.2,6.7,70.4,6.3,-3.8
47,46.5,18.3,6.7,0.3,7.9,70.3,6.1,4.9
47,47.0,18.0,8.9,0.3,8.3,70.7,5.7,2.1
48,48.9,19.4,68.7,0.6,6.9,70.5,2.0,41.8
48,48.0,19.9,70.5,0.7,7.1,70.4,1.4,38.7
49,46.9,19.5,12.1,0.2,6.4,68.9,8.0,0.2
49,45.6,19.8,10.5,0.2,6.7,64.9,8.7,-4.4
50,40.8,21.4,8.6,0.3,7.9,62.7,7.9,6.4
50,41.8,20.6,6.0,0.2,7.8,64.1,7.8,1.8
51,44.6,18.6,8.7,0.3,8.0,67.7,7.4,5.2
51,44.5,18.4,8.0,0.2,8.1,64.6,7.4,3.4
52,46.7,19.2,8.7,0.2,7.1,68.2,9.1,-0.2
52,46.5,19.4,11.2,0.3,6.9,67.9,8.7,-1.8
53,44.4,17.9,5.8,0.2,9.5,69.4,9.3,-2.4
53,45.4,17.6,7.8,0.2,8.9,64.9,9.2,-8.8
54,43.0,19.7,18.1,0.3,8.8,61.1,9.0,-3.4
54,43.1,19.8,21.4,0.3,8.8,60.0,9.8,-4.1
55,44.7,20.0,6.1,0.2,7.5,61.8,10.3,-2.7
55,45.1,19.6,9.5,0.2,6.9,64.7,10.1,2.9
56,46.3,18.2,7.1,0.3,8.6,66.8,7.3,-2.8
56,47.6,17.2,8.1,0.2,8.4,68.7,7.0,-3.3
57,48.0,18.4,7.8,0.2,8.1,69.2,7.1,-1.5
57,48.3,18.5,9.6,0.3,8.5,70.2,6.7,-1.7
58,49.6,16.1,5.7,0.2,8.1,69.5,6.0,3.7
58,50.4,16.1,7.3,0.2,7.8,68.0,6.3,3.8
59,47.9,15.8,6.8,0.1,7.2,65.7,9.1,0.6
59,48.2,15.4,8.9,0.2,6.9,65.8,9.1,0.6
62,50.9,15.1,10.8,0.2,7.0,67.7,8.6,-0.7
62,50.2,15.4,9.0,0.2,6.9,67.9,8.6,-1.4
63,48.9,16.3,9.4,0.2,7.3,68.1,7.6,-2.3
63,48.5,16.5,9.7,0.2,7.5,70.1,7.0,-2.2
64,49.4,18.0,14.1,0.3,7.1,70.2,6.4,-1.3
64,49.2,17.7,11.8,0.3,6.9,69.3,7.2,-7.8
65,49.5,16.0,8.6,0.3,7.4,69.6,6.5,-3.3
65,49.7,15.6,8.8,0.2,6.9,72.9,5.6,-3.3
66,47.2,19.3,7.2,0.2,7.2,64.4,9.7,6.1
66,48.1,18.5,7.8,0.2,7.0,63.3,9.8,3.3
67,45.6,18.5,19.9,0.3,7.1,64.8,8.7,0.2
67,45.3,17.9,16.5,0.3,7.1,64.5,8.4,-0.3
68,45.9,16.3,7.2,0.1,8.4,67.9,7.4,-5.9
68,45.1,16.6,8.1,0.2,8.4,67.3,7.8,-4.2
69,49.6,15.6,5.2,0.3,7.2,69.4,7.2,-5.7
69,50.2,15.1,6.6,0.3,7.3,69.7,7.0,-6.1
70,49.8,15.3,8.1,0.2,7.0,71.9,6.9,-0.3
70,50.6,15.0,5.2,0.2,7.4,70.5,6.7,0.9
71,48.6,15.9,6.4,0.2,6.6,72.9,5.7,4.2
71,47.7,16.0,9.2,0.2,6.7,70.2,6.2,3.7
72,49.7,16.7,6.5,0.2,6.0,66.0,7.2,6.6
72,49.6,16.8,4.8,0.2,6.4,66.2,7.5,6.4
73,51.1,18.6,61.1,0.5,6.4,72.8,1.4,51.9
73,50.9,19.3,62.4,0.6,6.2,73.3,0.6,50.1
74,47.0,17.3,9.1,0.3,7.2,68.5,7.5,3.2
74,47.0,17.2,9.0,0.3,7.2,67.2,7.2,-0.7
75,44.8,19.3,6.6,0.2,8.8,62.4,9.6,0.8
75,45.1,18.8,6.8,0.2,8.7,62.4,9.6,-5.8
76,47.0,18.4,10.6,0.3,8.4,66.3,8.1,0.1
76,46.5,18.5,6.7,0.3,8.5,65.8,8.3,1.5
77,41.5,20.9,22.3,0.3,8.0,60.9,9.2,4.0
77,41.5,20.6,20.1,0.3,7.9,61.6,8.8,0.5
78,40.0,20.1,8.1,0.3,9.1,67.5,5.9,-7.9
78,41.6,20.0,7.3,0.3,8.7,68.9,5.7,-3.1
79,42.9,21.0,9.8,0.3,8.3,66.0,7.4,-3.1
79,42.9,20.6,7.3,0.2,8.5,65.4,7.7,-6.4
80,45.0,18.1,7.2,0.2,8.0,62.7,9.3,-1.0
80,43.9,18.0,8.9,0.2,7.9,64.0,8.4,-0.5
81,44.7,19.3,5.6,0.2,9.3,67.3,8.2,-3.8
81,45.0,18.9,4.3,0.2,8.9,65.3,8.3,-3.8
82,48.6,17.3,4.9,0.2,7.6,67.1,7.3,-1.5
82,47.5,17.6,8.6,0.2,8.2,69.3,6.7,-0.7
83,51.5,15.9,1.0,0.3,6.3,69.7,7.0,2.8
83,51.7,15.7,7.2,0.3,6.4,71.0,7.5,3.2
86,50.9,15.2,4.7,0.2,7.4,71.2,7.4,-7.4
86,51.4,14.9,4.2,0.2,7.4,69.8,7.5,-8.5
87,50.6,15.0,6.7,0.1,7.1,68.5,6.4,4.1
87,50.1,15.1,4.8,0.2,7.4,69.6,7.1,-0.6
88,52.3,14.5,3.2,0.2,7.1,70.2,7.0,1.3
88,52.4,14.6,7.3,0.2,6.8,70.3,6.6,2.6
89,49.4,15.6,4.1,0.1,7.2,66.2,8.4,-2.9
89,50.3,15.2,8.3,0.2,6.9,68.7,8.6,-1.3
89,50.0,15.3,7.1,0.2,6.9,66.3,9.1,0.1
90,49.6,15.9,9.9,0.2,6.6,69.5,6.8,-6.5
90,49.3,16.1,7.7,0.1,7.0,68.6,7.6,-8.5
91,42.3,18.7,11.0,0.3,7.0,71.3,7.1,-0.2
91,42.4,18.3,10.9,0.3,7.2,69.9,6.3,-1.3
