Entry,Expt,MacroEnv,Rep,T_mean,P_mean,DTF,DTS,DTM
33,Ro16,Macroenvironment 1,1,17.2,16.2,45,62,96
33,Ro16,Macroenvironment 1,2,17.2,16.2,44,64,96
33,Ro16,Macroenvironment 1,3,17.2,16.2,44,61,92
33,Ro17,Macroenvironment 1,1,17.5,16.4,38,60,82
33,Ro17,Macroenvironment 1,2,17.5,16.4,39,57,80
33,Ro17,Macroenvironment 1,3,17.5,16.4,39,57,77
33,Ca16,Macroenvironment 1,1,16.7,15.9,44,65,95
33,Ca16,Macroenvironment 1,2,16.7,15.9,45,62,94
33,Ca16,Macroenvironment 1,3,16.7,15.9,45,63,95
33,Ca17,Macroenvironment 1,1,15.7,16.1,44,64,83
33,Ca17,Macroenvironment 1,2,15.7,16.1,45,65,79
33,Ca17,Macroenvironment 1,3,15.7,16.1,46,67,81
33,Ca18,Macroenvironment 1,1,17.6,16.1,42,64,91
33,Ca18,Macroenvironment 1,2,17.6,16.1,43,62,87
33,Ca18,Macroenvironment 1,3,17.6,16.1,42,64,93
33,Us18,Macroenvironment 1,1,15.8,14.3,51,69,92
33,Us18,Macroenvironment 1,2,15.8,14.3,,,96
33,Us18,Macroenvironment 1,3,15.8,14.3,52,70,92
33,In16,Macroenvironment 2,3,17.6,10.9,43,95,105
33,In16,Macroenvironment 2,1,17.6,10.9,43,,
33,In16,Macroenvironment 2,2,17.6,10.9,55,,
33,In17,Macroenvironment 2,1,20.6,10.7,55,97,101
33,In17,Macroenvironment 2,2,20.6,10.7,52,,
33,In17,Macroenvironment 2,3,20.6,10.7,52,91,98
33,Ba16,Macroenvironment 2,1,18.6,10.8,59,81,100
33,Ba16,Macroenvironment 2,2,18.6,10.8,60,82,101
33,Ba16,Macroenvironment 2,3,18.6,10.8,60,82,102
33,Ba17,Macroenvironment 2,1,21.7,11,57,73,101
33,Ba17,Macroenvironment 2,2,21.7,11,56,71,93
33,Ba17,Macroenvironment 2,3,21.7,11,56,70,90
33,Ne16,Macroenvironment 2,1,19.2,11,81,,
33,Ne16,Macroenvironment 2,2,19.2,11,77,111,124
33,Ne16,Macroenvironment 2,3,19.2,11,82,106,121
33,Ne17,Macroenvironment 2,1,19.4,10.8,82,114,135
33,Ne17,Macroenvironment 2,2,19.4,10.8,65,115,134
33,Ne17,Macroenvironment 2,3,19.4,10.8,83,114,136
33,Sp16,Macroenvironment 3,1,12.5,10.9,97,118,134
33,Sp16,Macroenvironment 3,2,12.5,10.9,97,114,134
33,Sp16,Macroenvironment 3,3,12.5,10.9,97,109,134
33,Sp17,Macroenvironment 3,1,11.7,11.1,97,113,128
33,Sp17,Macroenvironment 3,2,11.7,11.1,104,113,126
33,Sp17,Macroenvironment 3,3,11.7,11.1,97,104,126
33,Mo16,Macroenvironment 3,1,12,10.8,80,121,142
33,Mo16,Macroenvironment 3,2,12,10.8,80,121,142
33,Mo16,Macroenvironment 3,3,12,10.8,,121,142
33,Mo17,Macroenvironment 3,1,11.8,11.5,86,104,
33,Mo17,Macroenvironment 3,2,11.8,11.5,86,108,140
33,Mo17,Macroenvironment 3,3,11.8,11.5,86,106,140
33,It16,Macroenvironment 3,1,10.6,10.8,114,130,164
33,It16,Macroenvironment 3,2,10.6,10.8,114,133,175
33,It16,Macroenvironment 3,3,10.6,10.8,120,145,168
33,It17,Macroenvironment 3,1,11.2,10.8,121,146,164
33,It17,Macroenvironment 3,2,11.2,10.8,128,146,167
33,It17,Macroenvironment 3,3,11.2,10.8,127,145,161
