Entry,Expt,MacroEnv,DTF,Predicted_DTF
1,Ca16,Macroenvironment 1,53.66666667,51.58705767
1,Ne16,Macroenvironment 2,123,97.99714281
1,It16,Macroenvironment 3,136.6666667,145.0287744
2,Ca16,Macroenvironment 1,57.33333333,55.26612935
2,Ne16,Macroenvironment 2,124.5,93.53895849
2,It16,Macroenvironment 3,128,136.5871214
3,Ca16,Macroenvironment 1,59,57.77961616
3,Ne16,Macroenvironment 2,122.3333333,95.96950032
3,It16,Macroenvironment 3,134,142.0703954
4,Ca16,Macroenvironment 1,56,53.70121107
4,Ne16,Macroenvironment 2,118,87.57958067
4,It16,Macroenvironment 3,129.3333333,135.3547132
5,Ca16,Macroenvironment 1,51,51.22007861
5,Ne16,Macroenvironment 2,122.5,89.62825543
5,It16,Macroenvironment 3,126.3333333,135.5016002
6,Ca16,Macroenvironment 1,56,54.47381125
6,Ne16,Macroenvironment 2,127,92.48636615
6,It16,Macroenvironment 3,131,139.3561358
7,Ca16,Macroenvironment 1,54,52.26261074
7,Ne16,Macroenvironment 2,125,92.57850053
7,It16,Macroenvironment 3,139.6666667,145.9271462
8,Ca16,Macroenvironment 1,53,49.86555076
8,Ne16,Macroenvironment 2,123.3333333,99.70429572
8,It16,Macroenvironment 3,129.3333333,139.1588504
9,Ca16,Macroenvironment 1,54.33333333,52.36532185
9,Ne16,Macroenvironment 2,118,93.08072246
9,It16,Macroenvironment 3,134.6666667,141.4151691
10,Ca16,Macroenvironment 1,55.66666667,54.06867263
10,Ne16,Macroenvironment 2,120.6666667,79.05946052
10,It16,Macroenvironment 3,130.6666667,137.1354212
11,Ca16,Macroenvironment 1,53.66666667,52.57095479
11,Ne16,Macroenvironment 2,117,94.14477297
11,It16,Macroenvironment 3,129.6666667,139.0424073
12,Ca16,Macroenvironment 1,50.66666667,50.75212614
12,Ne16,Macroenvironment 2,120,91.07576783
12,It16,Macroenvironment 3,129.6666667,135.4115382
13,Ca16,Macroenvironment 1,56,54.497121
13,Ne16,Macroenvironment 2,117,94.44453843
13,It16,Macroenvironment 3,147.3333333,148.6134585
14,Ca16,Macroenvironment 1,56,53.71407621
14,Ne16,Macroenvironment 2,131,92.82710671
14,It16,Macroenvironment 3,127.6666667,141.0737234
15,Ca16,Macroenvironment 1,56,53.65945072
15,Ne16,Macroenvironment 2,124.5,98.49924411
15,It16,Macroenvironment 3,128,135.90512
16,Ca16,Macroenvironment 1,53.66666667,52.22851573
16,Ne16,Macroenvironment 2,125.3333333,98.64340013
16,It16,Macroenvironment 3,129.6666667,137.0674754
17,Ca16,Macroenvironment 1,53,50.53342068
17,Ne16,Macroenvironment 2,120,92.38524046
17,It16,Macroenvironment 3,129.3333333,142.9180043
18,Ca16,Macroenvironment 1,54,51.96558519
18,Ne16,Macroenvironment 2,106.3333333,78.79587701
18,It16,Macroenvironment 3,125.3333333,138.1638675
19,Ca16,Macroenvironment 1,57.66666667,55.76594518
19,Ne16,Macroenvironment 2,118.6666667,96.18120528
19,It16,Macroenvironment 3,129.3333333,139.3513461
20,Ca16,Macroenvironment 1,55,52.93649299
20,Ne16,Macroenvironment 2,128.3333333,96.38257817
20,It16,Macroenvironment 3,133.6666667,140.5426773
21,Ca16,Macroenvironment 1,54,52.69615068
21,Ne16,Macroenvironment 2,110.6666667,88.77947965
21,It16,Macroenvironment 3,125.3333333,138.2613084
22,Ca16,Macroenvironment 1,51,50.83382831
22,Ne16,Macroenvironment 2,103.3333333,75.53783446
22,It16,Macroenvironment 3,123,131.817863
23,Ca16,Macroenvironment 1,47,46.25365998
23,Ne16,Macroenvironment 2,115.6666667,85.08086131
23,It16,Macroenvironment 3,129.3333333,142.0204111
24,Ca16,Macroenvironment 1,54.33333333,52.23965089
24,Ne16,Macroenvironment 2,118.6666667,87.0943899
24,It16,Macroenvironment 3,128,134.9701229
25,Ca16,Macroenvironment 1,51.66666667,50.78205553
25,Ne16,Macroenvironment 2,106.6666667,81.75763617
25,It16,Macroenvironment 3,124.6666667,135.8540947
26,Ca16,Macroenvironment 1,47.66666667,46.04418489
26,Ne16,Macroenvironment 2,99.66666667,80.07219546
26,It16,Macroenvironment 3,120.6666667,119.2382931
27,Ca16,Macroenvironment 1,45.33333333,44.3665265
27,Ne16,Macroenvironment 2,106.3333333,80.17391833
27,It16,Macroenvironment 3,131,140.2206219
28,Ca16,Macroenvironment 1,43.66666667,43.3406567
28,Ne16,Macroenvironment 2,115.5,84.19688239
28,It16,Macroenvironment 3,131,137.6372135
29,Ca16,Macroenvironment 1,51,50.02048239
29,Ne16,Macroenvironment 2,107.6666667,81.85575011
29,It16,Macroenvironment 3,134,142.1480511
30,Ca16,Macroenvironment 1,45.66666667,43.87497671
30,Ne16,Macroenvironment 2,102.3333333,76.46472491
30,It16,Macroenvironment 3,125.3333333,131.9878201
31,Ca16,Macroenvironment 1,44.33333333,43.15824841
31,Ne16,Macroenvironment 2,82.33333333,68.73810563
31,It16,Macroenvironment 3,116.3333333,114.2995427
32,Ca16,Macroenvironment 1,43.66666667,43.05206223
32,Ne16,Macroenvironment 2,101.6666667,75.40102756
32,It16,Macroenvironment 3,113.6666667,110.3440903
33,Ca16,Macroenvironment 1,44.66666667,43.97145209
33,Ne16,Macroenvironment 2,80,60.47498743
33,It16,Macroenvironment 3,116,109.706053
34,Ca16,Macroenvironment 1,53,51.31470804
34,Ne16,Macroenvironment 2,129.6666667,99.6485704
34,It16,Macroenvironment 3,145,144.3071282
35,Ca16,Macroenvironment 1,51,49.76777774
35,Ne16,Macroenvironment 2,137,101.4179404
35,It16,Macroenvironment 3,135,137.8786388
