"REF_DATE","GEO","DGUID","Industry","Business dynamics measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","869519","","","","0"
"2015-02","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","872693","","","","0"
"2015-03","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","875437","","","","0"
"2015-04","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","875687","","","","0"
"2015-05","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","878024","","","","0"
"2015-06","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","875119","","","","0"
"2015-07","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","878799","","","","0"
"2015-08","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880407","","","","0"
"2015-09","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","878625","","","","0"
"2015-10","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","879958","","","","0"
"2015-11","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880513","","","","0"
"2015-12","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","879901","","","","0"
"2016-01","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","889894","E","","","0"
"2016-02","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","882342","","","","0"
"2016-03","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880674","","","","0"
"2016-04","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","882414","","","","0"
"2016-05","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","881084","","","","0"
"2016-06","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880110","","","","0"
"2016-07","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880101","","","","0"
"2016-08","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880737","","","","0"
"2016-09","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880188","","","","0"
"2016-10","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","880455","","","","0"
"2016-11","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","881056","","","","0"
"2016-12","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","885064","E","","","0"
"2017-01","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","886386","","","","0"
"2017-02","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","889453","","","","0"
"2017-03","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","885207","","","","0"
"2017-04","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","885564","","","","0"
"2017-05","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","888582","","","","0"
"2017-06","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","891385","","","","0"
"2017-07","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","887435","","","","0"
"2017-08","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","890939","","","","0"
