"REF_DATE","GEO","DGUID","Principal trading partner","North American Product Classification System (NAPCS)","Trade","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","27452512.3","","","","1"
"2000","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","51266700.4","","","","1"
"2001","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","54573744.5","","","","1"
"2002","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","46573250.0","","","","1"
"2003","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","57914290.6","","","","1"
"2004","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","64330936.0","","","","1"
"2005","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","82250605.4","","","","1"
"2006","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","78774690.2","","","","1"
"2007","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","83386705.0","","","","1"
"2008","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","116094770.0","","","","1"
"2009","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","69584762.9","","","","1"
"2010","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","80444418.4","","","","1"
"2011","Canada","2016A000011124","United States","Energy products [C12]","Export","Dollars","81","thousands","3","v1073209756","1.1.12.1","96098176.0","","","","1"
