Year,Revenue,Government Funding,Expenses,Discrepancies
2001,518392,956879,1392784,
2002,519362,986775,1496077,
2003,480835,1070982,1532720,
2004,508618,1052869,1657957,
2005,546706,1053500,1714832,
2006,543417,1124187,1711519,*
2007,559286,1067465,1696006,
2008,562967,1096036,1731229,*
2009,612152,1185492,1847722,
2010,566714,1142673,1789353,*
2011,662337,1167341,1834219,*
2012,688964,1162317,1840769,
2013,646065,1154850,1870963,*
2014,767830,1090898,1873717,
2015,600135,1036096,1722292,
2016,528386,1026929,1619565,
2017,556920,1099085,1724411,
2018,573075,1207749,1830896,
2019,490146,1213729,1754102,
