"REF_DATE","GEO","DGUID","Traveller characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1972-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3424506","","","","0"
"1972-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3290221","","","","0"
"1972-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4120948","","","","0"
"1972-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4801257","","","","0"
"1972-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5849057","","","","0"
"1972-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7290092","","","","0"
"1972-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11569839","","","","0"
"1972-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10892303","","","","0"
"1972-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6623224","","","","0"
"1972-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5227270","","","","0"
"1972-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4042636","","","","0"
"1972-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3747598","","","","0"
"1973-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3767635","","","","0"
"1973-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3586557","","","","0"
"1973-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4623000","","","","0"
"1973-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5303805","","","","0"
"1973-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6035037","","","","0"
"1973-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7666514","","","","0"
"1973-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11412992","","","","0"
"1973-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11197504","","","","0"
"1973-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6828938","","","","0"
"1973-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5444332","","","","0"
"1973-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4150982","","","","0"
"1973-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3867171","","","","0"
"1974-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3570617","","","","0"
"1974-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3448780","","","","0"
"1974-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4388109","","","","0"
"1974-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4896280","","","","0"
"1974-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5765100","","","","0"
"1974-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7561776","","","","0"
"1974-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10648343","","","","0"
"1974-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11250910","","","","0"
"1974-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6329357","","","","0"
"1974-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5283913","","","","0"
"1974-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4232677","","","","0"
"1974-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4010844","","","","0"
"1975-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3820799","","","","0"
"1975-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3569066","","","","0"
"1975-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4906703","","","","0"
"1975-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4562858","","","","0"
"1975-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6285155","","","","0"
"1975-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7814106","","","","0"
"1975-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10905745","","","","0"
"1975-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11466389","","","","0"
"1975-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6143860","","","","0"
"1975-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5516037","","","","0"
"1975-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4771037","","","","0"
"1975-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4101297","","","","0"
"1976-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4051987","","","","0"
"1976-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3912286","","","","0"
"1976-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4609726","","","","0"
"1976-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5451544","","","","0"
"1976-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6446075","","","","0"
"1976-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7443527","","","","0"
"1976-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11130996","","","","0"
"1976-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10800538","","","","0"
"1976-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6890197","","","","0"
"1976-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5784731","","","","0"
"1976-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4430597","","","","0"
"1976-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4134411","","","","0"
"1977-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3993487","","","","0"
"1977-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3907503","","","","0"
"1977-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5101176","","","","0"
"1977-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5742874","","","","0"
"1977-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6738739","","","","0"
"1977-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7554558","","","","0"
"1977-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11517713","","","","0"
"1977-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10808040","","","","0"
"1977-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7036610","","","","0"
"1977-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5792558","","","","0"
"1977-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4394229","","","","0"
"1977-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4090905","","","","0"
"1978-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3824360","","","","0"
"1978-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4018718","","","","0"
"1978-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5403955","","","","0"
"1978-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5343006","","","","0"
"1978-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6390559","","","","0"
"1978-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7736866","","","","0"
"1978-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11684137","","","","0"
"1978-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10812117","","","","0"
"1978-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6843136","","","","0"
"1978-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5572632","","","","0"
"1978-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4450471","","","","0"
"1978-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4259852","","","","0"
"1979-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3871662","","","","0"
"1979-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3723535","","","","0"
"1979-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5101003","","","","0"
"1979-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5417202","","","","0"
"1979-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6075205","","","","0"
"1979-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7411516","","","","0"
"1979-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10072007","","","","0"
"1979-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10119680","","","","0"
"1979-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6850272","","","","0"
"1979-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5633728","","","","0"
"1979-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4604771","","","","0"
"1979-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4539743","","","","0"
"1980-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4341499","","","","0"
"1980-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4445692","","","","0"
"1980-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5486038","","","","0"
"1980-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5948124","","","","0"
"1980-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7105328","","","","0"
"1980-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8104850","","","","0"
"1980-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10894217","","","","0"
"1980-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11687759","","","","0"
"1980-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7034766","","","","0"
"1980-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6108924","","","","0"
"1980-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5138379","","","","0"
"1980-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4637676","","","","0"
"1981-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4724570","","","","0"
"1981-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4814644","","","","0"
"1981-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6227602","","","","0"
"1981-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6434144","","","","0"
"1981-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7520351","","","","0"
"1981-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7871256","","","","0"
"1981-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10909573","","","","0"
"1981-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10809791","","","","0"
"1981-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6822847","","","","0"
"1981-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5726822","","","","0"
"1981-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4766060","","","","0"
"1981-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4459984","","","","0"
"1982-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3917435","","","","0"
"1982-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","3940669","","","","0"
"1982-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4847348","","","","0"
"1982-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5364485","","","","0"
"1982-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6503951","","","","0"
"1982-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7017207","","","","0"
"1982-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10231977","","","","0"
"1982-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10081428","","","","0"
"1982-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6593794","","","","0"
"1982-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5682329","","","","0"
"1982-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4467017","","","","0"
"1982-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4487441","","","","0"
"1983-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4328498","","","","0"
"1983-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4211246","","","","0"
"1983-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5317304","","","","0"
"1983-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6022756","","","","0"
"1983-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6721086","","","","0"
"1983-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7622285","","","","0"
"1983-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11225093","","","","0"
"1983-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10726601","","","","0"
"1983-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7261742","","","","0"
"1983-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6142601","","","","0"
"1983-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4909865","","","","0"
"1983-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4650057","","","","0"
"1984-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4482089","","","","0"
"1984-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4518334","","","","0"
"1984-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5450164","","","","0"
"1984-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5927272","","","","0"
"1984-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6478236","","","","0"
"1984-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7697703","","","","0"
"1984-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10441778","","","","0"
"1984-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10393858","","","","0"
"1984-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7055819","","","","0"
"1984-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5849012","","","","0"
"1984-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5023229","","","","0"
"1984-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4883144","","","","0"
"1985-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4518929","","","","0"
"1985-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4335505","","","","0"
"1985-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5714343","","","","0"
"1985-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5821322","","","","0"
"1985-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6818289","","","","0"
"1985-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8130776","","","","0"
"1985-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10888579","","","","0"
"1985-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11118602","","","","0"
"1985-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7196054","","","","0"
"1985-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6085380","","","","0"
"1985-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5071041","","","","0"
"1985-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4770169","","","","0"
"1986-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4861759","","","","0"
"1986-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","4454457","","","","0"
"1986-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6263354","","","","0"
"1986-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5963499","","","","0"
"1986-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7424441","","","","0"
"1986-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8693142","","","","0"
"1986-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11449869","","","","0"
"1986-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","12097137","","","","0"
"1986-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7606965","","","","0"
"1986-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6533600","","","","0"
"1986-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5371628","","","","0"
"1986-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5311147","","","","0"
"1987-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5132600","","","","0"
"1987-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5104082","","","","0"
"1987-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6488323","","","","0"
"1987-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6850939","","","","0"
"1987-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8089272","","","","0"
"1987-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8799103","","","","0"
"1987-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11983933","","","","0"
"1987-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","12296163","","","","0"
"1987-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8345525","","","","0"
"1987-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7224713","","","","0"
"1987-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6046645","","","","0"
"1987-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5939571","","","","0"
"1988-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5856149","","","","0"
"1988-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","5413266","","","","0"
"1988-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6777725","","","","0"
"1988-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7361563","","","","0"
"1988-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8401116","","","","0"
"1988-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9204690","","","","0"
"1988-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","13175252","","","","0"
"1988-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","12451461","","","","0"
"1988-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9058672","","","","0"
"1988-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7813950","","","","0"
"1988-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6709177","","","","0"
"1988-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6812767","","","","0"
"1989-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6403288","","","","0"
"1989-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6029575","","","","0"
"1989-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7877531","","","","0"
"1989-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7766647","","","","0"
"1989-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8966782","","","","0"
"1989-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9934219","","","","0"
"1989-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","13563572","","","","0"
"1989-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","13287854","","","","0"
"1989-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9788169","","","","0"
"1989-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8583104","","","","0"
"1989-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7358822","","","","0"
"1989-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7120661","","","","0"
"1990-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7204320","","","","0"
"1990-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","6619942","","","","0"
"1990-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8555278","","","","0"
"1990-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8736263","","","","0"
"1990-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9766116","","","","0"
"1990-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10856739","","","","0"
"1990-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","14207522","","","","0"
"1990-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","14491237","","","","0"
"1990-09","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10573747","","","","0"
"1990-10","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9348147","","","","0"
"1990-11","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8729946","","","","0"
"1990-12","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","8233419","","","","0"
"1991-01","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7488988","","","","0"
"1991-02","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","7516038","","","","0"
"1991-03","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9613713","","","","0"
"1991-04","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","9416565","","","","0"
"1991-05","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","10765086","","","","0"
"1991-06","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","11771149","","","","0"
"1991-07","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","14772783","","","","0"
"1991-08","Canada","2016A000011124","Total international travellers","Persons","249","units","0","v125183","1.1","15293392","","","","0"
