Weapons,2015,2016,2017,2018,2019
Total,"13,847","15,355","15,206","14,446","13,927"
Total firearms:,"9,143","10,398","11,014","10,445","10,258"
Handguns,"6,194","6,778","7,052","6,683","6,368"
Rifles,215,300,389,305,364
Shotguns,248,247,263,237,200
Other guns,152,172,178,164,45
"Firearms, type not stated","2,334","2,901","3,132","3,056","3,281"
Knives or cutting instruments,"1,533","1,562","1,608","1,542","1,476"
"Blunt objects (clubs, hammers, etc.)",438,466,474,455,397
"Personal weapons (hands, fists, feet, etc.)1",651,668,715,712,600
Poison,8,12,15,6,16
Explosives,1,1,0,4,3
Fire,63,78,93,76,81
Narcotics,70,119,112,102,93
Drowning,12,9,8,9,7
Strangulation,96,97,90,75,64
Asphyxiation,105,93,112,92,92
Other weapons or weapons not stated,"1,727","1,852",965,928,840
