Area,Type,Lat,Lon
Atlanta,Inland,33.76,-84.41
Baltimore,Port City,39.29,-76.61
Boston,Port City,42.36,-71.05
Cambridge,Port City,42.37,-71.1
Chicago,Inland Port City,41.88,-87.61
Cincinnatti,Inland,39.09,-84.5
Cleveland,Inland Port City,41.5,-81.69
Dayton,Inland,39.76,-84.19
Indianapolis,Inland,39.76,-86.16
Kansas City,Inland,39.1,-94.58
Los Angeles,Port City,34.03,-118.3
Milwaukee,Inland Port City,43.04,-87.9
Minneapolis,Inland,44.97,-93.26
Newark,Port City,40.73,-74.16
New Orleans,Port City,30,-90.06
New York City,Port City,40.71,-74
Omaha,Inland,41.25,-95.93
Philadelphia,Port City,39.95,-75.15
Pittsburgh,Inland,40.44,-79.99
St. Louis,Inland,38.62,-90.19
St. Paul,Inland,44.94,-93.09
San Francisco,Port City,37.75,-122.43
Seattle,Port City,47.59,-122.32
"Washington, DC",Port City,38.89,-77.04
