"REF_DATE","GEO","DGUID","Industry","Business dynamics measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","775541","","","","0"
"2015-02","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","778553","","","","0"
"2015-03","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","780095","","","","0"
"2015-04","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","780640","","","","0"
"2015-05","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","785674","","","","0"
"2015-06","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","780113","","","","0"
"2015-07","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","782997","","","","0"
"2015-08","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","786371","","","","0"
"2015-09","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","783448","","","","0"
"2015-10","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","784804","","","","0"
"2015-11","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","785907","","","","0"
"2015-12","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","783522","","","","0"
"2016-01","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","793942","E","","","0"
"2016-02","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","784843","","","","0"
"2016-03","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","783594","","","","0"
"2016-04","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","786031","","","","0"
"2016-05","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","786892","","","","0"
"2016-06","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","783952","","","","0"
"2016-07","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","782986","","","","0"
"2016-08","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","784224","","","","0"
"2016-09","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","783507","","","","0"
"2016-10","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","783706","","","","0"
"2016-11","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","784292","","","","0"
"2016-12","Canada","2016A000011124","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203704156","1.1.1","786438","","","","0"
