Year,Death Rate
2021,7.645
2020,7.612
2019,7.579
2018,7.546
2017,7.57
2016,7.594
2015,7.619
2014,7.643
2013,7.667
2012,7.743
2011,7.818
2010,7.894
2009,7.969
2008,8.045
2007,8.127
2006,8.209
2005,8.29
2004,8.372
2003,8.454
2002,8.518
2001,8.583
2000,8.647
1999,8.712
1998,8.776
1997,8.842
1996,8.908
1995,8.974
1994,9.04
1993,9.106
1992,9.18
1991,9.255
1990,9.329
1989,9.404
1988,9.478
1987,9.591
1986,9.703
1985,9.816
1984,9.928
1983,10.041
1982,10.184
1981,10.327
1980,10.469
1979,10.612
1978,10.755
1977,11.001
1976,11.246
1975,11.492
1974,11.737
1973,11.983
1972,12.288
1971,12.593
1970,12.898
1969,13.203
1968,13.508
1967,14.029
1966,14.55
1965,15.07
1964,15.591
1963,16.112
1962,16.367
1961,16.621
1960,16.876
1959,17.13
1958,17.385
1957,17.731
1956,18.076
1955,18.422
1954,18.767
1953,19.113
1952,19.459
1951,19.804
1950,20.15
